Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Oliver Abildgaard,DEN,MF,Como,27-212,1996,15,1040,69,60.8,11.6,1.03,84,0.69,0.26,10,0.09,1.67,1.29,1.38,-0.09,-0.09,-0.76,1.13,1.35,-0.22,-0.23,-1.09,https://fbref.com/en/players/8f5cdf66/Oliver-Abildgaard,8f5cdf66,Serie B
2,Fabio Abiuso,GRE,FW,Modena,20-340,2003,7,236,34,13.8,2.6,0.38,55,0.00,2.31,30,3.85,0.86,0.77,1.54,-0.77,-0.76,-0.70,,,,,,https://fbref.com/en/players/7e63b39c/Fabio-Abiuso,7e63b39c,Serie B
3,Gonzalo Abrego,ARG,MF,Cremonese,24-001,2000,12,614,51,35.9,6.8,1.03,71,0.29,0.74,23,0.88,1.58,0.15,1.03,-0.88,-0.88,-2.36,1.18,0.81,0.35,+0.36,-0.42,https://fbref.com/en/players/de8bad41/Gonzalo-Abrego,de8bad41,Serie B
4,Gennaro Acampora,ITA,MF,Bari,29-285,1994,14,856,61,50.1,9.5,1.05,80,0.53,0.42,14,0.21,1.21,1.37,1.47,-0.11,-0.11,0.00,1.16,1.08,0.08,+0.08,+0.46,https://fbref.com/en/players/01040647/Gennaro-Acampora,01040647,Serie B
5,Ismail Achik,ITA,"FW,MF",Bari,23-162,2000,11,507,46,29.6,5.6,0.89,80,0.18,1.07,18,0.89,0.91,0.71,0.89,-0.18,-0.18,-0.10,1.14,0.86,0.30,+0.30,+0.63,https://fbref.com/en/players/b3996d42/Ismail-Achik,b3996d42,Serie B
6,Claud Adjapong,ITA,DF,Ascoli,25-247,1998,11,689,63,40.3,7.7,1.17,73,0.52,0.26,18,0.39,0.91,0.91,1.69,-0.78,-0.78,-0.70,0.81,1.32,-0.53,-0.53,-0.39,https://fbref.com/en/players/ce5b170a/Claud-Adjapong,ce5b170a,Serie B
7,Davide Adorni,ITA,DF,Brescia,31-152,1992,9,588,65,34.4,6.5,1.08,82,0.77,0.31,6,0.77,2.00,1.38,1.08,0.31,+0.31,+0.47,0.80,1.00,-0.20,-0.19,-0.46,https://fbref.com/en/players/e43cb802/Davide-Adorni,e43cb802,Serie B
8,Felix Afena-Gyan,GHA,"FW,DF",Cremonese,20-354,2003,4,164,41,9.6,1.8,0.56,90,0.56,1.67,25,2.22,0.25,0.00,1.11,-1.11,-1.10,-1.91,1.39,0.56,0.83,+0.82,+0.22,https://fbref.com/en/players/0154d290/Felix-Afena-Gyan,0154d290,Serie B
9,Vittorio Agostinelli,ITA,FW,Calcio Lecco 1912,21-321,2002,2,27,14,1.6,0.3,0.00,,0.00,6.67,14,36.7,1.50,0.00,6.67,-6.67,-6.67,-6.29,0.33,4.00,-3.67,-3.65,-3.52,https://fbref.com/en/players/b49a4e1d/Vittorio-Agostinelli,b49a4e1d,Serie B
10,Matteo Ahmetaj,MNE,MF,Bari,21-248,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,https://fbref.com/en/players/77a5187c/Matteo-Ahmetaj,77a5187c,Serie B
11,Emanuel Aiwum,AUT,DF,Cremonese,23-014,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/d810c13b/Emanuel-Aiwum,d810c13b,Serie B
