Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Nícolas Andrade,BRA,GK,Pisa,35-271,1988,19,19,1710,19.0,1.11,1.11,3.68,2.63,70.0,0.26,0.37,0.37,0.32,31.6,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/326d09ef/Nicolas-Andrade,326d09ef,Serie B
2,Lorenzo Andrenacci,ITA,GK,Brescia,29-006,1995,2,2,180,2.0,2.00,2.00,5.50,3.50,63.6,0.50,0.00,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/fe471a89/Lorenzo-Andrenacci,fe471a89,Serie B
3,Francesco Bardi,ITA,GK,Reggiana,31-355,1992,19,19,1710,19.0,1.26,1.26,4.79,3.42,75.8,0.26,0.42,0.32,0.26,26.3,0.21,0.11,0.11,0.00,50.0,https://fbref.com/en/players/0acda699/Francesco-Bardi,0acda699,Serie B
4,Davide Barosi,ITA,GK,Ascoli,23-284,2000,3,2,205,2.3,0.87,0.88,3.04,2.17,71.4,0.00,0.00,0.87,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/fea55381/Davide-Barosi,fea55381,Serie B
5,Brenno,BRA,GK,Bari,24-282,1999,19,19,1679,18.7,1.02,1.02,3.80,2.83,74.6,0.21,0.59,0.21,0.27,26.3,0.11,0.05,0.00,0.05,0.0,https://fbref.com/en/players/f002e8eb/Brenno,f002e8eb,Serie B
6,Bruno,BRA,GK,Venezia,25-222,1998,9,9,810,9.0,1.11,1.11,3.00,1.89,74.1,0.67,0.00,0.33,0.22,22.2,0.33,0.33,0.00,0.00,0.0,https://fbref.com/en/players/e51336b7/Bruno,e51336b7,Serie B
7,Leandro Chichizola,ARG,GK,Parma,33-287,1990,19,19,1710,19.0,0.89,0.89,2.47,1.58,66.0,0.63,0.26,0.11,0.42,42.1,0.05,0.05,0.00,0.00,0.0,https://fbref.com/en/players/8d957256/Leandro-Chichizola,8d957256,Serie B
8,Bartłomiej Drągowski,POL,GK,Spezia,26-142,1997,13,13,1170,13.0,1.54,1.54,4.85,3.38,71.4,0.08,0.46,0.46,0.23,23.1,0.15,0.15,0.00,0.00,0.0,https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,085e71a7,Serie B
9,Andrea Fulignati,ITA,GK,Catanzaro,29-069,1994,19,19,1710,19.0,1.26,1.26,4.63,3.32,77.3,0.47,0.16,0.37,0.32,31.6,0.26,0.21,0.05,0.00,20.0,https://fbref.com/en/players/195f5e38/Andrea-Fulignati,195f5e38,Serie B
10,Riccardo Gagno,ITA,GK,Modena,26-166,1997,15,15,1303,14.5,1.03,1.04,3.03,2.00,68.2,0.28,0.41,0.34,0.34,33.3,0.07,0.07,0.00,0.00,0.0,https://fbref.com/en/players/92c46fe2/Riccardo-Gagno,92c46fe2,Serie B
