,id,eventId,minute,second,teamId,x,y,expandedMinute,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,eventType,match_period
0,2560358477.0,2,0,0.0,1232,0.0,0.0,0,Successful,[],[],False,,,,,,,,,,,,,Start,FirstHalf
1,2560358485.0,2,0,0.0,1218,0.0,0.0,0,Successful,[],[],False,,,,,,,,,,,,,Start,FirstHalf
2,2560358491.0,3,0,0.0,1218,49.7,50.1,0,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.77'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 216, 218]",True,337897.0,38.3,56.9,,,,,,,,,,Pass,FirstHalf
3,2560358521.0,4,0,3.0,1218,38.9,55.5,0,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '34.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.44'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 117, 127, 35, 38, 215, 218]",True,360497.0,30.0,6.2,,,,,,,,,,Pass,FirstHalf
4,2560358531.0,5,0,7.0,1218,30.6,9.4,0,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '36.9'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.23'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '16.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,322639.0,16.9,36.9,,,,,,,,,,Pass,FirstHalf
5,2560358537.0,6,0,10.0,1218,15.9,38.8,0,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.2'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.67'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '14.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,373938.0,14.2,65.5,,,,,,,,,,Pass,FirstHalf
6,2560358547.0,7,0,12.0,1218,14.4,65.7,0,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '4.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.57'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.4'}]","[91, 117, 30, 35, 38, 215, 218]",True,373534.0,4.1,58.4,,,,,,,,,,Pass,FirstHalf
7,2560358565.0,8,0,13.0,1218,4.6,58.7,0,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.8'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.48'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '49.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 118, 120, 128, 36, 37, 216, 218]",True,309573.0,46.1,91.8,,,,,,,,,,Pass,FirstHalf
8,2560358571.0,3,0,17.0,1232,56.7,7.4,0,Unsuccessful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.08'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.2'}]","[91, 120, 29, 139, 36, 37, 217, 218]",True,373523.0,69.2,8.9,,,,,,,,,,Pass,FirstHalf
9,2560358597.0,9,0,21.0,1218,34.7,89.4,0,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '4'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 70]",True,339273.0,,,,,,,,,,,,Dispossessed,FirstHalf
