Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Rúnar Alex Rúnarsson,ISL,GK,Cardiff City,29-072,1995,6.0,1.33,0.00,0.00,0.17,0.00,1.50,0.38,0.17,+0.17,3.33,10.0,33.3,29.8,5.50,22.9,29.0,7.00,45.2,38.0,11.2,0.83,7.5,0.83,0.83,15.2,https://fbref.com/en/players/8fa8f8d2/Runar-Alex-Runarsson,8fa8f8d2,EFL Championship
2,Ryan Allsop,ENG,GK,Hull City,31-318,1992,35.9,1.25,0.08,0.03,0.17,0.00,0.97,0.23,-0.28,-0.28,3.01,13.1,22.9,50.0,2.40,22.7,27.1,3.31,53.8,43.5,13.6,0.81,5.9,1.14,1.14,15.4,https://fbref.com/en/players/af615123/Ryan-Allsop,af615123,EFL Championship
3,Jak Alnwick,ENG,GK,Cardiff City,30-318,1993,24.0,1.38,0.00,0.04,0.17,0.04,1.27,0.33,-0.06,-0.06,7.04,20.0,35.1,29.5,3.08,52.8,40.6,7.17,62.8,49.7,13.9,0.42,3.0,0.71,0.71,13.5,https://fbref.com/en/players/b0835fc0/Jak-Alnwick,b0835fc0,EFL Championship
4,Daniel Bachmann,AUT,GK,Watford,29-296,1994,26.0,1.12,0.04,0.08,0.23,0.08,1.18,0.28,0.14,+0.14,3.04,12.1,25.2,38.8,5.31,26.5,30.5,3.00,59.0,46.5,11.8,0.65,5.5,2.08,2.08,16.8,https://fbref.com/en/players/1c0eea98/Daniel-Bachmann,1c0eea98,EFL Championship
5,Gavin Bazunu,IRL,GK,Southampton,22-070,2002,41.0,1.32,0.05,0.00,0.12,0.00,1.03,0.28,-0.29,-0.29,3.98,8.78,45.3,43.2,5.71,18.8,25.7,4.05,16.3,24.4,11.9,0.39,3.3,1.49,1.49,19.3,https://fbref.com/en/players/c91441dc/Gavin-Bazunu,c91441dc,EFL Championship
6,James Beadle,ENG,GK,Sheffield Weds,19-289,2004,18.0,1.33,0.00,0.00,0.22,0.06,1.22,0.31,-0.06,-0.05,4.83,17.6,27.4,31.8,4.22,41.3,35.2,6.78,66.4,50.3,13.7,0.67,4.9,1.06,1.06,15.9,https://fbref.com/en/players/9019e4d8/James-Beadle,9019e4d8,EFL Championship
7,Asmir Begović,BIH,GK,QPR,36-315,1987,45.0,1.27,0.02,0.00,0.20,0.02,1.07,0.27,-0.17,-0.17,4.42,13.3,33.2,25.5,5.38,37.8,35.2,7.00,52.7,43.0,14.0,1.09,7.8,0.53,0.53,12.2,https://fbref.com/en/players/7b4de647/Asmir-Begovic,7b4de647,EFL Championship
8,Bartosz Białkowski,POL,GK,Millwall,36-299,1987,14.0,1.50,0.14,0.00,0.07,0.00,1.53,0.33,0.03,+0.03,6.29,16.2,38.8,16.5,3.36,60.2,41.8,7.07,88.9,58.8,12.6,0.50,4.0,1.07,1.07,16.4,https://fbref.com/en/players/4b5e809f/Bartosz-Bialkowski,4b5e809f,EFL Championship
9,Jack Bonham,IRL,GK,Stoke City,30-229,1993,14.0,1.36,0.21,0.00,0.21,0.07,1.46,0.30,0.18,+0.18,5.50,17.2,32.0,30.2,6.00,42.1,37.4,7.43,60.6,48.0,17.1,1.14,6.7,0.71,0.71,12.7,https://fbref.com/en/players/3539472e/Jack-Bonham,3539472e,EFL Championship
10,Jacob Chapman,AUS,GK,Huddersfield,23-191,2000,1.5,1.33,0.00,0.00,0.67,0.00,1.07,0.16,-0.27,-0.23,2.67,19.3,13.8,30.0,4.67,42.2,35.7,10.0,66.7,46.5,10.0,0.00,0.0,1.33,1.29,15.0,https://fbref.com/en/players/0849ef2d/Jacob-Chapman,0849ef2d,EFL Championship
