Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Rúnar Alex Rúnarsson,ISL,GK,Cardiff City,28-324,1995,6,6,540,6.0,1.33,1.33,4.00,2.67,66.7,0.33,0.00,0.67,0.17,16.7,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/8fa8f8d2/Runar-Alex-Runarsson,8fa8f8d2,EFL Championship
2,Ryan Allsop,ENG,GK,Hull City,31-205,1992,17,17,1521,16.9,1.30,1.30,4.08,2.78,69.6,0.41,0.24,0.36,0.30,29.4,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/af615123/Ryan-Allsop,af615123,EFL Championship
3,Jak Alnwick,ENG,GK,Cardiff City,30-205,1993,20,20,1800,20.0,1.25,1.25,3.70,2.50,66.2,0.45,0.20,0.35,0.30,30.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/b0835fc0/Jak-Alnwick,b0835fc0,EFL Championship
4,Daniel Bachmann,AUT,GK,Watford,29-183,1994,16,16,1439,16.0,1.19,1.19,3.69,2.50,67.8,0.25,0.38,0.38,0.38,37.5,0.06,0.00,0.06,0.00,100.0,https://fbref.com/en/players/1c0eea98/Daniel-Bachmann,1c0eea98,EFL Championship
5,Gavin Bazunu,IRL,GK,Southampton,21-322,2002,26,26,2340,26.0,1.19,1.19,3.27,2.08,64.7,0.58,0.27,0.15,0.27,26.9,0.04,0.04,0.00,0.00,0.0,https://fbref.com/en/players/c91441dc/Gavin-Bazunu,c91441dc,EFL Championship
6,Asmir Begović,BIH,GK,QPR,36-202,1987,26,26,2339,26.0,1.42,1.42,4.38,2.96,68.4,0.19,0.23,0.58,0.27,26.9,0.04,0.04,0.00,0.00,0.0,https://fbref.com/en/players/7b4de647/Asmir-Begovic,7b4de647,EFL Championship
7,Bartosz Białkowski,POL,GK,Millwall,36-186,1987,14,14,1260,14.0,1.50,1.50,4.50,3.00,69.8,0.21,0.36,0.43,0.29,28.6,0.14,0.14,0.00,0.00,0.0,https://fbref.com/en/players/4b5e809f/Bartosz-Bialkowski,4b5e809f,EFL Championship
8,Jack Bonham,IRL,GK,Stoke City,30-116,1993,12,12,1080,12.0,1.08,1.08,4.00,3.00,75.0,0.17,0.58,0.25,0.42,41.7,0.08,0.08,0.00,0.00,0.0,https://fbref.com/en/players/3539472e/Jack-Bonham,3539472e,EFL Championship
9,Jacob Chapman,AUS,GK,Huddersfield,23-078,2000,2,1,139,1.5,1.33,1.29,2.67,0.67,50.0,0.00,0.00,0.67,0.67,100.0,0.67,0.00,0.67,0.00,100.0,https://fbref.com/en/players/0849ef2d/Jacob-Chapman,0849ef2d,EFL Championship
10,Bradley Collins,ENG,GK,Coventry City,26-324,1997,11,11,990,11.0,0.64,0.64,4.09,3.45,84.4,0.55,0.36,0.09,0.55,54.5,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/f679abe1/Bradley-Collins,f679abe1,EFL Championship
11,Michael Cooper,ENG,GK,Plymouth Argyle,24-092,1999,9,9,810,9.0,1.56,1.56,4.89,3.33,70.5,0.33,0.22,0.44,0.33,33.3,0.22,0.11,0.11,0.00,50.0,https://fbref.com/en/players/17186929/Michael-Cooper,17186929,EFL Championship
12,David Cornell,WAL,GK,Preston,32-286,1991,1,1,90,1.0,2.00,2.00,4.00,2.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/0c9aad01/David-Cornell,0c9aad01,EFL Championship
13,Karl Darlow,ENG,GK,Leeds United,33-092,1990,2,1,126,1.4,2.14,2.14,3.57,1.43,40.0,0.00,0.00,0.71,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/cde3309f/Karl-Darlow,cde3309f,EFL Championship
14,Cameron Dawson,ENG,GK,Sheffield Weds,28-185,1995,17,17,1530,17.0,1.41,1.41,3.35,2.00,59.6,0.35,0.12,0.53,0.24,23.5,0.12,0.06,0.06,0.00,50.0,https://fbref.com/en/players/872891bc/Cameron-Dawson,872891bc,EFL Championship
15,Seny Dieng,SEN,GK,Middlesbrough,29-046,1994,22,22,1979,22.0,1.55,1.55,3.95,2.50,63.2,0.41,0.14,0.45,0.23,22.7,0.09,0.09,0.00,0.00,0.0,https://fbref.com/en/players/c135cddd/Seny-Dieng,c135cddd,EFL Championship
16,Tom Glover,AUS,GK,Middlesbrough,26-015,1997,5,4,361,4.0,1.25,1.25,3.75,2.50,66.7,0.50,0.00,0.50,0.25,25.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/682573d9/Tom-Glover,682573d9,EFL Championship
17,Angus Gunn,SCO,GK,Norwich City,27-351,1996,20,20,1740,19.3,1.35,1.34,3.99,2.69,70.1,0.41,0.26,0.36,0.26,25.0,0.16,0.16,0.00,0.00,0.0,https://fbref.com/en/players/e082af5b/Angus-Gunn,e082af5b,EFL Championship
18,Ben Hamer,ENG,GK,Watford,36-049,1987,10,10,900,10.0,1.60,1.60,5.70,4.10,71.9,0.50,0.30,0.20,0.10,10.0,0.10,0.00,0.10,0.00,100.0,https://fbref.com/en/players/d822a850/Ben-Hamer,d822a850,EFL Championship
19,Conor Hazard,NIR,GK,Plymouth Argyle,25-309,1998,17,17,1530,17.0,1.82,1.82,5.35,3.59,67.0,0.24,0.35,0.41,0.18,17.6,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/10161491/Conor-Hazard,10161491,EFL Championship
20,Mads Hermansen,DEN,GK,Leicester City,23-181,2000,25,25,2250,25.0,0.72,0.72,3.52,2.80,79.5,0.80,0.08,0.12,0.36,36.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/c924b17d/Mads-Hermansen,c924b17d,EFL Championship
21,Václav Hladký,CZE,GK,Ipswich Town,33-055,1990,26,26,2340,26.0,1.27,1.27,3.62,2.50,66.0,0.62,0.27,0.12,0.35,34.6,0.08,0.04,0.00,0.04,0.0,https://fbref.com/en/players/6658971d/Vaclav-Hladky,6658971d,EFL Championship
22,Matt Ingram,ENG,GK,Hull City,30-021,1993,10,9,819,9.1,1.54,1.54,3.19,1.65,51.7,0.44,0.22,0.33,0.11,11.1,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/6f9dcb31/Matt-Ingram,6f9dcb31,EFL Championship
23,Viktor Johansson,SWE,GK,Rotherham Utd,25-116,1998,26,26,2340,26.0,1.92,1.92,6.08,4.15,69.6,0.12,0.35,0.54,0.12,11.5,0.12,0.08,0.00,0.04,0.0,https://fbref.com/en/players/e4a588a7/Viktor-Johansson,e4a588a7,EFL Championship
24,Kristoffer Klaesson,NOR,GK,Leeds United,23-042,2000,1,1,90,1.0,0.00,0.00,1.00,1.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/3f70db80/Kristoffer-Klaesson,3f70db80,EFL Championship
25,George Long,ENG,GK,Norwich City,30-064,1993,7,6,600,6.7,2.39,2.40,6.57,4.33,65.9,0.30,0.00,0.60,0.15,16.7,0.15,0.15,0.00,0.00,0.0,https://fbref.com/en/players/754e3f2d/George-Long,754e3f2d,EFL Championship
26,Chris Maxwell,WAL,GK,Huddersfield,33-162,1990,8,7,606,6.7,1.34,1.34,5.22,3.88,74.3,0.30,0.45,0.30,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/609f9b60/Chris-Maxwell,609f9b60,EFL Championship
27,Illan Meslier,FRA,GK,Leeds United,23-312,2000,24,24,2122,23.6,0.93,0.93,2.54,1.69,65.0,0.55,0.25,0.21,0.34,33.3,0.04,0.04,0.00,0.00,0.0,https://fbref.com/en/players/6b625ac2/Illan-Meslier,6b625ac2,EFL Championship
28,Lee Nicholls,ENG,GK,Huddersfield,31-095,1992,18,18,1595,17.7,1.86,1.86,4.69,2.88,61.4,0.17,0.40,0.45,0.17,16.7,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/b105cebe/Lee-Nicholls,b105cebe,EFL Championship
29,Max O'Leary,IRL,GK,Bristol City,27-090,1996,26,26,2340,26.0,1.08,1.08,3.77,2.77,73.5,0.38,0.23,0.38,0.27,26.9,0.08,0.08,0.00,0.00,0.0,https://fbref.com/en/players/a77c1ce8/Max-OLeary,a77c1ce8,EFL Championship
30,Alex Palmer,ENG,GK,West Brom,27-151,1996,26,26,2340,26.0,0.92,0.92,2.69,1.73,68.6,0.46,0.23,0.31,0.46,46.2,0.12,0.08,0.04,0.00,33.3,https://fbref.com/en/players/6ea97fd5/Alex-Palmer,6ea97fd5,EFL Championship
