Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
432,Marcel Oakley,ENG,DF,Birmingham City,21-070,2002,0.3,46.7,0.00,20.0,23.3,3.33,0.00,46.7,0.00,0.00,,0.00,,23.3,60.0,33.3,0.00,0.00,3.33,3.33,3.33,23.3,6.67,https://fbref.com/en/players/114ef345/Marcel-Oakley,114ef345,EFL Championship
433,Hakeem Odoffin,ENG,"DF,MF",Rotherham Utd,25-270,1998,15.5,39.2,4.45,16.8,17.2,5.55,1.87,39.2,0.32,0.26,80.0,0.06,20.0,17.1,79.4,30.9,0.32,0.19,0.19,1.03,0.19,18.3,1.23,https://fbref.com/en/players/4bf39bcc/Hakeem-Odoffin,4bf39bcc,EFL Championship
434,Andrew Omobamidele,IRL,DF,Norwich City,21-199,2002,0.2,155.0,25.0,85.0,70.0,0.00,0.00,155.0,5.00,0.00,0.0,0.00,0.0,105.0,530.0,260.0,0.00,0.00,0.00,0.00,0.00,105.0,0.00,https://fbref.com/en/players/c393a6c4/Andrew-Omobamidele,c393a6c4,EFL Championship
435,Fred Onyedinma,ENG,"FW,MF",Rotherham Utd,27-045,1996,13.8,30.6,1.30,5.58,11.2,15.0,3.62,30.6,3.41,1.52,44.7,1.67,48.9,17.1,118.8,59.8,2.25,1.59,1.09,2.54,1.67,18.1,2.97,https://fbref.com/en/players/387d06b2/Fred-Onyedinma,387d06b2,EFL Championship
436,Milutin Osmajić,MNE,FW,Preston,24-167,1999,12.4,20.7,0.24,0.65,9.19,11.4,2.02,20.7,0.81,0.40,50.0,0.40,50.0,12.3,53.5,17.1,0.81,0.65,0.65,2.90,0.89,15.2,4.27,https://fbref.com/en/players/375ed9d7/Milutin-Osmajic,375ed9d7,EFL Championship
437,Kenneth Paal,SUR,"DF,MF",QPR,26-198,1997,25.1,65.7,2.71,23.4,25.9,16.9,0.80,65.7,1.79,1.08,60.0,0.60,33.3,27.9,113.1,52.1,0.92,0.68,0.24,1.43,0.80,36.9,3.19,https://fbref.com/en/players/d8faef3e/Kenneth-Paal,d8faef3e,EFL Championship
438,Alex Palmer,ENG,GK,West Brom,27-151,1996,26.0,37.6,29.0,37.2,0.38,0.00,0.00,37.6,0.00,0.00,,0.00,,21.5,100.4,59.0,0.00,0.00,0.00,0.08,0.00,20.9,0.00,https://fbref.com/en/players/6ea97fd5/Alex-Palmer,6ea97fd5,EFL Championship
439,Kasey Palmer,JAM,"MF,FW",Coventry City,27-060,1996,6.3,54.9,0.63,2.70,28.3,24.8,2.86,54.9,4.29,1.90,44.4,2.06,48.1,32.4,163.8,78.6,2.86,1.90,1.27,4.44,1.59,36.0,6.03,https://fbref.com/en/players/453f566a/Kasey-Palmer,453f566a,EFL Championship
440,Liam Palmer,SCO,"DF,MF",Sheffield Weds,32-111,1991,12.3,53.2,2.93,17.0,27.8,8.86,1.06,53.2,1.14,0.41,35.7,0.65,57.1,24.1,101.0,48.6,0.89,0.89,0.16,0.89,0.24,29.1,1.95,https://fbref.com/en/players/93affd76/Liam-Palmer,93affd76,EFL Championship
441,Jonathan Panzo,ENG,DF,Cardiff City,23-075,2000,0.9,87.8,7.78,42.2,46.7,0.00,0.00,87.8,1.11,1.11,100.0,0.00,0.0,51.1,314.4,134.4,2.22,0.00,0.00,1.11,0.00,55.6,0.00,https://fbref.com/en/players/c795c408/Jonathan-Panzo,c795c408,EFL Championship
442,Samuel Parker,WAL,DF,Swansea City,17-185,2006,0.8,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/0fc8db7f/Samuel-Parker,0fc8db7f,EFL Championship
443,Callum Paterson,SCO,"DF,MF",Sheffield Weds,29-087,1994,16.3,41.5,3.56,9.14,16.7,15.9,3.07,41.5,1.17,0.55,47.4,0.61,52.6,16.6,66.4,22.1,0.67,0.49,0.25,2.27,0.67,23.2,4.54,https://fbref.com/en/players/d2583bce/Callum-Paterson,d2583bce,EFL Championship
444,Jamie Paterson,ENG,"MF,FW",Swansea City,32-019,1991,19.2,48.3,1.04,4.90,21.2,22.9,2.86,48.3,2.55,0.83,32.7,1.51,59.2,29.3,166.4,65.3,2.19,1.46,0.78,2.08,1.46,33.3,5.89,https://fbref.com/en/players/8b6bfc53/Jamie-Paterson,8b6bfc53,EFL Championship
445,Charlie Patino,ENG,MF,Swansea City,20-083,2003,11.6,66.8,1.81,12.4,38.3,16.3,0.69,66.8,2.33,1.29,55.6,0.86,37.0,38.7,214.4,81.4,1.29,1.29,0.00,1.81,1.47,46.4,3.79,https://fbref.com/en/players/e71aac2c/Charlie-Patino,e71aac2c,EFL Championship
446,Anthony Patterson,ENG,GK,Sunderland,23-243,2000,26.0,37.5,30.3,37.1,0.38,0.04,0.04,37.5,0.08,0.08,100.0,0.00,0.0,24.9,121.1,68.8,0.00,0.00,0.00,0.04,0.00,22.8,0.00,https://fbref.com/en/players/b2470c6f/Anthony-Patterson,b2470c6f,EFL Championship
447,Aynsley Pears,ENG,GK,Blackburn,25-260,1998,8.7,45.2,36.3,44.8,0.34,0.00,0.00,45.2,0.00,0.00,,0.00,,24.4,104.8,57.8,0.00,0.00,0.00,0.00,0.00,22.3,0.00,https://fbref.com/en/players/dfa084b2/Aynsley-Pears,dfa084b2,EFL Championship
448,Ben Pearson,ENG,MF,Stoke City,29-004,1995,18.6,61.5,2.53,13.4,40.6,8.23,0.22,61.5,0.59,0.27,45.5,0.27,45.5,32.4,147.5,71.8,1.24,0.81,0.00,0.65,0.59,37.2,0.65,https://fbref.com/en/players/a6b461e7/Ben-Pearson,a6b461e7,EFL Championship
449,Matty Pearson,ENG,DF,Huddersfield,30-158,1993,19.2,52.1,6.61,21.9,25.7,4.69,1.72,52.1,0.05,0.05,100.0,0.00,0.0,19.0,76.7,36.1,0.26,0.10,0.00,0.78,0.10,23.3,0.57,https://fbref.com/en/players/d54e009e/Matty-Pearson,d54e009e,EFL Championship
450,Kristian Pedersen,DEN,DF,Swansea City,29-157,1994,3.2,85.9,3.44,26.6,47.2,13.4,1.56,85.9,0.94,0.63,66.7,0.31,33.3,39.7,146.3,81.6,0.31,0.31,0.00,0.94,0.31,48.8,2.50,https://fbref.com/en/players/5154b2ba/Kristian-Pedersen,5154b2ba,EFL Championship
451,Lee Peltier,ENG,DF,Rotherham Utd,37-028,1986,7.9,42.0,6.58,15.6,19.0,7.59,1.14,42.0,0.13,0.13,100.0,0.00,0.0,14.1,42.9,14.4,0.13,0.00,0.00,0.51,0.00,14.4,0.25,https://fbref.com/en/players/af341b88/Lee-Peltier,af341b88,EFL Championship
452,Timothee Pembele,FRA,"DF,FW",Sunderland,21-121,2002,0.5,58.0,8.00,20.0,12.0,26.0,2.00,58.0,6.00,4.00,66.7,2.00,33.3,18.0,108.0,50.0,0.00,0.00,0.00,6.00,0.00,28.0,8.00,https://fbref.com/en/players/f8ce97ca/Timothee-Pembele,f8ce97ca,EFL Championship
453,Ricardo Pereira,POR,DF,Leicester City,30-094,1993,21.7,88.0,3.69,20.3,52.0,16.3,0.83,88.0,1.06,0.60,56.5,0.37,34.8,40.5,153.1,81.7,1.38,1.52,0.18,1.20,0.88,62.3,1.71,https://fbref.com/en/players/75a72a99/Ricardo-Pereira,75a72a99,EFL Championship
454,Sonny Perkins,ENG,FW,Leeds United,19-332,2004,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/87f12e30/Sonny-Perkins,87f12e30,EFL Championship
455,Matt Phillips,SCO,"DF,FW",West Brom,32-301,1991,15.4,44.9,1.69,8.31,15.6,21.8,2.60,44.9,2.99,1.17,39.1,1.62,54.3,26.0,182.5,83.2,3.51,1.88,0.91,2.08,1.43,29.7,7.21,https://fbref.com/en/players/7bb5f40e/Matt-Phillips,7bb5f40e,EFL Championship
456,Jaden Philogene Bidace,ENG,"FW,MF",Hull City,21-334,2002,13.2,53.3,0.68,5.53,20.5,28.3,6.74,53.3,5.98,3.03,50.6,2.35,39.2,37.6,295.2,147.0,6.06,2.80,3.11,3.11,3.11,38.6,12.3,https://fbref.com/en/players/19f4d211/Jaden-Philogene-Bidace,19f4d211,EFL Championship
457,Joey Phuthi,ZIM,FW,Sheffield Weds,19-006,2005,0.1,50.0,0.00,0.00,30.0,30.0,0.00,50.0,10.0,0.00,0.0,10.0,100.0,30.0,170.0,0.00,0.00,10.0,0.00,10.0,0.00,20.0,0.00,https://fbref.com/en/players/147e789b/Joey-Phuthi,147e789b,EFL Championship
458,Harry Pickering,ENG,DF,Blackburn,25-010,1998,21.1,71.1,3.79,25.2,30.7,15.4,1.37,71.1,0.47,0.09,20.0,0.28,60.0,35.0,136.2,69.9,1.23,0.62,0.14,0.81,0.14,43.5,3.89,https://fbref.com/en/players/fd985c15/Harry-Pickering,fd985c15,EFL Championship
459,Erik Pieters,NED,DF,West Brom,35-154,1988,10.9,77.5,4.59,30.1,36.4,11.2,0.18,77.5,0.18,0.09,50.0,0.09,50.0,34.3,155.7,104.8,0.83,1.28,0.00,0.73,0.00,44.2,0.83,https://fbref.com/en/players/1ef37668/Erik-Pieters,1ef37668,EFL Championship
460,Pipa,ESP,"DF,FW",West Brom,25-347,1998,1.9,52.6,1.58,11.6,20.0,21.6,3.16,52.6,3.16,2.11,66.7,1.05,33.3,31.6,163.2,70.5,2.11,1.05,0.00,1.05,1.58,34.7,5.26,https://fbref.com/en/players/10f1cd17/Pipa,10f1cd17,EFL Championship
461,Joël Piroe,NED,"MF,FW",Leeds United,24-159,1999,20.5,35.6,0.83,3.90,17.3,14.9,3.02,35.5,1.51,0.59,38.7,0.78,51.6,19.9,98.1,52.0,1.66,1.17,0.39,1.56,0.98,25.8,3.71,https://fbref.com/en/players/1f0072a6/Joel-Piroe,1f0072a6,EFL Championship
462,Joël Piroe,NED,FW,Swansea City,24-159,1999,3.0,29.3,1.33,3.00,14.7,12.0,3.00,29.3,2.00,0.67,33.3,1.00,50.0,12.3,59.3,24.3,0.67,1.00,0.33,1.00,0.67,17.3,4.67,https://fbref.com/en/players/1f0072a6/Joel-Piroe,1f0072a6,EFL Championship
463,Julio Pleguezuelo,ESP,DF,Plymouth Argyle,26-347,1997,15.4,63.7,9.55,35.0,27.5,1.62,0.52,63.7,0.39,0.19,50.0,0.13,33.3,35.5,168.6,83.5,0.45,0.26,0.00,0.32,0.19,41.9,0.06,https://fbref.com/en/players/2950c47b/Julio-Pleguezuelo,2950c47b,EFL Championship
464,Matthew Pollock,ENG,"MF,DF",Watford,22-102,2001,1.0,66.0,8.00,33.0,29.0,4.00,0.00,66.0,0.00,0.00,,0.00,,30.0,145.0,90.0,1.00,2.00,0.00,0.00,0.00,31.0,0.00,https://fbref.com/en/players/6681bcc8/Matthew-Pollock,6681bcc8,EFL Championship
465,Ryan Porteous,SCO,DF,Watford,24-289,1999,20.3,75.3,7.68,38.2,34.8,2.32,0.69,75.3,0.34,0.30,85.7,0.05,14.3,42.5,184.8,115.7,0.54,0.34,0.00,0.30,0.20,49.1,0.30,https://fbref.com/en/players/514725a0/Ryan-Porteous,514725a0,EFL Championship
466,Brad Potts,ENG,DF,Preston,29-189,1994,24.6,67.2,3.05,15.0,32.7,20.6,2.72,67.2,2.32,0.93,40.4,1.14,49.1,33.1,213.6,97.7,3.01,1.99,0.37,1.99,1.46,38.4,6.06,https://fbref.com/en/players/a81ba56b/Brad-Potts,a81ba56b,EFL Championship
467,Dennis Praet,BEL,"MF,FW",Leicester City,29-239,1994,1.9,63.2,1.05,9.47,30.5,23.7,3.68,63.2,0.53,0.53,100.0,0.00,0.0,45.3,204.7,73.2,1.58,1.05,0.53,1.58,0.53,54.2,6.32,https://fbref.com/en/players/86695068/Dennis-Praet,86695068,EFL Championship
