Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
138,Hamza Choudhury,ENG,"DF,MF",Leicester City,26-099,1997,19,706,37,30.2,7.8,0.90,84,0.51,1.54,10,0.90,2.58,1.92,0.51,1.41,+1.40,+0.03,2.13,0.77,1.35,+1.34,+0.61,https://fbref.com/en/players/7d2d3329/Hamza-Choudhury,7d2d3329,EFL Championship
139,Cyrus Christie,IRL,DF,Hull City,31-100,1992,24,1253,52,53.5,13.9,0.86,82,0.43,0.86,23,0.14,1.38,1.58,1.58,0.00,0.00,-0.33,1.42,1.04,0.37,+0.37,+0.30,https://fbref.com/en/players/7eb67dad/Cyrus-Christie,7eb67dad,EFL Championship
140,Dennis Cirkin,ENG,DF,Sunderland,21-277,2002,8,505,63,21.6,5.6,0.89,90,0.71,0.54,19,0.00,1.38,1.79,0.89,0.89,+0.89,+0.74,1.68,0.91,0.77,+0.76,+0.30,https://fbref.com/en/players/307ea3b6/Dennis-Cirkin,307ea3b6,EFL Championship
141,Ciaran Clark,IRL,DF,Stoke City,34-104,1989,3,270,90,11.5,3.0,1.00,90,1.00,0.00,,2.67,0.00,1.00,2.33,-1.33,-1.33,-1.20,1.63,1.60,0.03,+0.02,+0.21,https://fbref.com/en/players/2b91cf8e/Ciaran-Clark,2b91cf8e,EFL Championship
142,Harry Clarke,ENG,DF,Ipswich Town,22-312,2001,20,1452,73,62.1,16.1,0.99,82,0.68,0.25,34,0.25,2.00,1.80,1.37,0.43,+0.43,-0.38,1.50,1.06,0.44,+0.44,-0.19,https://fbref.com/en/players/a64f2573/Harry-Clarke,a64f2573,EFL Championship
143,Jack Clarke,ENG,"MF,FW",Sunderland,23-046,2000,26,2295,88,98.1,25.5,1.02,88,0.78,0.00,,0.00,1.54,1.37,1.06,0.31,+0.31,+0.31,1.56,1.02,0.55,+0.54,+0.75,https://fbref.com/en/players/e16932d8/Jack-Clarke,e16932d8,EFL Championship
144,Matthew Clarke,ENG,DF,Middlesbrough,27-108,1996,7,362,52,15.5,4.0,0.75,90,0.75,1.00,23,1.75,1.29,1.00,1.75,-0.75,-0.75,-0.84,1.25,1.35,-0.07,-0.09,-0.69,https://fbref.com/en/players/8ea2227a/Matthew-Clarke,8ea2227a,EFL Championship
145,Jake Clarke-Salter,ENG,DF,QPR,26-108,1997,15,1103,74,47.1,12.3,0.89,85,0.73,0.33,42,0.41,0.87,0.98,1.46,-0.49,-0.49,+0.24,0.76,1.25,-0.50,-0.50,-0.06,https://fbref.com/en/players/0df092d3/Jake-Clarke-Salter,0df092d3,EFL Championship
146,Reyes Cleary,ENG,DF,West Brom,19-270,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/d8e563fb/Reyes-Cleary,d8e563fb,EFL Championship
147,Sam Clucas,ENG,MF,Rotherham Utd,33-105,1990,15,588,39,25.1,6.5,1.23,59,0.00,1.08,16,0.00,0.80,1.08,1.54,-0.46,-0.46,+0.72,0.63,1.45,-0.82,-0.81,+0.47,https://fbref.com/en/players/987718f5/Sam-Clucas,987718f5,EFL Championship
148,Conor Coady,ENG,DF,Leicester City,30-317,1993,7,425,61,18.2,4.7,1.06,84,0.85,0.43,4,2.98,2.43,1.91,0.85,1.06,+1.06,-0.40,1.34,0.77,0.55,+0.56,-0.44,https://fbref.com/en/players/2928dca2/Conor-Coady,2928dca2,EFL Championship
149,Josh Coburn,ENG,FW,Middlesbrough,21-033,2002,19,972,51,41.5,10.8,1.02,77,0.37,0.74,15,0.46,1.53,1.48,1.39,0.09,+0.09,+0.22,1.57,1.12,0.45,+0.46,-0.07,https://fbref.com/en/players/cdb3f59c/Josh-Coburn,cdb3f59c,EFL Championship
150,Jack Colback,ENG,MF,QPR,34-076,1989,13,898,69,38.4,10.0,1.20,71,0.30,0.10,45,0.00,0.77,0.80,1.70,-0.90,-0.90,-0.47,0.77,1.28,-0.51,-0.51,-0.08,https://fbref.com/en/players/963a9201/Jack-Colback,963a9201,EFL Championship
151,Bradley Collins,ENG,GK,Coventry City,26-324,1997,11,990,90,42.3,11.0,1.00,90,1.00,0.00,,1.36,2.00,1.73,0.64,1.09,+1.09,+1.22,1.37,1.25,0.12,+0.12,-0.27,https://fbref.com/en/players/f679abe1/Bradley-Collins,f679abe1,EFL Championship
152,James Collins,ENG,FW,Watford,19-008,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/bff59da7/James-Collins,bff59da7,EFL Championship
153,Jamilu Collins,NGA,DF,Cardiff City,29-156,1994,23,1965,85,84.0,21.8,1.01,89,0.87,0.05,7,0.05,1.57,1.38,1.19,0.18,+0.18,+0.90,0.99,1.33,-0.35,-0.35,+0.07,https://fbref.com/en/players/33a95e0a/Jamilu-Collins,33a95e0a,EFL Championship
154,Joel Colwill,WAL,MF,Cardiff City,19-073,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/56aef149/Joel-Colwill,56aef149,EFL Championship
155,Rubin Colwill,WAL,"MF,FW",Cardiff City,21-256,2002,19,653,34,27.9,7.3,0.55,76,0.14,2.05,23,0.68,1.21,1.23,1.23,0.00,0.00,-0.05,1.18,1.84,-0.66,-0.66,-0.43,https://fbref.com/en/players/f170b63e/Rubin-Colwill,f170b63e,EFL Championship
