Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
247,Marlon Freitas,BRA,MF,Botafogo (RJ),27,1995,32.3,2.48,2.48,2.17,0.03,0.03,0.19,0.03,0.03,0.15,0.15,0.12,0.00,0.00,0.03,0.00,0.00,https://fbref.com/en/players/ae3181de/Marlon-Freitas,ae3181de,Brazilian Serie A
248,Bruno Fuchs,BRA,DF,Atlético Mineiro,23,1999,12.1,0.83,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ee89e28d/Bruno-Fuchs,ee89e28d,Brazilian Serie A
249,Julio Furch,ARG,"FW,MF",Santos,33,1989,6.8,2.50,2.50,1.62,0.00,0.29,0.44,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/84d35e44/Julio-Furch,84d35e44,Brazilian Serie A
250,Gabriel,BRA,DF,Bahia,21,2001,10.9,0.55,0.55,0.28,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4fd28619/Gabriel,4fd28619,Brazilian Serie A
251,Gabriel,BRA,MF,Internacional,30,1992,8.5,2.00,2.00,1.76,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e9c0d5d8/Gabriel,e9c0d5d8,Brazilian Serie A
252,Gabriel,BRA,GK,Coritiba,30,1992,30.7,0.16,0.16,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f93ed0df/Gabriel,f93ed0df,Brazilian Serie A
253,Gabriel,BRA,MF,Botafogo (RJ),29,1993,9.6,3.44,3.30,2.50,0.10,0.31,0.31,0.00,0.21,0.21,0.20,0.21,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0d10333c/Gabriel,0d10333c,Brazilian Serie A
254,Eduardo Gabriel,BRA,DF,Santos,26,1996,3.0,0.67,0.67,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/aed65960/Eduardo-Gabriel,aed65960,Brazilian Serie A
255,Thalisson Gabriel,BRA,DF,Coritiba,21,2002,10.5,0.19,0.19,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e494b1e4/Thalisson-Gabriel,e494b1e4,Brazilian Serie A
256,Zé Gabriel,BRA,MF,Vasco da Gama,24,1999,21.5,1.21,1.21,1.02,0.00,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2879ff2a/Ze-Gabriel,2879ff2a,Brazilian Serie A
257,Ighor Gabryel,BRA,FW,América (MG),20,2003,0.3,3.33,3.46,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/7c60d824/Ighor-Gabryel,7c60d824,Brazilian Serie A
258,Matías Galarza,PAR,MF,Vasco da Gama,20,2002,4.5,1.11,1.12,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8e97a57b/Matias-Galarza,8e97a57b,Brazilian Serie A
259,Thiago Galhardo,BRA,"FW,MF",Fortaleza,33,1989,20.8,2.79,2.78,1.97,0.00,0.14,0.38,0.19,0.10,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/766f48dd/Thiago-Galhardo,766f48dd,Brazilian Serie A
260,JP Galvão,BRA,DF,Botafogo (RJ),21,2001,2.2,2.73,2.69,1.82,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/55b2c39b/JP-Galvao,55b2c39b,Brazilian Serie A
261,Ganso,BRA,MF,Fluminense,33,1989,19.3,3.52,3.52,2.75,0.57,0.00,0.21,0.00,0.00,0.41,0.41,0.31,0.10,0.00,0.00,0.00,0.00,https://fbref.com/en/players/23593121/Ganso,23593121,Brazilian Serie A
262,Maurício Garcez,BRA,"MF,FW",Coritiba,25,1997,6.6,1.82,1.81,0.91,0.00,0.15,0.15,0.45,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/1c060dbf/Mauricio-Garcez,1c060dbf,Brazilian Serie A
263,García,BRA,DF,Palmeiras,21,2002,3.3,1.52,1.54,1.21,0.30,0.00,0.00,0.00,0.00,0.30,0.31,0.30,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/45d071f4/Garcia,45d071f4,Brazilian Serie A
264,Bryan García,ECU,MF,Ath Paranaense,22,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,https://fbref.com/en/players/7b66d351/Bryan-Garcia,7b66d351,Brazilian Serie A
265,Luan Garcia,BRA,DF,Palmeiras,29,1993,20.2,1.24,1.24,1.14,0.00,0.05,0.05,0.00,0.00,0.20,0.20,0.10,0.00,0.05,0.05,0.00,0.00,https://fbref.com/en/players/6ebe6cc1/Luan-Garcia,6ebe6cc1,Brazilian Serie A
266,Rafael Gava,BRA,MF,Cuiabá,29,1993,0.2,10.0,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/713e1a36/Rafael-Gava,713e1a36,Brazilian Serie A
267,Pedro Geromel,BRA,DF,Grêmio,37,1985,5.2,0.38,0.38,0.19,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/78f81520/Pedro-Geromel,78f81520,Brazilian Serie A
268,Gerson,BRA,MF,Flamengo,25,1997,29.9,4.08,4.09,3.38,0.00,0.27,0.13,0.27,0.03,0.50,0.50,0.43,0.00,0.03,0.00,0.03,0.00,https://fbref.com/en/players/8827bf46/Gerson,8827bf46,Brazilian Serie A
269,Gil,BRA,DF,Corinthians,35,1987,32.0,0.75,0.75,0.53,0.00,0.00,0.16,0.03,0.03,0.13,0.12,0.06,0.00,0.00,0.06,0.00,0.00,https://fbref.com/en/players/31edef00/Gil,31edef00,Brazilian Serie A
270,Gilberto,BRA,FW,Cruzeiro,33,1989,12.1,1.82,1.81,1.49,0.00,0.08,0.17,0.00,0.08,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/5da22685/Gilberto,5da22685,Brazilian Serie A
271,Gilberto,BRA,DF,Bahia,29,1993,20.6,3.01,3.01,2.33,0.24,0.19,0.05,0.15,0.05,0.39,0.39,0.29,0.00,0.05,0.00,0.05,0.00,https://fbref.com/en/players/1338e42b/Gilberto,1338e42b,Brazilian Serie A
272,Giovane,BRA,FW,Corinthians,19,2003,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/1b567cdc/Giovane,1b567cdc,Brazilian Serie A
273,Giovani,BRA,FW,Palmeiras,19,2004,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a199bd5f/Giovani,a199bd5f,Brazilian Serie A
274,Giovanni,BRA,"MF,DF",Fluminense,21,2002,1.1,5.45,5.63,3.64,0.00,0.00,0.91,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ca91dace/Giovanni,ca91dace,Brazilian Serie A
275,Bruno Gomes,BRA,MF,Coritiba,21,2001,24.4,2.91,2.91,1.80,0.25,0.20,0.12,0.45,0.08,0.25,0.25,0.12,0.04,0.00,0.04,0.04,0.00,https://fbref.com/en/players/76f2bbf8/Bruno-Gomes,76f2bbf8,Brazilian Serie A
276,Igor Gomes,BRA,"MF,FW",Atlético Mineiro,23,1999,15.3,3.40,3.41,2.48,0.59,0.26,0.00,0.07,0.00,0.39,0.39,0.33,0.00,0.07,0.00,0.00,0.00,https://fbref.com/en/players/6a7fb945/Igor-Gomes,6a7fb945,Brazilian Serie A
277,Igor Gomes,BRA,DF,Internacional,21,2001,16.3,0.92,0.92,0.67,0.00,0.06,0.12,0.06,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/509d5b3d/Igor-Gomes,509d5b3d,Brazilian Serie A
278,Marlon Gomes,BRA,MF,Vasco da Gama,19,2003,12.7,,,,,,,,,,,,,,,,,https://fbref.com/en/players/a5a6f083/Marlon-Gomes,a5a6f083,Brazilian Serie A
279,William Gomes,BRA,FW,São Paulo,16,2006,0.8,6.25,5.92,5.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/22675fbb/William-Gomes,22675fbb,Brazilian Serie A
