Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,3.33,2.10,1.10,1.96,0.27,1.83,3.88,47.1,2.05,1.42,0.05,1.37,1.19,4.52,1.00,0.05,https://fbref.com/en/players/6140be7b/Nicolas-Acevedo,6140be7b,Brazilian Serie A
2,Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,0.81,0.47,0.00,0.41,0.41,0.14,0.47,28.6,0.34,0.61,0.14,0.47,0.61,1.42,1.22,0.00,https://fbref.com/en/players/2557c196/Luiz-Adriano,2557c196,Brazilian Serie A
3,Adriel,BRA,GK,Grêmio,22,2001,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
4,Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,1.02,0.60,0.69,0.30,0.03,0.51,0.78,65.4,0.27,1.29,0.90,0.39,1.83,2.85,6.07,0.06,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Brazilian Serie A
5,Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,3.47,2.74,2.32,0.84,0.32,1.26,2.21,57.1,0.95,1.68,0.21,1.47,0.84,4.32,0.11,0.00,https://fbref.com/en/players/eda38706/Adson,eda38706,Brazilian Serie A
6,Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,2.96,1.85,1.11,1.11,0.74,1.11,2.22,50.0,1.11,0.37,0.00,0.37,1.85,4.81,0.00,0.00,https://fbref.com/en/players/77f8db7c/Adyson,77f8db7c,Brazilian Serie A
7,Washington Aguerre,URU,GK,América (MG),29,1993,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
8,Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,0.91,0.00,0.30,0.30,0.30,0.61,1.52,40.0,0.91,1.52,0.61,0.91,0.30,1.21,1.21,0.00,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Brazilian Serie A
9,Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,0.76,0.46,0.20,0.26,0.30,0.30,0.73,40.9,0.43,0.76,0.07,0.70,0.10,0.86,0.56,0.00,https://fbref.com/en/players/65159211/Yuri-Alberto,65159211,Brazilian Serie A
10,Ale,BRA,MF,América (MG),32,1990,15.8,2.41,1.01,1.08,1.20,0.13,0.76,2.34,32.4,1.58,1.33,0.32,1.01,1.77,4.18,1.52,0.00,https://fbref.com/en/players/b7d9347d/Ale,b7d9347d,Brazilian Serie A
11,Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,1.32,1.32,0.26,0.79,0.26,0.26,1.32,20.0,1.05,1.32,0.26,1.05,0.26,1.58,0.53,0.00,https://fbref.com/en/players/3ed2a79b/Alexandre-Alemao,3ed2a79b,Brazilian Serie A
12,Alerrandro,BRA,"FW,MF",Bragantino,23,2000,4.5,0.44,0.44,0.22,0.22,0.00,0.00,0.22,0.0,0.22,0.67,0.00,0.67,0.00,0.44,1.33,0.00,https://fbref.com/en/players/3415a44d/Alerrandro,3415a44d,Brazilian Serie A
13,Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,2.33,1.37,1.64,0.41,0.27,1.64,3.70,44.4,2.05,0.68,0.14,0.55,0.14,2.47,0.96,0.00,https://fbref.com/en/players/611e984e/Alesson,611e984e,Brazilian Serie A
14,Alex,BRA,DF,Santos,23,1999,5.1,1.76,1.37,1.57,0.00,0.20,0.39,0.78,50.0,0.39,0.59,0.39,0.20,1.37,3.14,1.96,0.00,https://fbref.com/en/players/7367baf7/Alex,7367baf7,Brazilian Serie A
15,Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,2.60,1.44,1.06,1.34,0.21,1.47,3.49,42.2,2.02,1.75,0.24,1.51,0.82,3.42,0.75,0.00,https://fbref.com/en/players/08ac23b7/Caio-Alexandre,08ac23b7,Brazilian Serie A
16,Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,2.60,1.75,1.69,0.76,0.15,1.66,3.08,53.9,1.42,1.12,0.15,0.97,1.27,3.87,2.24,0.03,https://fbref.com/en/players/0212e748/Matheus-Alexandre,0212e748,Brazilian Serie A
17,Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,2.56,1.43,1.13,1.13,0.30,1.20,2.56,47.1,1.35,1.50,0.23,1.28,0.75,3.31,0.90,0.00,https://fbref.com/en/players/b13e7a78/Alexsander,b13e7a78,Brazilian Serie A
18,Alison,BRA,MF,Santos,29,1993,1.5,2.00,0.67,0.67,1.33,0.00,0.67,2.67,25.0,2.00,3.33,1.33,2.00,2.00,4.00,3.33,0.00,https://fbref.com/en/players/d39b373b/Alison,d39b373b,Brazilian Serie A
19,Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,4.00,4.00,0.00,2.00,2.00,0.00,0.00,,0.00,2.00,0.00,2.00,0.00,4.00,2.00,0.00,https://fbref.com/en/players/d26ee8de/Alisson,d26ee8de,Brazilian Serie A
20,Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,1.97,1.34,0.63,1.09,0.25,1.05,2.72,38.5,1.67,1.30,0.46,0.84,1.13,3.10,1.42,0.04,https://fbref.com/en/players/99139fa4/Alisson,99139fa4,Brazilian Serie A
