Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Nicolás Acevedo,URU,MF,Bahia,23,1999,31,1970,64,57.6,21.9,0.96,84,0.73,0.46,20,0.14,1.16,0.91,1.28,-0.37,-0.37,-0.68,1.22,1.36,-0.14,-0.14,-0.29,https://fbref.com/en/players/6140be7b/Nicolas-Acevedo,6140be7b,Brazilian Serie A
2,Luiz Adriano,BRA,FW,Internacional,35,1987,29,1330,46,38.9,14.8,1.15,68,0.20,0.81,15,0.41,1.28,0.74,1.35,-0.61,-0.61,-1.04,0.88,1.26,-0.38,-0.38,-0.41,https://fbref.com/en/players/2557c196/Luiz-Adriano,2557c196,Brazilian Serie A
3,Adriel,BRA,GK,Bahia,22,2001,0,,,,,0,,0,0,,14,,,,,,,,,,,,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
4,Adriel,BRA,GK,Grêmio,22,2001,2,180,90,5.3,2.0,1.00,90,1.00,0.00,,3.00,3.00,1.50,0.50,1.00,+1.00,+0.86,1.20,1.25,-0.10,-0.08,+0.06,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
5,Adryelson,BRA,DF,Botafogo (RJ),24,1998,35,2996,86,87.6,33.3,1.05,86,0.87,0.00,,0.00,1.74,1.53,0.87,0.66,+0.66,+0.87,1.40,1.29,0.10,+0.10,+0.54,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Brazilian Serie A
6,Adson,BRA,"FW,MF",Corinthians,22,2000,15,857,57,25.1,9.5,0.95,73,0.11,0.63,33,0.21,1.53,1.05,0.95,0.11,+0.11,+0.18,1.07,1.14,-0.06,-0.06,+0.23,https://fbref.com/en/players/eda38706/Adson,eda38706,Brazilian Serie A
7,Adyson,BRA,"FW,MF",América (MG),17,2005,8,245,31,7.2,2.7,0.37,90,0.37,2.59,22,2.22,0.38,0.00,2.59,-2.59,-2.57,-1.66,1.00,1.96,-0.96,-0.96,-0.58,https://fbref.com/en/players/77f8db7c/Adyson,77f8db7c,Brazilian Serie A
8,Agner,BRA,FW,Fluminense,17,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/b1fedba4/Agner,b1fedba4,Brazilian Serie A
9,Washington Aguerre,URU,GK,América (MG),29,1993,2,180,90,5.3,2.0,1.00,90,1.00,0.00,,5.50,0.50,1.50,2.00,-0.50,-0.50,+0.56,1.20,1.35,-0.15,-0.16,+0.27,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
10,Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,15,296,20,8.7,3.3,0.30,64,0.00,4.24,17,3.33,1.07,2.12,3.03,-0.91,-0.91,-1.60,1.64,2.03,-0.39,-0.39,-0.46,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Brazilian Serie A
11,Yuri Alberto,BRA,FW,Corinthians,21,2001,34,2722,80,79.6,30.2,1.06,83,0.56,0.07,28,0.03,1.35,1.36,1.19,0.17,+0.17,+0.94,1.10,1.23,-0.14,-0.14,+0.48,https://fbref.com/en/players/65159211/Yuri-Alberto,65159211,Brazilian Serie A
12,Ale,BRA,MF,América (MG),32,1990,27,1424,53,41.6,15.8,0.89,80,0.44,0.82,23,0.44,0.59,0.89,2.15,-1.27,-1.26,-0.41,1.28,1.87,-0.58,-0.58,-0.28,https://fbref.com/en/players/b7d9347d/Ale,b7d9347d,Brazilian Serie A
