Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Adriel,BRA,GK,Grêmio,22,2001,2,2,180,2.0,0.50,0.50,4.00,3.50,87.5,1.00,0.00,0.00,0.50,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
2,Washington Aguerre,URU,GK,América (MG),29,1993,2,2,180,2.0,2.00,2.00,3.50,1.50,42.9,0.00,0.50,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
3,Anderson,BRA,GK,Cruzeiro,24,1998,1,1,90,1.0,0.00,0.00,1.00,1.00,100.0,0.00,1.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/29d862d4/Anderson,29d862d4,Brazilian Serie A
4,Bento,BRA,GK,Ath Paranaense,23,1999,33,33,2970,33.0,1.12,1.12,4.24,3.06,76.4,0.36,0.33,0.30,0.27,27.3,0.18,0.12,0.06,0.00,33.3,https://fbref.com/en/players/5d699228/Bento,5d699228,Brazilian Serie A
5,Brenno,BRA,GK,Grêmio,23,1999,1,1,90,1.0,1.00,1.00,2.00,1.00,50.0,1.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/f002e8eb/Brenno,f002e8eb,Brazilian Serie A
6,Rafael Cabral,BRA,GK,Cruzeiro,32,1990,37,37,3330,37.0,0.86,0.86,3.76,2.89,78.4,0.30,0.35,0.35,0.41,40.5,0.08,0.05,0.00,0.03,0.0,https://fbref.com/en/players/806f7a26/Rafael-Cabral,806f7a26,Brazilian Serie A
7,Caíque,BRA,GK,Grêmio,25,1997,4,4,360,4.0,0.75,0.75,4.25,3.50,88.2,1.00,0.00,0.00,0.50,50.0,0.25,0.25,0.00,0.00,0.0,https://fbref.com/en/players/49892b6e/Caique,49892b6e,Brazilian Serie A
8,João Carlos,BRA,GK,Cuiabá,34,1988,3,3,270,3.0,1.33,1.33,4.00,2.67,66.7,0.33,0.00,0.67,0.33,33.3,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/ad9e7995/Joao-Carlos,ad9e7995,Brazilian Serie A
9,Cássio,BRA,GK,Corinthians,35,1987,37,37,3310,36.8,1.30,1.31,4.92,3.64,76.8,0.30,0.38,0.33,0.22,21.6,0.19,0.16,0.00,0.03,0.0,https://fbref.com/en/players/d42f6326/Cassio,d42f6326,Brazilian Serie A
10,Matheus Cavichioli,BRA,GK,América (MG),36,1986,15,15,1348,15.0,2.07,2.07,5.07,3.00,61.8,0.13,0.07,0.80,0.07,6.7,0.27,0.13,0.13,0.00,50.0,https://fbref.com/en/players/8470f026/Matheus-Cavichioli,8470f026,Brazilian Serie A
