Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Adriel,BRA,GK,Grêmio,22,2001,2.0,0.50,0.00,0.00,0.00,0.00,0.90,0.23,0.40,+0.40,6.50,24.0,27.1,17.0,2.50,61.8,44.2,14.5,93.1,63.5,25.0,1.00,4.0,1.00,1.00,18.0,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
2,Washington Aguerre,URU,GK,América (MG),29,1993,2.0,2.00,0.00,0.00,0.50,0.00,1.55,0.44,-0.45,-0.47,2.00,7.00,28.6,12.5,5.00,40.0,37.0,8.00,25.0,27.1,23.5,2.00,8.5,0.00,0.00,6.8,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
3,Anderson,BRA,GK,Cruzeiro,24,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,+0.03,3.00,6.00,50.0,15.0,3.00,33.3,32.5,3.00,33.3,32.3,3.00,0.00,0.0,0.00,0.00,10.0,https://fbref.com/en/players/29d862d4/Anderson,29d862d4,Brazilian Serie A
4,Bento,BRA,GK,Ath Paranaense,23,1999,33.0,1.12,0.12,0.03,0.15,0.00,1.13,0.22,0.01,+0.01,3.42,11.7,29.2,17.8,3.88,42.1,37.9,8.79,47.9,40.6,14.8,1.06,7.1,0.64,0.64,11.9,https://fbref.com/en/players/5d699228/Bento,5d699228,Brazilian Serie A
5,Brenno,BRA,GK,Grêmio,23,1999,1.0,1.00,0.00,0.00,1.00,0.00,0.90,0.43,-0.10,-0.15,2.00,4.00,50.0,16.0,6.00,12.5,21.8,3.00,66.7,38.0,7.00,0.00,0.0,0.00,0.00,13.5,https://fbref.com/en/players/f002e8eb/Brenno,f002e8eb,Brazilian Serie A
6,Rafael Cabral,BRA,GK,Cruzeiro,32,1990,37.0,0.86,0.05,0.05,0.08,0.00,1.15,0.29,0.28,+0.28,4.68,11.2,41.7,24.9,4.19,32.7,32.8,8.05,38.3,35.2,13.2,0.51,3.9,0.54,0.54,13.4,https://fbref.com/en/players/806f7a26/Rafael-Cabral,806f7a26,Brazilian Serie A
7,Caíque,BRA,GK,Grêmio,25,1997,4.0,0.75,0.25,0.00,0.00,0.00,1.52,0.30,0.78,+0.78,4.25,12.8,33.3,15.5,5.50,56.5,43.4,8.25,48.5,37.8,21.3,2.00,9.4,0.25,0.25,8.2,https://fbref.com/en/players/49892b6e/Caique,49892b6e,Brazilian Serie A
8,João Carlos,BRA,GK,Cuiabá,34,1988,3.0,1.33,0.00,0.00,0.00,0.00,1.50,0.37,0.17,+0.15,5.00,10.0,50.0,13.7,3.33,46.3,39.5,8.33,44.0,37.4,11.3,0.67,5.9,0.00,0.00,9.7,https://fbref.com/en/players/ad9e7995/Joao-Carlos,ad9e7995,Brazilian Serie A
9,Cássio,BRA,GK,Corinthians,35,1987,36.8,1.30,0.16,0.00,0.22,0.03,1.50,0.27,0.22,+0.22,4.54,9.62,47.2,20.0,3.97,33.9,33.8,10.0,28.5,29.8,17.3,0.73,4.2,0.35,0.35,10.8,https://fbref.com/en/players/d42f6326/Cassio,d42f6326,Brazilian Serie A
10,Matheus Cavichioli,BRA,GK,América (MG),36,1986,15.0,2.07,0.13,0.00,0.07,0.13,1.83,0.32,-0.11,-0.11,6.53,13.7,47.8,17.4,3.87,54.8,40.3,7.67,53.9,40.4,18.3,1.60,8.7,1.20,1.20,13.3,https://fbref.com/en/players/8470f026/Matheus-Cavichioli,8470f026,Brazilian Serie A
