Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
1,Dickson Abiama,NGA,FW,Greuther Fürth,25-066,1998,5.9,20.8,20.5,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.00,0.00,12.2,0.34,1.02,https://fbref.com/en/players/cadd666a/Dickson-Abiama,cadd666a,2. Bundesliga
2,Ragnar Ache,GER,"FW,MF",Kaiserslautern,25-164,1998,7.7,14.2,13.8,0.39,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,7.40,0.00,0.52,https://fbref.com/en/players/dc38e3bc/Ragnar-Ache,dc38e3bc,2. Bundesliga
3,Aremu Afeez,NGA,MF,Kaiserslautern,24-097,1999,0.5,28.0,28.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.0,0.00,2.00,https://fbref.com/en/players/e52845f9/Aremu-Afeez,e52845f9,2. Bundesliga
4,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,25-330,1998,12.9,27.1,26.4,0.62,0.00,0.00,0.16,2.48,0.31,0.08,0.00,0.00,0.00,19.5,0.16,1.40,https://fbref.com/en/players/5054c359/Oladapo-Afolayan,5054c359,2. Bundesliga
5,Andreas Albers,DEN,FW,St. Pauli,33-291,1990,3.8,20.0,18.9,1.05,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,12.4,0.00,0.26,https://fbref.com/en/players/94471fb7/Andreas-Albers,94471fb7,2. Bundesliga
6,Xavier Amaechi,ENG,"FW,MF",Magdeburg,23-003,2001,3.3,40.3,35.2,4.85,1.82,0.00,0.61,5.76,0.91,2.12,1.52,0.30,0.00,28.8,0.30,0.61,https://fbref.com/en/players/1b95524b/Xavier-Amaechi,1b95524b,2. Bundesliga
7,Stephan Ambrosius,GHA,DF,Hamburger SV,25-021,1998,7.0,67.7,65.4,2.29,1.57,0.00,0.43,0.14,0.71,0.00,0.00,0.00,0.00,62.3,0.00,0.14,https://fbref.com/en/players/2930c9d8/Stephan-Ambrosius,2930c9d8,2. Bundesliga
8,Etienne Amenyido,TOG,"FW,MF",St. Pauli,25-313,1998,1.2,44.2,42.5,1.67,0.00,1.67,0.00,1.67,0.83,0.00,0.00,0.00,0.00,32.5,0.00,0.83,https://fbref.com/en/players/3ed57b9e/Etienne-Amenyido,3ed57b9e,2. Bundesliga
9,Youssef Amyn,IRQ,"FW,MF",Braunschweig,20-140,2003,2.2,24.1,23.2,0.91,0.00,0.00,0.45,1.36,0.00,0.45,0.00,0.00,0.00,16.4,0.00,0.45,https://fbref.com/en/players/10c12f22/Youssef-Amyn,10c12f22,2. Bundesliga
10,Martin Angha,SUI,DF,Wehen,29-351,1994,13.4,40.9,38.8,2.01,0.97,0.00,0.22,0.67,1.04,0.00,0.00,0.00,0.00,32.3,0.07,0.60,https://fbref.com/en/players/41a1a2c8/Martin-Angha,41a1a2c8,2. Bundesliga
11,Ilyas Ansah,GER,"FW,MF",Paderborn 07,19-061,2004,4.7,13.6,13.2,0.43,0.00,0.00,0.00,1.06,0.00,0.00,0.00,0.00,0.00,9.36,0.00,0.64,https://fbref.com/en/players/6c1248ae/Ilyas-Ansah,6c1248ae,2. Bundesliga
12,Nico Antonitsch,AUT,DF,Elversberg,32-100,1991,1.0,34.0,32.0,2.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,0.00,https://fbref.com/en/players/05e2f1e4/Nico-Antonitsch,05e2f1e4,2. Bundesliga
13,Shinta Appelkamp,GER,"MF,FW",Düsseldorf,23-068,2000,11.6,44.8,38.4,6.12,1.47,0.09,0.69,7.07,0.00,4.05,0.52,2.84,0.17,31.8,0.26,0.95,https://fbref.com/en/players/fc073770/Shinta-Appelkamp,fc073770,2. Bundesliga
14,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24-002,2000,6.2,21.1,20.6,0.48,0.16,0.00,0.48,1.61,0.16,0.00,0.00,0.00,0.00,13.7,0.00,1.77,https://fbref.com/en/players/c21fb312/Jann-Fiete-Arp,c21fb312,2. Bundesliga
15,Bright Arrey-Mbi,GER,DF,Hannover 96,20-288,2003,14.4,45.3,44.0,1.25,0.63,0.00,0.07,0.00,0.63,0.00,0.00,0.00,0.00,37.9,0.00,0.28,https://fbref.com/en/players/1394bf42/Bright-Arrey-Mbi,1394bf42,2. Bundesliga
16,Ahmet Arslan,GER,"MF,FW",Magdeburg,29-284,1994,2.8,52.5,46.1,6.43,1.07,0.00,0.00,6.07,0.00,4.64,2.14,1.43,0.00,35.7,0.00,2.86,https://fbref.com/en/players/d63e97c6/Ahmet-Arslan,d63e97c6,2. Bundesliga
17,Simon Asta,GER,DF,Greuther Fürth,22-348,2001,15.5,41.2,31.4,9.55,0.13,0.06,0.32,2.19,9.42,0.00,0.00,0.00,0.00,28.9,0.26,1.87,https://fbref.com/en/players/dfc85b89/Simon-Asta,dfc85b89,2. Bundesliga
18,Barış Atik,GER,"FW,MF",Magdeburg,28-364,1995,15.4,53.6,45.2,8.12,2.79,0.58,0.45,3.31,1.36,3.51,0.58,0.65,0.06,40.5,0.32,0.71,https://fbref.com/en/players/d452e43d/Baris-Atik,d452e43d,2. Bundesliga
19,Janik Bachmann,GER,MF,Hansa Rostock,27-247,1996,6.7,28.1,27.3,0.75,0.60,0.00,0.45,0.15,0.15,0.00,0.00,0.00,0.00,21.0,0.00,0.30,https://fbref.com/en/players/a0b87a85/Janik-Bachmann,a0b87a85,2. Bundesliga
20,Aurel Badji Wagbe,GER,DF,Holstein Kiel,19-338,2004,0.0,4,2,2,0,0,0,1,2,0,0,0,0,2,0,0,https://fbref.com/en/players/46797229/Aurel-Badji-Wagbe,46797229,2. Bundesliga
21,Florian Bähr,GER,"DF,MF",Osnabrück,20-324,2003,0.5,62.0,46.0,16.0,4.00,0.00,0.00,10.0,10.0,2.00,2.00,0.00,0.00,40.0,0.00,0.00,https://fbref.com/en/players/160a2f40/Florian-Bahr,160a2f40,2. Bundesliga
22,Scott Banks,SCO,FW,St. Pauli,22-104,2001,0.6,26.7,26.7,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,16.7,0.00,1.67,https://fbref.com/en/players/d01f8942/Scott-Banks,d01f8942,2. Bundesliga
23,Nick Bätzner,GER,MF,Wehen,23-299,2000,8.3,40.6,38.9,1.45,0.36,0.12,0.00,1.20,0.36,0.60,0.36,0.12,0.00,29.6,0.24,1.45,https://fbref.com/en/players/1b351b62/Nick-Batzner,1b351b62,2. Bundesliga
