Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
19,Robert Kwasigroch,GER,GK,Hertha BSC,19-196,2004,1.0,0.00,0.00,0.00,0.00,0.00,0.80,0.28,0.80,+0.84,8.00,16.0,50.0,29.0,3.00,51.7,37.1,3.00,33.3,31.0,19.0,1.00,5.3,0.00,0.00,4.3,https://fbref.com/en/players/5f517064/Robert-Kwasigroch,5f517064,2. Bundesliga
20,Michael Langer,AUT,GK,Schalke 04,39-002,1985,2.5,2.80,0.80,0.00,0.00,0.00,1.80,0.17,-1.00,-1.01,6.00,13.2,45.5,35.2,5.20,30.7,30.3,5.60,42.9,36.6,10.0,0.40,4.0,0.80,0.80,14.9,https://fbref.com/en/players/d20f088b/Michael-Langer,d20f088b,2. Bundesliga
21,Andreas Linde,SWE,GK,Greuther Fürth,30-168,1993,1.0,1.00,1.00,0.00,0.00,0.00,2.50,0.38,1.50,+1.51,9.00,20.0,45.0,35.0,2.00,42.9,38.5,12.0,41.7,36.1,17.0,0.00,0.0,0.00,0.00,15.0,https://fbref.com/en/players/4d6a842d/Andreas-Linde,4d6a842d,2. Bundesliga
22,Andreas Luthe,GER,GK,Kaiserslautern,36-304,1987,1.4,2.14,0.71,0.00,0.00,0.00,2.21,0.35,0.07,+0.05,8.57,19.3,44.4,57.1,0.00,33.8,31.3,2.14,0.0,18.3,15.0,0.00,0.0,5.00,4.92,19.5,https://fbref.com/en/players/7fe12375/Andreas-Luthe,7fe12375,2. Bundesliga
23,Christian Mathenia,GER,GK,Nürnberg,31-283,1992,14.7,2.04,0.20,0.00,0.27,0.00,1.56,0.31,-0.48,-0.48,3.95,13.4,29.4,37.6,4.97,29.3,32.1,5.71,41.7,38.4,15.8,0.75,4.7,1.36,1.36,14.5,https://fbref.com/en/players/4a15e95b/Christian-Mathenia,4a15e95b,2. Bundesliga
24,Marius Müller,GER,GK,Schalke 04,30-180,1993,5.5,2.00,0.18,0.00,0.00,0.00,2.78,0.40,0.78,+0.77,6.91,16.0,43.2,36.0,4.36,35.9,33.9,7.27,42.5,38.4,12.7,0.91,7.1,0.55,0.55,10.6,https://fbref.com/en/players/04ac779b/Marius-Muller,04ac779b,2. Bundesliga
25,Dominik Reimann,GER,GK,Magdeburg,26-204,1997,17.0,1.65,0.12,0.06,0.06,0.06,1.58,0.28,-0.01,-0.01,5.47,14.4,38.1,69.8,4.94,19.4,28.3,5.18,15.9,24.7,12.0,0.71,5.9,1.47,1.47,16.4,https://fbref.com/en/players/4bdecfcd/Dominik-Reimann,4bdecfcd,2. Bundesliga
26,Florian Stritzel,GER,GK,Wehen,29-342,1994,17.0,1.29,0.18,0.00,0.12,0.00,1.59,0.27,0.29,+0.29,5.59,17.1,32.6,22.0,3.59,47.1,37.3,10.8,62.5,47.4,18.0,1.12,6.2,0.35,0.35,9.8,https://fbref.com/en/players/ae7717b9/Florian-Stritzel,ae7717b9,2. Bundesliga
27,Jonas Urbig,GER,GK,Greuther Fürth,20-153,2003,16.0,1.19,0.06,0.00,0.06,0.00,1.18,0.28,-0.01,-0.01,5.81,16.2,35.9,42.5,4.63,35.7,33.6,5.13,19.5,28.4,11.8,1.19,10.1,2.81,2.81,19.7,https://fbref.com/en/players/925bbcdc/Jonas-Urbig,925bbcdc,2. Bundesliga
28,Nikola Vasilj,BIH,GK,St. Pauli,28-037,1995,17.0,0.88,0.12,0.00,0.00,0.00,0.76,0.28,-0.12,-0.12,3.18,7.24,43.9,46.7,3.65,14.7,24.9,2.24,15.8,25.1,11.1,0.88,7.9,1.24,1.24,15.3,https://fbref.com/en/players/f038585f/Nikola-Vasilj,f038585f,2. Bundesliga
29,Timon Weiner,GER,GK,Holstein Kiel,24-355,1999,14.0,1.29,0.14,0.07,0.21,0.00,1.38,0.28,0.09,+0.09,6.50,15.9,40.8,33.2,3.43,36.3,32.6,9.00,42.9,36.5,16.7,1.00,6.0,0.79,0.79,14.1,https://fbref.com/en/players/1fb2d1b0/Timon-Weiner,1fb2d1b0,2. Bundesliga
30,Ron-Robert Zieler,GER,GK,Hannover 96,34-330,1989,17.0,1.35,0.24,0.00,0.06,0.12,1.34,0.24,0.10,+0.10,5.18,15.0,34.5,33.6,2.88,37.8,35.0,7.47,30.7,34.1,14.6,0.53,3.6,0.94,0.94,14.4,https://fbref.com/en/players/a0606ae8/Ron-Robert-Zieler,a0606ae8,2. Bundesliga
