Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
1,Dickson Abiama,NGA,FW,Greuther Fürth,25-066,1998,5.9,0.51,3.22,1.02,31.6,3.21,1.01,0.16,0.50,14.1,0.00,0.00,0.00,0.44,0.44,0.14,0.07,0.07,https://fbref.com/en/players/cadd666a/Dickson-Abiama,cadd666a,2. Bundesliga
2,Ragnar Ache,GER,"FW,MF",Kaiserslautern,25-164,1998,7.7,0.78,5.97,2.60,43.5,5.97,2.59,0.13,0.30,13.0,0.00,0.00,0.00,0.75,0.75,0.13,0.03,0.03,https://fbref.com/en/players/dc38e3bc/Ragnar-Ache,dc38e3bc,2. Bundesliga
3,Aremu Afeez,NGA,MF,Kaiserslautern,24-097,1999,0.5,0.00,2.00,0.00,0.0,2.00,0.00,0.00,,29.0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,https://fbref.com/en/players/e52845f9/Aremu-Afeez,e52845f9,2. Bundesliga
4,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,25-330,1998,12.9,0.16,2.56,0.70,27.3,2.57,0.70,0.06,0.22,19.2,0.00,0.00,0.00,0.13,0.13,0.05,0.02,0.02,https://fbref.com/en/players/5054c359/Oladapo-Afolayan,5054c359,2. Bundesliga
5,Andreas Albers,DEN,FW,St. Pauli,33-291,1990,3.8,0.00,2.89,0.79,27.3,2.87,0.78,0.00,0.00,10.7,0.00,0.00,0.00,0.29,0.29,0.10,-0.29,-0.29,https://fbref.com/en/players/94471fb7/Andreas-Albers,94471fb7,2. Bundesliga
6,Xavier Amaechi,ENG,"FW,MF",Magdeburg,23-003,2001,3.3,0.30,2.42,0.91,37.5,2.39,0.90,0.13,0.33,20.6,0.00,0.00,0.00,0.18,0.18,0.07,0.12,0.12,https://fbref.com/en/players/1b95524b/Xavier-Amaechi,1b95524b,2. Bundesliga
7,Stephan Ambrosius,GHA,DF,Hamburger SV,25-021,1998,7.0,0.00,0.29,0.00,0.0,0.29,0.00,0.00,,22.1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/2930c9d8/Stephan-Ambrosius,2930c9d8,2. Bundesliga
8,Etienne Amenyido,TOG,"FW,MF",St. Pauli,25-313,1998,1.2,0.83,6.67,1.67,25.0,6.61,1.65,0.13,0.50,20.8,0.00,0.00,0.00,0.33,0.33,0.05,0.50,0.50,https://fbref.com/en/players/3ed57b9e/Etienne-Amenyido,3ed57b9e,2. Bundesliga
9,Youssef Amyn,IRQ,"FW,MF",Braunschweig,20-140,2003,2.2,0.00,1.36,0.00,0.0,1.37,0.00,0.00,,21.0,0.00,0.00,0.00,0.05,0.05,0.03,-0.05,-0.05,https://fbref.com/en/players/10c12f22/Youssef-Amyn,10c12f22,2. Bundesliga
10,Martin Angha,SUI,DF,Wehen,29-351,1994,13.4,0.00,0.37,0.00,0.0,0.37,0.00,0.00,,8.1,0.00,0.00,0.00,0.03,0.03,0.09,-0.03,-0.03,https://fbref.com/en/players/41a1a2c8/Martin-Angha,41a1a2c8,2. Bundesliga
11,Ilyas Ansah,GER,"FW,MF",Paderborn 07,19-061,2004,4.7,0.21,1.49,0.43,28.6,1.50,0.43,0.14,0.50,14.9,0.00,0.00,0.00,0.17,0.17,0.11,0.04,0.04,https://fbref.com/en/players/6c1248ae/Ilyas-Ansah,6c1248ae,2. Bundesliga
12,Nico Antonitsch,AUT,DF,Elversberg,32-100,1991,1.0,0.00,1.00,1.00,100.0,1.03,1.03,0.00,0.00,4.2,0.00,0.00,0.00,0.20,0.20,0.18,-0.20,-0.20,https://fbref.com/en/players/05e2f1e4/Nico-Antonitsch,05e2f1e4,2. Bundesliga
13,Shinta Appelkamp,GER,"MF,FW",Düsseldorf,23-068,2000,11.6,0.09,1.47,0.43,29.4,1.46,0.43,0.06,0.20,21.3,0.17,0.00,0.00,0.08,0.08,0.05,0.01,0.01,https://fbref.com/en/players/fc073770/Shinta-Appelkamp,fc073770,2. Bundesliga
14,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24-002,2000,6.2,0.81,2.26,1.29,57.1,2.26,1.29,0.36,0.63,15.2,0.16,0.00,0.00,0.53,0.53,0.24,0.27,0.27,https://fbref.com/en/players/c21fb312/Jann-Fiete-Arp,c21fb312,2. Bundesliga
15,Bright Arrey-Mbi,GER,DF,Hannover 96,20-288,2003,14.4,0.00,0.14,0.07,50.0,0.14,0.07,0.00,0.00,26.3,0.00,0.00,0.00,0.01,0.01,0.10,-0.01,-0.01,https://fbref.com/en/players/1394bf42/Bright-Arrey-Mbi,1394bf42,2. Bundesliga
16,Ahmet Arslan,GER,"MF,FW",Magdeburg,29-284,1994,2.8,0.71,3.93,1.79,45.5,3.93,1.79,0.18,0.40,18.4,0.71,0.00,0.00,0.57,0.57,0.15,0.14,0.14,https://fbref.com/en/players/d63e97c6/Ahmet-Arslan,d63e97c6,2. Bundesliga
17,Simon Asta,GER,DF,Greuther Fürth,22-348,2001,15.5,0.06,0.84,0.13,15.4,0.84,0.13,0.08,0.50,16.6,0.00,0.00,0.00,0.07,0.07,0.09,-0.01,-0.01,https://fbref.com/en/players/dfc85b89/Simon-Asta,dfc85b89,2. Bundesliga
18,Barış Atik,GER,"FW,MF",Magdeburg,28-364,1995,15.4,0.13,2.08,0.84,40.6,2.08,0.84,0.06,0.15,20.3,0.45,0.00,0.00,0.18,0.18,0.09,-0.05,-0.05,https://fbref.com/en/players/d452e43d/Baris-Atik,d452e43d,2. Bundesliga
19,Janik Bachmann,GER,MF,Hansa Rostock,27-247,1996,6.7,0.00,1.49,0.45,30.0,1.49,0.45,0.00,0.00,15.3,0.00,0.00,0.00,0.10,0.10,0.07,-0.10,-0.10,https://fbref.com/en/players/a0b87a85/Janik-Bachmann,a0b87a85,2. Bundesliga
20,Aurel Badji Wagbe,GER,DF,Holstein Kiel,19-338,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/46797229/Aurel-Badji-Wagbe,46797229,2. Bundesliga
21,Florian Bähr,GER,"DF,MF",Osnabrück,20-324,2003,0.5,0.00,4.00,2.00,50.0,3.83,1.91,0.00,0.00,24.8,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,https://fbref.com/en/players/160a2f40/Florian-Bahr,160a2f40,2. Bundesliga
