Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Dickson Abiama,NGA,FW,Greuther Fürth,25-066,1998,5.9,35.1,0.68,2.71,11.9,21.0,6.78,35.1,3.90,1.86,47.8,2.03,52.2,19.8,98.8,49.5,2.03,1.53,0.68,4.41,0.68,26.4,6.44,https://fbref.com/en/players/cadd666a/Dickson-Abiama,cadd666a,2. Bundesliga
2,Ragnar Ache,GER,"FW,MF",Kaiserslautern,25-164,1998,7.7,31.3,2.08,3.12,10.9,17.7,8.70,31.3,1.56,0.39,25.0,1.04,66.7,13.1,66.8,32.2,1.30,0.39,1.04,2.99,1.56,23.2,5.19,https://fbref.com/en/players/dc38e3bc/Ragnar-Ache,dc38e3bc,2. Bundesliga
3,Aremu Afeez,NGA,MF,Kaiserslautern,24-097,1999,0.5,50.0,6.00,22.0,24.0,8.00,0.00,50.0,4.00,4.00,100.0,0.00,0.0,18.0,60.0,28.0,0.00,0.00,0.00,4.00,2.00,16.0,0.00,https://fbref.com/en/players/e52845f9/Aremu-Afeez,e52845f9,2. Bundesliga
4,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,25-330,1998,12.9,42.0,1.01,3.80,15.0,24.1,4.65,42.0,5.04,1.63,32.3,3.02,60.0,30.3,189.3,86.7,2.95,1.86,1.32,2.87,1.55,32.0,10.2,https://fbref.com/en/players/5054c359/Oladapo-Afolayan,5054c359,2. Bundesliga
5,Andreas Albers,DEN,FW,St. Pauli,33-291,1990,3.8,31.1,1.84,2.11,14.7,14.5,4.74,31.1,1.32,0.79,60.0,0.53,40.0,17.1,70.0,22.4,0.79,0.79,0.79,3.42,1.84,25.0,5.79,https://fbref.com/en/players/94471fb7/Andreas-Albers,94471fb7,2. Bundesliga
6,Xavier Amaechi,ENG,"FW,MF",Magdeburg,23-003,2001,3.3,53.3,0.61,6.06,19.4,28.2,2.12,53.3,4.24,1.52,35.7,2.73,64.3,32.1,231.8,110.6,3.94,3.64,0.61,2.73,0.61,38.5,9.39,https://fbref.com/en/players/1b95524b/Xavier-Amaechi,1b95524b,2. Bundesliga
7,Stephan Ambrosius,GHA,DF,Hamburger SV,25-021,1998,7.0,80.1,9.43,36.0,42.3,2.43,0.29,80.1,0.29,0.14,50.0,0.14,50.0,45.4,206.9,110.3,1.00,0.57,0.14,0.29,0.14,55.1,0.00,https://fbref.com/en/players/2930c9d8/Stephan-Ambrosius,2930c9d8,2. Bundesliga
8,Etienne Amenyido,TOG,"FW,MF",St. Pauli,25-313,1998,1.2,80.0,0.00,11.7,30.0,39.2,8.33,80.0,10.0,3.33,33.3,6.67,66.7,44.2,274.2,150.0,8.33,1.67,0.83,8.33,5.83,55.0,11.7,https://fbref.com/en/players/3ed57b9e/Etienne-Amenyido,3ed57b9e,2. Bundesliga
9,Youssef Amyn,IRQ,"FW,MF",Braunschweig,20-140,2003,2.2,40.9,0.45,5.00,17.3,20.0,1.36,40.9,6.36,1.82,28.6,2.73,42.9,25.5,202.7,111.8,3.18,1.36,0.00,4.09,1.36,27.3,7.27,https://fbref.com/en/players/10c12f22/Youssef-Amyn,10c12f22,2. Bundesliga
10,Martin Angha,SUI,DF,Wehen,29-351,1994,13.4,51.2,4.70,24.4,23.9,2.99,0.82,51.2,0.15,0.07,50.0,0.00,0.0,26.9,112.9,58.2,0.22,0.15,0.00,0.52,0.30,32.5,0.37,https://fbref.com/en/players/41a1a2c8/Martin-Angha,41a1a2c8,2. Bundesliga
11,Ilyas Ansah,GER,"FW,MF",Paderborn 07,19-061,2004,4.7,26.0,1.06,2.98,11.3,11.7,3.19,26.0,2.34,0.43,18.2,1.28,54.5,15.5,95.5,44.5,2.13,0.64,1.06,3.19,1.91,18.5,6.60,https://fbref.com/en/players/6c1248ae/Ilyas-Ansah,6c1248ae,2. Bundesliga
12,Nico Antonitsch,AUT,DF,Elversberg,32-100,1991,1.0,51.0,12.0,29.0,19.0,3.00,3.00,51.0,1.00,1.00,100.0,0.00,0.0,22.0,60.0,16.0,0.00,0.00,0.00,0.00,0.00,24.0,0.00,https://fbref.com/en/players/05e2f1e4/Nico-Antonitsch,05e2f1e4,2. Bundesliga
13,Shinta Appelkamp,GER,"MF,FW",Düsseldorf,23-068,2000,11.6,52.8,1.21,5.52,24.1,23.8,2.07,52.8,1.64,0.78,47.4,0.60,36.8,28.7,146.1,68.4,1.90,1.55,0.34,1.55,0.60,35.9,5.00,https://fbref.com/en/players/fc073770/Shinta-Appelkamp,fc073770,2. Bundesliga
14,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24-002,2000,6.2,36.1,0.97,6.29,13.2,17.3,3.87,36.1,3.87,1.77,45.8,2.10,54.2,19.8,124.2,58.9,2.10,0.97,1.45,2.90,2.10,23.7,8.06,https://fbref.com/en/players/c21fb312/Jann-Fiete-Arp,c21fb312,2. Bundesliga
15,Bright Arrey-Mbi,GER,DF,Hannover 96,20-288,2003,14.4,55.1,4.24,24.0,30.5,1.53,0.14,55.1,0.97,0.63,64.3,0.28,28.6,26.4,110.3,41.4,0.35,0.21,0.00,0.35,0.42,33.1,0.21,https://fbref.com/en/players/1394bf42/Bright-Arrey-Mbi,1394bf42,2. Bundesliga
16,Ahmet Arslan,GER,"MF,FW",Magdeburg,29-284,1994,2.8,63.9,0.36,5.71,31.8,26.8,3.93,63.9,0.71,0.71,100.0,0.00,0.0,32.9,180.7,101.4,2.50,2.14,0.36,0.71,0.71,41.8,6.79,https://fbref.com/en/players/d63e97c6/Ahmet-Arslan,d63e97c6,2. Bundesliga
17,Simon Asta,GER,DF,Greuther Fürth,22-348,2001,15.5,50.3,2.00,12.3,20.7,17.7,1.29,50.3,1.03,0.39,37.5,0.45,43.8,20.9,109.5,54.0,2.00,1.35,0.32,1.10,0.65,26.4,5.35,https://fbref.com/en/players/dfc85b89/Simon-Asta,dfc85b89,2. Bundesliga
18,Barış Atik,GER,"FW,MF",Magdeburg,28-364,1995,15.4,63.6,0.26,3.77,27.5,32.8,5.19,63.6,3.57,1.62,45.5,1.69,47.3,37.9,201.9,99.9,3.12,2.14,1.36,2.53,1.62,46.9,9.68,https://fbref.com/en/players/d452e43d/Baris-Atik,d452e43d,2. Bundesliga
19,Janik Bachmann,GER,MF,Hansa Rostock,27-247,1996,6.7,39.6,2.84,12.2,20.9,6.42,2.39,39.6,0.75,0.45,60.0,0.30,40.0,18.5,69.0,27.6,0.15,0.30,0.00,1.79,0.60,21.6,0.90,https://fbref.com/en/players/a0b87a85/Janik-Bachmann,a0b87a85,2. Bundesliga
20,Aurel Badji Wagbe,GER,DF,Holstein Kiel,19-338,2004,0.0,5,0,3,1,1,0,5,0,0,,0,,2,2,0,0,0,0,1,0,3,0,https://fbref.com/en/players/46797229/Aurel-Badji-Wagbe,46797229,2. Bundesliga
21,Florian Bähr,GER,"DF,MF",Osnabrück,20-324,2003,0.5,86.0,4.00,28.0,40.0,18.0,0.00,86.0,6.00,0.00,0.0,6.00,100.0,46.0,240.0,122.0,4.00,2.00,0.00,4.00,4.00,48.0,2.00,https://fbref.com/en/players/160a2f40/Florian-Bahr,160a2f40,2. Bundesliga
22,Scott Banks,SCO,FW,St. Pauli,22-104,2001,0.6,41.7,0.00,6.67,20.0,15.0,5.00,41.7,3.33,3.33,100.0,0.00,0.0,33.3,155.0,85.0,5.00,0.00,3.33,3.33,1.67,30.0,6.67,https://fbref.com/en/players/d01f8942/Scott-Banks,d01f8942,2. Bundesliga
23,Nick Bätzner,GER,MF,Wehen,23-299,2000,8.3,50.1,1.08,9.04,27.1,14.7,2.05,50.1,1.69,0.96,57.1,0.72,42.9,25.8,150.0,57.6,1.45,0.84,0.24,1.81,1.08,33.4,4.82,https://fbref.com/en/players/1b351b62/Nick-Batzner,1b351b62,2. Bundesliga
24,Timo Baumgartl,GER,DF,Schalke 04,27-310,1996,7.9,72.0,7.85,38.2,32.0,2.15,0.76,72.0,0.51,0.00,0.0,0.13,25.0,38.1,182.3,109.9,0.63,0.13,0.00,0.51,0.25,46.6,0.51,https://fbref.com/en/players/bd7d2e6d/Timo-Baumgartl,bd7d2e6d,2. Bundesliga
25,Timo Becker,GER,DF,Holstein Kiel,26-289,1997,11.3,54.0,5.22,23.6,22.3,8.58,2.04,54.0,1.42,0.62,43.8,0.71,50.0,26.1,158.9,73.0,1.06,0.62,0.09,0.80,0.09,30.1,2.57,https://fbref.com/en/players/543ddcaf/Timo-Becker,543ddcaf,2. Bundesliga
