Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Pelle Boevink,NED,GK,Paderborn 07,26-002,1998,3,3,270,3.0,0.33,0.33,3.00,2.67,88.9,1.00,0.00,0.00,0.67,66.7,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/a775d6e8/Pelle-Boevink,a775d6e8,2. Bundesliga
2,Oliver Christensen,DEN,GK,Hertha BSC,24-292,1999,2,2,180,2.0,1.00,1.00,3.50,2.50,71.4,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,2. Bundesliga
3,Thomas Dähne,GER,GK,Holstein Kiel,30-004,1994,3,3,270,3.0,1.67,1.67,4.00,2.33,58.3,0.67,0.00,0.33,0.33,33.3,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/f194035d/Thomas-Dahne,f194035d,2. Bundesliga
4,Patrick Drewes,GER,GK,Karlsruher,30-338,1993,17,17,1530,17.0,1.76,1.76,5.12,3.35,65.5,0.29,0.35,0.35,0.12,11.8,0.06,0.00,0.06,0.00,100.0,https://fbref.com/en/players/a8403737/Patrick-Drewes,a8403737,2. Bundesliga
5,Tjark Ernst,GER,GK,Hertha BSC,20-299,2003,14,14,1260,14.0,1.71,1.71,5.14,3.50,69.4,0.43,0.29,0.29,0.21,21.4,0.21,0.14,0.07,0.00,33.3,https://fbref.com/en/players/3f6c3ae0/Tjark-Ernst,3f6c3ae0,2. Bundesliga
6,Ralf Fährmann,GER,GK,Schalke 04,35-103,1988,7,7,630,7.0,1.86,1.86,4.00,2.29,57.1,0.57,0.14,0.29,0.29,28.6,0.14,0.14,0.00,0.00,0.0,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann,1e43fad8,2. Bundesliga
7,Lennart Grill,GER,GK,Osnabrück,24-348,1999,15,15,1350,15.0,2.47,2.47,6.47,3.80,63.9,0.07,0.27,0.67,0.00,0.0,0.40,0.13,0.27,0.00,66.7,https://fbref.com/en/players/37998008/Lennart-Grill,37998008,2. Bundesliga
8,Justin Heekeren,GER,GK,Schalke 04,23-042,2000,2,2,180,2.0,2.00,2.00,4.50,2.50,55.6,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/309ff595/Justin-Heekeren,309ff595,2. Bundesliga
9,Daniel Heuer Fernandes,POR,GK,Hamburger SV,31-056,1992,17,17,1530,17.0,1.29,1.29,4.06,2.76,69.6,0.53,0.24,0.24,0.41,41.2,0.12,0.06,0.06,0.00,50.0,https://fbref.com/en/players/0c1f8f71/Daniel-Heuer-Fernandes,0c1f8f71,2. Bundesliga
10,Ron-Thorben Hoffmann,GER,GK,Braunschweig,24-279,1999,17,17,1530,17.0,1.82,1.82,4.59,2.82,66.7,0.24,0.12,0.65,0.06,5.9,0.29,0.29,0.00,0.00,0.0,https://fbref.com/en/players/f72f1743/Ron-Thorben-Hoffmann,f72f1743,2. Bundesliga
11,Jannik Huth,GER,GK,Paderborn 07,29-268,1994,14,14,1260,14.0,1.93,1.93,5.36,3.43,64.0,0.36,0.21,0.43,0.07,7.1,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/e8fd2e5b/Jannik-Huth,e8fd2e5b,2. Bundesliga
12,Florian Kastenmeier,GER,GK,Düsseldorf,26-194,1997,17,17,1530,17.0,1.24,1.24,4.41,3.24,74.7,0.53,0.18,0.29,0.24,23.5,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/dc2e4736/Florian-Kastenmeier,dc2e4736,2. Bundesliga
13,Carl Klaus,GER,GK,Nürnberg,29-357,1994,3,2,200,2.2,1.36,1.35,2.73,1.36,50.0,0.00,0.45,0.45,0.45,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/8efed461/Carl-Klaus,8efed461,2. Bundesliga
14,Markus Kolke,GER,GK,Hansa Rostock,33-143,1990,17,17,1502,16.7,1.56,1.56,4.85,3.29,69.1,0.30,0.12,0.60,0.18,17.6,0.12,0.06,0.06,0.00,50.0,https://fbref.com/en/players/b114d86c/Markus-Kolke,b114d86c,2. Bundesliga
15,Nils-Jonathan Körber,GER,GK,Hansa Rostock,27-056,1996,1,0,25,0.3,6.67,7.20,20.0,13.3,66.7,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/6ac69ff9/Nils-Jonathan-Korber,6ac69ff9,2. Bundesliga
16,Julian Krahl,GER,GK,Kaiserslautern,23-351,2000,16,15,1400,15.6,2.12,2.12,5.58,3.46,66.7,0.32,0.19,0.45,0.00,0.0,0.26,0.26,0.00,0.00,0.0,https://fbref.com/en/players/5c9fe42b/Julian-Krahl,5c9fe42b,2. Bundesliga
17,Nicolas Kristof,GER,GK,Elversberg,24-019,1999,17,17,1530,17.0,1.71,1.71,5.06,3.35,69.8,0.41,0.18,0.41,0.18,17.6,0.18,0.18,0.00,0.00,0.0,https://fbref.com/en/players/a037c229/Nicolas-Kristof,a037c229,2. Bundesliga
18,Philipp Kühn,GER,GK,Osnabrück,31-128,1992,2,2,180,2.0,0.50,0.50,5.50,5.00,90.9,0.00,1.00,0.00,0.50,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/a5a24ce6/Philipp-Kuhn,a5a24ce6,2. Bundesliga
19,Robert Kwasigroch,GER,GK,Hertha BSC,19-196,2004,1,1,90,1.0,0.00,0.00,3.00,3.00,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/5f517064/Robert-Kwasigroch,5f517064,2. Bundesliga
20,Michael Langer,AUT,GK,Schalke 04,39-002,1985,3,2,226,2.5,2.80,2.79,6.00,3.20,66.7,0.00,0.00,0.80,0.00,0.0,0.80,0.80,0.00,0.00,0.0,https://fbref.com/en/players/d20f088b/Michael-Langer,d20f088b,2. Bundesliga
21,Andreas Linde,SWE,GK,Greuther Fürth,30-168,1993,1,1,90,1.0,1.00,1.00,4.00,3.00,100.0,0.00,1.00,0.00,0.00,0.0,1.00,1.00,0.00,0.00,0.0,https://fbref.com/en/players/4d6a842d/Andreas-Linde,4d6a842d,2. Bundesliga
22,Andreas Luthe,GER,GK,Kaiserslautern,36-304,1987,2,2,128,1.4,2.14,2.11,4.29,2.14,66.7,0.00,0.00,1.43,0.00,0.0,0.71,0.71,0.00,0.00,0.0,https://fbref.com/en/players/7fe12375/Andreas-Luthe,7fe12375,2. Bundesliga
