Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Dickson Abiama,NGA,FW,Greuther Fürth,25-066,1998,5.9,0.51,0.17,0.00,0.17,0.34,0.34,0.85,40.0,0.51,1.02,0.17,0.85,0.68,1.19,0.34,0.00,https://fbref.com/en/players/cadd666a/Dickson-Abiama,cadd666a,2. Bundesliga
2,Ragnar Ache,GER,"FW,MF",Kaiserslautern,25-164,1998,7.7,0.26,0.00,0.13,0.13,0.00,0.13,0.78,16.7,0.65,1.30,0.52,0.78,0.26,0.52,1.69,0.00,https://fbref.com/en/players/dc38e3bc/Ragnar-Ache,dc38e3bc,2. Bundesliga
3,Aremu Afeez,NGA,MF,Kaiserslautern,24-097,1999,0.5,4.00,0.00,4.00,0.00,0.00,0.00,2.00,0.0,2.00,0.00,0.00,0.00,2.00,6.00,4.00,0.00,https://fbref.com/en/players/e52845f9/Aremu-Afeez,e52845f9,2. Bundesliga
4,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,25-330,1998,12.9,0.85,0.70,0.31,0.31,0.23,0.23,0.93,25.0,0.70,1.24,0.16,1.09,0.47,1.32,0.70,0.00,https://fbref.com/en/players/5054c359/Oladapo-Afolayan,5054c359,2. Bundesliga
5,Andreas Albers,DEN,FW,St. Pauli,33-291,1990,3.8,0.79,0.53,0.00,0.53,0.26,0.53,1.05,50.0,0.53,0.00,0.00,0.00,0.26,1.05,2.11,0.00,https://fbref.com/en/players/94471fb7/Andreas-Albers,94471fb7,2. Bundesliga
6,Xavier Amaechi,ENG,"FW,MF",Magdeburg,23-003,2001,3.3,0.30,0.30,0.00,0.30,0.00,0.00,1.52,0.0,1.52,1.21,0.00,1.21,0.30,0.61,0.61,0.00,https://fbref.com/en/players/1b95524b/Xavier-Amaechi,1b95524b,2. Bundesliga
7,Stephan Ambrosius,GHA,DF,Hamburger SV,25-021,1998,7.0,2.14,0.86,1.57,0.57,0.00,1.43,2.43,58.8,1.00,2.43,0.57,1.86,2.57,4.71,3.86,0.00,https://fbref.com/en/players/2930c9d8/Stephan-Ambrosius,2930c9d8,2. Bundesliga
8,Etienne Amenyido,TOG,"FW,MF",St. Pauli,25-313,1998,1.2,2.50,1.67,0.00,2.50,0.00,1.67,1.67,100.0,0.00,2.50,0.00,2.50,0.83,3.33,1.67,0.00,https://fbref.com/en/players/3ed57b9e/Etienne-Amenyido,3ed57b9e,2. Bundesliga
9,Youssef Amyn,IRQ,"FW,MF",Braunschweig,20-140,2003,2.2,0.91,0.91,0.00,0.45,0.45,0.45,0.91,50.0,0.45,2.27,0.00,2.27,0.00,0.91,0.45,0.00,https://fbref.com/en/players/10c12f22/Youssef-Amyn,10c12f22,2. Bundesliga
10,Martin Angha,SUI,DF,Wehen,29-351,1994,13.4,2.01,1.19,1.19,0.60,0.22,1.27,1.87,68.0,0.60,1.42,0.67,0.75,0.67,2.69,3.88,0.00,https://fbref.com/en/players/41a1a2c8/Martin-Angha,41a1a2c8,2. Bundesliga
11,Ilyas Ansah,GER,"FW,MF",Paderborn 07,19-061,2004,4.7,0.43,0.21,0.00,0.21,0.21,0.21,1.28,16.7,1.06,0.85,0.21,0.64,0.00,0.43,1.06,0.00,https://fbref.com/en/players/6c1248ae/Ilyas-Ansah,6c1248ae,2. Bundesliga
12,Nico Antonitsch,AUT,DF,Elversberg,32-100,1991,1.0,4.00,1.00,2.00,2.00,0.00,2.00,3.00,66.7,1.00,0.00,0.00,0.00,2.00,6.00,8.00,0.00,https://fbref.com/en/players/05e2f1e4/Nico-Antonitsch,05e2f1e4,2. Bundesliga
13,Shinta Appelkamp,GER,"MF,FW",Düsseldorf,23-068,2000,11.6,0.86,0.60,0.26,0.43,0.17,0.43,0.69,62.5,0.26,0.52,0.00,0.52,0.34,1.21,1.03,0.00,https://fbref.com/en/players/fc073770/Shinta-Appelkamp,fc073770,2. Bundesliga
14,Jann-Fiete Arp,GER,"FW,MF",Holstein Kiel,24-002,2000,6.2,1.45,1.13,0.81,0.48,0.16,0.65,1.94,33.3,1.29,1.13,0.00,1.13,0.65,2.10,0.97,0.00,https://fbref.com/en/players/c21fb312/Jann-Fiete-Arp,c21fb312,2. Bundesliga
15,Bright Arrey-Mbi,GER,DF,Hannover 96,20-288,2003,14.4,2.43,1.60,1.39,0.97,0.07,1.53,2.08,73.3,0.56,1.39,0.49,0.90,1.46,3.89,3.54,0.00,https://fbref.com/en/players/1394bf42/Bright-Arrey-Mbi,1394bf42,2. Bundesliga
16,Ahmet Arslan,GER,"MF,FW",Magdeburg,29-284,1994,2.8,1.43,1.07,0.71,0.36,0.36,0.71,2.50,28.6,1.79,1.07,0.00,1.07,0.71,2.14,0.71,0.00,https://fbref.com/en/players/d63e97c6/Ahmet-Arslan,d63e97c6,2. Bundesliga
17,Simon Asta,GER,DF,Greuther Fürth,22-348,2001,15.5,1.23,0.84,0.52,0.71,0.00,0.71,1.29,55.0,0.58,1.68,0.13,1.55,0.77,2.00,1.87,0.00,https://fbref.com/en/players/dfc85b89/Simon-Asta,dfc85b89,2. Bundesliga
18,Barış Atik,GER,"FW,MF",Magdeburg,28-364,1995,15.4,0.91,0.65,0.32,0.39,0.19,0.32,0.84,38.5,0.52,0.78,0.00,0.78,0.26,1.17,0.32,0.00,https://fbref.com/en/players/d452e43d/Baris-Atik,d452e43d,2. Bundesliga
19,Janik Bachmann,GER,MF,Hansa Rostock,27-247,1996,6.7,1.19,0.45,0.90,0.30,0.00,0.75,1.34,55.6,0.60,1.34,0.60,0.75,1.34,2.54,1.19,0.00,https://fbref.com/en/players/a0b87a85/Janik-Bachmann,a0b87a85,2. Bundesliga
