Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Dickson Abiama,NGA,FW,Greuther Fürth,25-066,1998,5.9,12.2,20.8,58.5,165.8,54.2,7.29,10.5,69.4,3.56,5.93,60.0,0.51,1.36,37.5,0.17,0.07,0.05,0.10,1.36,1.69,0.51,0.17,2.54,https://fbref.com/en/players/cadd666a/Dickson-Abiama,cadd666a,2. Bundesliga
2,Ragnar Ache,GER,"FW,MF",Kaiserslautern,25-164,1998,7.7,7.40,14.2,52.3,104.4,32.5,4.42,8.18,54.0,2.08,3.51,59.3,0.52,0.78,66.7,0.00,0.13,0.05,-0.13,1.04,1.30,0.26,0.13,1.30,https://fbref.com/en/players/dc38e3bc/Ragnar-Ache,dc38e3bc,2. Bundesliga
3,Aremu Afeez,NGA,MF,Kaiserslautern,24-097,1999,0.5,18.0,28.0,64.3,296.0,126.0,10.0,12.0,83.3,8.00,10.0,80.0,0.00,4.00,0.0,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,https://fbref.com/en/players/e52845f9/Aremu-Afeez,e52845f9,2. Bundesliga
4,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,25-330,1998,12.9,19.5,27.1,72.0,305.2,72.2,10.5,12.8,81.8,7.13,8.84,80.7,1.24,2.48,50.0,0.16,0.09,0.12,0.06,1.40,1.16,1.24,0.31,2.40,https://fbref.com/en/players/5054c359/Oladapo-Afolayan,5054c359,2. Bundesliga
5,Andreas Albers,DEN,FW,St. Pauli,33-291,1990,3.8,12.4,20.0,61.8,119.2,24.2,8.68,13.2,66.0,1.58,4.21,37.5,0.00,0.00,,0.00,0.05,0.03,-0.05,1.32,0.53,0.26,0.00,0.79,https://fbref.com/en/players/94471fb7/Andreas-Albers,94471fb7,2. Bundesliga
6,Xavier Amaechi,ENG,"FW,MF",Magdeburg,23-003,2001,3.3,28.8,40.3,71.4,502.1,112.4,13.9,16.7,83.6,11.2,14.8,75.5,3.33,6.36,52.4,0.00,0.09,0.15,-0.09,0.91,0.61,1.82,0.00,4.85,https://fbref.com/en/players/1b95524b/Xavier-Amaechi,1b95524b,2. Bundesliga
7,Stephan Ambrosius,GHA,DF,Hamburger SV,25-021,1998,7.0,62.3,67.7,92.0,1225.9,308.7,19.0,20.6,92.4,36.4,38.0,95.9,6.71,8.71,77.0,0.00,0.01,0.01,-0.01,0.29,3.14,0.29,0.00,4.29,https://fbref.com/en/players/2930c9d8/Stephan-Ambrosius,2930c9d8,2. Bundesliga
8,Etienne Amenyido,TOG,"FW,MF",St. Pauli,25-313,1998,1.2,32.5,44.2,73.6,424.2,170.0,17.5,21.7,80.8,10.0,15.0,66.7,0.83,1.67,50.0,1.67,0.33,0.25,1.33,5.00,0.83,2.50,0.00,6.67,https://fbref.com/en/players/3ed57b9e/Etienne-Amenyido,3ed57b9e,2. Bundesliga
9,Youssef Amyn,IRQ,"FW,MF",Braunschweig,20-140,2003,2.2,16.4,24.1,67.9,244.1,61.4,8.18,11.8,69.2,6.36,8.64,73.7,0.91,2.27,40.0,0.00,0.05,0.05,-0.05,0.91,0.45,1.82,0.00,3.18,https://fbref.com/en/players/10c12f22/Youssef-Amyn,10c12f22,2. Bundesliga
10,Martin Angha,SUI,DF,Wehen,29-351,1994,13.4,32.3,40.9,79.0,586.3,203.4,12.7,14.4,88.1,16.6,18.7,88.8,2.61,6.19,42.2,0.00,0.08,0.09,-0.08,0.30,2.16,0.07,0.00,2.61,https://fbref.com/en/players/41a1a2c8/Martin-Angha,41a1a2c8,2. Bundesliga
