Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Dickson Abiama,NGA,FW,Greuther Fürth,25-066,1998,13,533,41,34.8,5.9,0.85,78,0.17,1.36,18,0.34,1.69,1.69,1.36,0.34,+0.34,-0.11,1.19,1.10,0.08,+0.09,-0.17,https://fbref.com/en/players/cadd666a/Dickson-Abiama,cadd666a,2. Bundesliga
2,Ragnar Ache,GER,"FW,MF",Kaiserslautern,25-164,1998,11,694,63,45.4,7.7,1.04,75,0.26,0.39,31,0.00,1.55,2.60,1.43,1.17,+1.17,+3.00,1.99,1.90,0.09,+0.09,+0.55,https://fbref.com/en/players/dc38e3bc/Ragnar-Ache,dc38e3bc,2. Bundesliga
3,Aremu Afeez,NGA,MF,St. Pauli,24-097,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/e52845f9/Aremu-Afeez,e52845f9,2. Bundesliga
4,Aremu Afeez,NGA,MF,Kaiserslautern,24-097,1999,2,45,23,2.9,0.5,0.00,,0.00,4.00,23,0.00,1.50,0.00,2.00,-2.00,-2.00,-1.58,1.20,1.00,0.00,+0.09,+0.31,https://fbref.com/en/players/e52845f9/Aremu-Afeez,e52845f9,2. Bundesliga
5,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,25-330,1998,17,1157,68,75.6,12.9,1.16,75,0.08,0.16,20,0.00,1.94,1.71,0.85,0.85,+0.86,-0.35,1.53,0.72,0.82,+0.82,+0.81,https://fbref.com/en/players/5054c359/Oladapo-Afolayan,5054c359,2. Bundesliga
6,Andreas Albers,DEN,FW,St. Pauli,33-291,1990,9,345,38,22.5,3.8,0.79,81,0.00,1.58,17,0.79,2.11,2.11,0.53,1.58,+1.57,+0.81,1.63,1.16,0.47,+0.46,-0.21,https://fbref.com/en/players/94471fb7/Andreas-Albers,94471fb7,2. Bundesliga
7,Nelson Amadin,NED,FW,Schalke 04,23-069,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/f274c1c7/Nelson-Amadin,f274c1c7,2. Bundesliga
8,Xavier Amaechi,ENG,"FW,MF",Magdeburg,23-003,2001,6,301,50,19.7,3.3,1.21,71,0.30,0.61,9,2.12,1.33,2.12,1.21,0.91,+0.90,+0.97,1.48,1.42,0.06,+0.06,+0.03,https://fbref.com/en/players/1b95524b/Xavier-Amaechi,1b95524b,2. Bundesliga
9,Stephan Ambrosius,GHA,DF,Hamburger SV,25-021,1998,10,631,63,41.2,7.0,0.86,84,0.71,0.57,32,0.86,1.70,2.57,1.14,1.43,+1.43,+1.33,2.09,1.31,0.77,+0.77,+0.56,https://fbref.com/en/players/2930c9d8/Stephan-Ambrosius,2930c9d8,2. Bundesliga
10,Etienne Amenyido,TOG,"FW,MF",St. Pauli,25-313,1998,11,109,10,7.1,1.2,0.00,,0.00,9.17,10,0.83,2.27,4.17,0.83,3.33,+3.30,+2.54,1.75,1.83,-0.17,-0.14,-0.83,https://fbref.com/en/players/3ed57b9e/Etienne-Amenyido,3ed57b9e,2. Bundesliga
11,Mohamed Amsif,MAR,GK,Wehen,34-335,1989,0,,,,,0,,0,0,,5,,,,,,,,,,,,https://fbref.com/en/players/5c3f2927/Mohamed-Amsif,5c3f2927,2. Bundesliga
12,Youssef Amyn,IRQ,"FW,MF",Braunschweig,20-140,2003,6,197,33,12.9,2.2,0.45,63,0.00,2.27,27,2.27,0.17,0.45,2.27,-1.82,-1.83,-1.08,0.86,1.95,-1.09,-1.12,-0.85,https://fbref.com/en/players/10c12f22/Youssef-Amyn,10c12f22,2. Bundesliga
13,Martin Angha,SUI,DF,Wehen,29-351,1994,14,1209,86,79.0,13.4,0.97,90,0.90,0.07,45,0.15,1.43,1.19,1.27,-0.07,-0.07,+0.49,1.34,1.93,-0.59,-0.59,-0.57,https://fbref.com/en/players/41a1a2c8/Martin-Angha,41a1a2c8,2. Bundesliga
14,Devin Angleberger,GER,MF,Greuther Fürth,20-309,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/74d069ea/Devin-Angleberger,74d069ea,2. Bundesliga
