Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
1,Shuto Abe,JPN,MF,RWD Molenbeek,26-034,1997,11.4,42.0,41.1,0.61,0.26,0.09,0.09,0.35,0.00,0.00,0.00,0.00,0.00,31.5,0.35,1.40,https://fbref.com/en/players/86bddbc7/Shuto-Abe,86bddbc7,Jupiler Pro League
2,Abner,BRA,"DF,MF",RWD Molenbeek,27-223,1996,18.6,42.2,34.6,7.37,0.43,0.00,0.16,2.74,6.94,0.00,0.00,0.00,0.00,31.5,0.16,0.75,https://fbref.com/en/players/8e562fe7/Abner,8e562fe7,Jupiler Pro League
3,Francis Abu,GHA,MF,Cercle Brugge,22-256,2001,3.0,50.0,44.7,4.67,4.33,0.00,0.00,1.67,0.00,0.33,0.33,0.00,0.00,34.3,0.67,1.00,https://fbref.com/en/players/66fb354d/Francis-Abu,66fb354d,Jupiler Pro League
4,Brian Agbor,CMR,DF,Gent,22-208,2001,0.3,70.0,63.3,6.67,6.67,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,46.7,0.00,0.00,https://fbref.com/en/players/676fc6c2/Brian-Agbor,676fc6c2,Jupiler Pro League
5,Josimar Alcocer,CRC,"FW,MF",Westerlo,19-185,2004,0.3,26.7,23.3,3.33,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,20.0,0.00,0.00,https://fbref.com/en/players/757f7081/Josimar-Alcocer,757f7081,Jupiler Pro League
6,Toby Alderweireld,BEL,DF,Antwerp,34-312,1989,18.9,83.9,80.3,3.33,2.86,0.16,1.06,0.26,0.48,0.00,0.00,0.00,0.00,71.7,0.32,0.37,https://fbref.com/en/players/f7d50789/Toby-Alderweireld,f7d50789,Jupiler Pro League
7,Ryan Alebiosu,ENG,"DF,MF",Kortrijk,22-022,2001,1.8,46.1,35.0,11.1,0.56,0.00,0.00,7.22,10.6,0.00,0.00,0.00,0.00,28.9,0.00,2.78,https://fbref.com/en/players/ce048fb8/Ryan-Alebiosu,ce048fb8,Jupiler Pro League
8,Teddy Alloh,FRA,DF,Eupen,21-350,2002,2.2,42.3,31.4,10.9,0.45,0.00,0.00,2.27,10.5,0.00,0.00,0.00,0.00,35.5,0.00,1.82,https://fbref.com/en/players/01df0dc4/Teddy-Alloh,01df0dc4,Jupiler Pro League
9,Éder Álvarez Balanta,COL,MF,Club Brugge,30-314,1993,2.1,63.3,61.9,1.43,0.48,0.00,0.00,0.48,0.95,0.00,0.00,0.00,0.00,48.6,0.00,0.95,https://fbref.com/en/players/8ce30c57/Eder-Alvarez-Balanta,8ce30c57,Jupiler Pro League
10,Steven Alzate,COL,MF,Standard Liège,25-122,1998,10.6,52.7,50.8,1.89,1.60,0.28,0.38,0.28,0.28,0.00,0.00,0.00,0.00,45.8,0.00,0.75,https://fbref.com/en/players/ad1f61f3/Steven-Alzate,ad1f61f3,Jupiler Pro League
