Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
17,Heinz Lindner,AUT,GK,Union SG,33-288,1990,1.0,1.00,0.00,0.00,0.00,0.00,1.00,0.49,0.00,-0.02,3.00,4.00,75.0,21.0,1.00,14.3,28.0,4.00,25.0,21.5,9.00,0.00,0.0,0.00,0.00,9.0,https://fbref.com/en/players/0bfaa3b2/Heinz-Lindner,0bfaa3b2,Jupiler Pro League
18,Simon Mignolet,BEL,GK,Club Brugge,36-055,1988,27.1,0.96,0.00,0.07,0.00,0.00,0.93,0.29,-0.03,-0.03,5.57,11.4,48.9,30.7,4.10,28.8,29.9,5.65,45.1,35.7,9.04,0.96,10.6,1.92,1.92,16.4,https://fbref.com/en/players/d436eb94/Simon-Mignolet,d436eb94,Jupiler Pro League
19,Anthony Moris,LUX,GK,Union SG,34-001,1990,28.8,1.04,0.10,0.00,0.21,0.00,1.03,0.32,-0.01,-0.01,5.42,11.9,45.6,30.7,4.13,33.8,34.9,3.92,38.1,37.1,10.8,0.73,6.8,1.11,1.11,15.2,https://fbref.com/en/players/99351886/Anthony-Moris,99351886,Jupiler Pro League
20,Paul Nardi,FRA,GK,Gent,29-348,1994,10.0,1.20,0.10,0.00,0.10,0.00,1.19,0.26,-0.01,-0.01,4.50,11.2,40.2,19.6,3.60,36.7,35.2,8.70,46.0,40.0,15.4,1.00,6.5,0.60,0.60,13.2,https://fbref.com/en/players/2d70dbe5/Paul-Nardi,2d70dbe5,Jupiler Pro League
21,Manaf Nurudeen,GHA,GK,Eupen,25-082,1999,2.0,1.00,0.50,0.00,0.50,0.00,1.15,0.17,0.15,+0.16,6.50,26.5,24.5,32.5,3.00,40.0,36.0,18.5,73.0,51.3,24.5,1.00,4.1,1.50,1.50,13.3,https://fbref.com/en/players/4152a80c/Manaf-Nurudeen,4152a80c,Jupiler Pro League
22,Pierre Patron,FRA,GK,Charleroi,26-254,1997,4.0,2.25,0.00,0.00,0.25,0.00,2.08,0.40,-0.17,-0.18,6.75,14.3,47.4,24.3,5.50,39.2,32.9,4.75,100.0,54.5,13.0,1.50,11.5,1.00,1.00,11.4,https://fbref.com/en/players/0c7db284/Pierre-Patron,0c7db284,Jupiler Pro League
23,Lucas Pirard,BEL,GK,Kortrijk,29-051,1995,9.0,1.11,0.00,0.00,0.33,0.11,1.33,0.29,0.33,+0.33,9.22,23.6,39.2,23.4,4.11,65.4,43.3,10.1,81.3,51.6,18.9,1.33,7.1,1.11,1.11,13.2,https://fbref.com/en/players/85f61a89/Lucas-Pirard,85f61a89,Jupiler Pro League
24,Maxence Prevot,FRA,GK,OH Leuven,27-021,1997,11.0,1.91,0.18,0.00,0.09,0.00,1.62,0.27,-0.29,-0.29,5.82,15.1,38.6,28.0,6.36,34.4,33.0,9.09,60.0,43.9,17.2,1.55,9.0,0.55,0.55,10.6,https://fbref.com/en/players/c657586f/Maxence-Prevot,c657586f,Jupiler Pro League
25,Davy Roef,BEL,GK,Gent,30-084,1994,12.0,0.75,0.25,0.00,0.00,0.00,1.27,0.23,0.52,+0.52,4.83,9.58,50.4,22.7,6.83,27.9,30.9,7.25,44.8,38.5,14.0,1.42,10.1,0.58,0.58,12.0,https://fbref.com/en/players/6fe2aba3/Davy-Roef,6fe2aba3,Jupiler Pro League
26,Kasper Schmeichel,DEN,GK,Anderlecht,37-177,1986,23.0,1.00,0.04,0.00,0.00,0.00,1.38,0.27,0.38,+0.38,5.22,11.7,44.8,32.3,4.09,27.2,31.9,6.09,47.1,38.1,15.0,0.61,4.1,0.52,0.52,12.4,https://fbref.com/en/players/53af52f3/Kasper-Schmeichel,53af52f3,Jupiler Pro League
27,Daniel Schmidt,JPN,GK,Sint-Truiden,32-087,1992,4.0,0.75,0.00,0.00,0.50,0.00,0.53,0.17,-0.23,-0.23,5.25,10.8,48.8,37.0,6.00,27.7,31.9,3.00,16.7,30.5,13.0,0.75,5.8,2.00,2.00,17.1,https://fbref.com/en/players/a82d64e7/Daniel-Schmidt,a82d64e7,Jupiler Pro League
28,Daniel Schmidt,JPN,GK,Gent,32-087,1992,8.0,2.13,0.50,0.00,0.25,0.00,1.94,0.31,-0.19,-0.19,5.00,12.5,40.0,25.1,5.50,35.8,34.3,6.00,58.3,43.2,14.3,1.13,7.9,0.50,0.50,12.3,https://fbref.com/en/players/a82d64e7/Daniel-Schmidt,a82d64e7,Jupiler Pro League
29,Gaga Slonina,USA,GK,Eupen,19-351,2004,28.0,2.00,0.11,0.00,0.18,0.14,1.79,0.30,-0.06,-0.06,3.46,11.3,30.7,27.9,5.25,25.4,30.3,8.39,50.2,38.1,15.3,0.68,4.4,1.04,1.04,14.4,https://fbref.com/en/players/c55a846e/Gaga-Slonina,c55a846e,Jupiler Pro League
30,Zion Suzuki,JPN,GK,Sint-Truiden,21-253,2002,22.0,1.59,0.23,0.00,0.05,0.00,1.53,0.29,-0.06,-0.06,4.86,13.1,37.0,40.9,5.91,27.3,30.9,4.59,42.6,38.0,14.5,1.73,11.9,0.77,0.77,10.9,https://fbref.com/en/players/51e1f4f5/Zion-Suzuki,51e1f4f5,Jupiler Pro League
31,Tom Vandenberghe,BEL,GK,Kortrijk,31-257,1992,21.0,2.24,0.05,0.00,0.33,0.14,2.11,0.36,0.01,+0.01,5.71,17.0,33.7,25.6,4.95,50.7,40.5,7.33,54.5,42.1,15.8,1.24,7.8,0.81,0.81,11.5,https://fbref.com/en/players/35b832fe/Tom-Vandenberghe,35b832fe,Jupiler Pro League
32,Maarten Vandevoordt,BEL,GK,Genk,22-064,2002,30.0,1.03,0.07,0.03,0.03,0.00,1.15,0.27,0.12,+0.12,5.33,14.6,36.6,30.8,3.90,40.5,36.8,5.63,36.7,37.6,13.8,1.10,8.0,0.67,0.67,12.6,https://fbref.com/en/players/f9e0c603/Maarten-Vandevoordt,f9e0c603,Jupiler Pro League
33,Warleson,BRA,GK,Cercle Brugge,27-243,1996,30.0,1.13,0.00,0.00,0.13,0.07,1.33,0.33,0.26,+0.26,8.60,23.7,36.3,22.1,1.23,82.7,49.8,6.00,90.6,59.8,12.2,0.37,3.0,1.80,1.80,18.5,https://fbref.com/en/players/592410a2/Warleson,592410a2,Jupiler Pro League
