Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
361,Ravil Tagir,TUR,DF,Westerlo,20-247,2003,9.1,72.9,8.24,35.4,34.2,4.07,0.44,72.9,0.88,0.55,62.5,0.33,37.5,52.2,329.3,167.8,0.55,1.21,0.00,0.55,0.11,47.9,0.44,https://fbref.com/en/players/4d80d692/Ravil-Tagir,4d80d692,Jupiler Pro League
362,Henok Teklab,GER,DF,Union SG,25-053,1998,1.0,65.0,2.00,17.0,27.0,25.0,4.00,65.0,3.00,1.00,33.3,1.00,33.3,50.0,428.0,298.0,12.0,5.00,3.00,1.00,3.00,37.0,13.0,https://fbref.com/en/players/640d17d5/Henok-Teklab,640d17d5,Jupiler Pro League
363,Casper Terho,FIN,DF,Union SG,20-198,2003,7.4,49.1,1.22,11.2,20.7,17.8,2.43,49.1,2.03,0.68,33.3,1.22,60.0,33.5,249.7,111.8,2.30,1.35,0.41,2.43,0.41,29.2,7.30,https://fbref.com/en/players/bd2f622a/Casper-Terho,bd2f622a,Jupiler Pro League
364,Thiago,BRA,FW,Club Brugge,22-196,2001,14.9,33.6,0.94,1.81,14.2,18.1,6.31,33.2,2.01,0.74,36.7,1.01,50.0,22.6,142.3,45.6,1.68,0.94,0.74,3.49,2.21,23.9,7.99,https://fbref.com/en/players/dc45ac24/Thiago,dc45ac24,Jupiler Pro League
365,Jean Thierry Lazare,CIV,"MF,FW",Union SG,25-307,1998,14.0,46.6,1.14,5.71,20.3,22.1,2.57,46.6,3.86,1.71,44.4,1.93,50.0,33.1,222.6,103.8,3.14,2.79,0.57,3.64,1.36,28.2,7.43,https://fbref.com/en/players/1d2c3e5e/Jean-Thierry-Lazare,1d2c3e5e,Jupiler Pro League
366,Tarik Tissoudali,MAR,"FW,MF",Gent,30-281,1993,10.8,45.2,0.19,2.59,14.2,29.0,10.2,45.2,3.89,1.76,45.2,2.13,54.8,32.9,207.7,91.9,3.89,1.11,2.69,3.43,2.22,32.0,10.4,https://fbref.com/en/players/4f60a143/Tarik-Tissoudali,4f60a143,Jupiler Pro League
367,Jordan Torunarigha,GER,DF,Gent,26-154,1997,16.1,74.4,5.84,32.8,36.4,5.84,0.99,74.4,0.93,0.31,33.3,0.56,60.0,53.6,309.3,141.6,1.43,1.49,0.12,0.87,0.19,49.8,0.62,https://fbref.com/en/players/f86cabbd/Jordan-Torunarigha,f86cabbd,Jupiler Pro League
368,Adrien Trebel,FRA,"MF,DF",Charleroi,32-311,1991,1.2,70.8,0.83,19.2,40.8,11.7,0.00,70.8,0.83,0.00,0.0,0.83,100.0,54.2,274.2,95.8,0.83,0.83,0.00,0.83,5.00,50.0,2.50,https://fbref.com/en/players/ad1d334f/Adrien-Trebel,ad1d334f,Jupiler Pro League
369,Mike Trésor,BEL,FW,Genk,24-225,1999,1.3,77.7,0.00,2.31,21.5,53.8,6.15,77.7,5.38,1.54,28.6,3.85,71.4,57.7,368.5,149.2,6.92,2.31,3.85,3.85,2.31,54.6,16.9,https://fbref.com/en/players/b2a81fc6/Mike-Tresor,b2a81fc6,Jupiler Pro League
370,Edgaras Utkus,LTU,"DF,MF",Cercle Brugge,23-200,2000,7.5,53.2,3.87,15.3,30.5,7.73,2.80,53.2,0.13,0.13,100.0,0.00,0.0,22.1,120.5,57.1,0.53,0.27,0.00,1.20,0.27,17.7,0.80,https://fbref.com/en/players/2ccf6350/Edgaras-Utkus,2ccf6350,Jupiler Pro League
371,Kyan Vaesen,BEL,"FW,MF",Westerlo,22-270,2001,4.9,36.5,1.02,3.67,19.6,13.5,4.90,36.5,2.24,0.82,36.4,1.02,45.5,25.3,134.1,38.6,1.63,0.82,1.02,4.29,0.82,26.7,8.37,https://fbref.com/en/players/f95cbfbc/Kyan-Vaesen,f95cbfbc,Jupiler Pro League
372,Anthony Valencia,ECU,"FW,MF",Antwerp,20-171,2003,2.1,69.5,0.48,4.29,22.9,42.9,6.67,69.5,5.24,3.33,63.6,1.90,36.4,54.3,352.9,215.7,7.14,8.10,3.81,2.38,0.48,53.8,12.9,https://fbref.com/en/players/674dee62/Anthony-Valencia,674dee62,Jupiler Pro League
373,Jules Van Cleemput,BEL,DF,Charleroi,26-272,1997,1.5,38.0,6.00,16.7,19.3,2.00,0.67,38.0,0.67,0.67,100.0,0.00,0.0,14.7,89.3,40.7,0.67,0.67,0.00,0.00,0.00,10.7,0.67,https://fbref.com/en/players/e032e938/Jules-Van-Cleemput,e032e938,Jupiler Pro League
374,Zeno Van den Bosch,BEL,DF,Antwerp,20-186,2003,4.8,80.6,7.08,33.5,44.4,3.13,0.21,80.6,0.63,0.21,33.3,0.21,33.3,60.0,320.0,131.3,0.63,1.25,0.00,0.63,0.00,55.0,0.00,https://fbref.com/en/players/817ee048/Zeno-Van-den-Bosch,817ee048,Jupiler Pro League
375,Thomas Van den Keybus,BEL,"MF,FW",Westerlo,22-258,2001,8.8,52.4,1.36,8.07,24.2,21.5,1.93,52.4,3.52,1.02,29.0,2.39,67.7,38.5,253.9,113.7,1.93,2.05,0.11,2.61,1.70,34.1,6.02,https://fbref.com/en/players/21453b2e/Thomas-Van-den-Keybus,21453b2e,Jupiler Pro League
376,Hannes Van der Bruggen,BEL,MF,Cercle Brugge,30-282,1993,13.0,57.9,2.23,8.62,34.8,15.3,0.23,57.9,1.31,0.77,58.8,0.46,35.3,28.1,122.1,48.0,0.54,1.62,0.08,0.85,0.54,21.2,0.77,https://fbref.com/en/players/411fb06f/Hannes-Van-der-Bruggen,411fb06f,Jupiler Pro League
377,Stan Van Dessel,BEL,"MF,DF",Sint-Truiden,22-168,2001,0.7,91.4,4.29,22.9,38.6,30.0,0.00,91.4,1.43,1.43,100.0,0.00,0.0,71.4,377.1,130.0,0.00,1.43,0.00,0.00,0.00,65.7,7.14,https://fbref.com/en/players/97c59cc3/Stan-Van-Dessel,97c59cc3,Jupiler Pro League
378,Lukas Van Eenoo,BEL,"MF,DF",Westerlo,32-336,1991,4.3,56.5,4.42,16.3,27.0,14.0,1.86,56.5,0.70,0.23,33.3,0.47,66.7,34.9,181.9,71.2,0.70,1.16,0.00,0.23,1.63,33.0,2.56,https://fbref.com/en/players/835e6d66/Lukas-Van-Eenoo,835e6d66,Jupiler Pro League
379,Yentl Van Genechten,BEL,DF,Eupen,23-143,2000,13.5,47.9,3.48,19.4,16.5,12.2,2.67,47.9,0.59,0.44,75.0,0.15,25.0,26.7,151.7,57.6,1.19,1.19,0.30,2.00,0.30,23.3,4.52,https://fbref.com/en/players/09114395/Yentl-Van-Genechten,09114395,Jupiler Pro League
