Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Ahmed Abdullahi,NGA,FW,Gent,19-316,2004,0.3,13.3,20.0,66.7,246.7,86.7,3.33,3.33,100.0,10.0,13.3,75.0,0.00,0.00,,0.00,0.00,0.00,0.00,3.33,6.67,0.00,0.00,6.67,https://fbref.com/en/players/8073edf4/Ahmed-Abdullahi,8073edf4,Jupiler Pro League
2,Shuto Abe,JPN,MF,RWD Molenbeek,26-147,1997,16.4,32.0,42.5,75.3,541.2,147.9,14.5,18.2,79.9,13.2,16.6,79.5,2.99,4.57,65.3,0.06,0.08,0.08,-0.02,0.55,3.60,0.43,0.12,4.27,https://fbref.com/en/players/86bddbc7/Shuto-Abe,86bddbc7,Jupiler Pro League
3,Abner,BRA,"DF,MF",RWD Molenbeek,27-336,1996,20.6,31.6,42.4,74.6,521.7,182.6,13.9,16.2,85.6,15.0,19.1,78.6,1.94,5.34,36.4,0.00,0.02,0.02,-0.02,0.34,2.14,0.44,0.15,3.54,https://fbref.com/en/players/8e562fe7/Abner,8e562fe7,Jupiler Pro League
4,Francis Abu,GHA,MF,Cercle Brugge,23-003,2001,4.5,36.2,51.3,70.6,624.9,246.0,14.4,19.6,73.9,16.9,21.8,77.6,2.89,7.11,40.6,0.00,0.02,0.07,-0.02,0.89,4.89,1.11,0.00,6.67,https://fbref.com/en/players/66fb354d/Francis-Abu,66fb354d,Jupiler Pro League
5,Tayo Adaramola,IRL,DF,RWD Molenbeek,20-168,2003,6.4,28.4,38.3,74.3,450.6,186.9,14.5,17.3,83.8,11.7,15.6,75.0,1.25,2.97,42.1,0.00,0.09,0.05,-0.09,0.63,2.34,1.09,0.78,3.44,https://fbref.com/en/players/c150b220/Tayo-Adaramola,c150b220,Jupiler Pro League
6,Noah Adedeji,BEL,"MF,FW",Genk,18-316,2005,0.2,60.0,75.0,80.0,925.0,130.0,25.0,30.0,83.3,35.0,40.0,87.5,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9962d6f7/Noah-Adedeji,9962d6f7,Jupiler Pro League
7,Jonathan Afolabi,IRL,FW,Kortrijk,24-107,2000,4.4,13.2,19.5,67.4,175.2,45.0,7.95,10.2,77.8,2.73,6.14,44.4,1.14,1.14,100.0,0.00,0.11,0.02,-0.11,0.91,1.14,0.68,0.00,1.59,https://fbref.com/en/players/d87e664d/Jonathan-Afolabi,d87e664d,Jupiler Pro League
8,Brian Agbor,CMR,DF,Gent,22-321,2001,2.3,53.5,62.2,86.0,1137.4,363.9,16.1,18.7,86.0,30.0,31.7,94.5,7.39,10.9,68.0,0.00,0.00,0.00,0.00,0.43,4.78,0.00,0.00,4.35,https://fbref.com/en/players/676fc6c2/Brian-Agbor,676fc6c2,Jupiler Pro League
9,Takahiro Akimoto,JPN,DF,OH Leuven,26-090,1998,2.9,34.1,44.5,76.7,506.6,217.6,18.3,20.0,91.4,12.1,17.6,68.6,1.72,3.45,50.0,0.00,0.00,0.07,0.00,0.69,3.10,1.03,0.00,5.52,https://fbref.com/en/players/003d8899/Takahiro-Akimoto,003d8899,Jupiler Pro League
10,Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,22-016,2002,7.3,10.4,14.2,73.1,133.0,36.2,6.44,7.53,85.5,2.88,4.11,70.0,0.14,0.82,16.7,0.00,0.11,0.08,-0.11,0.55,0.27,0.27,0.00,1.23,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Jupiler Pro League
