Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Ismaël El Abbassi,BEL,FW,RWD Molenbeek,20-168,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/d0fe5d66/Ismael-El-Abbassi,d0fe5d66,Jupiler Pro League
2,Shuto Abe,JPN,MF,RWD Molenbeek,26-034,1997,19,1030,54,57.2,11.4,0.96,83,0.61,0.70,14,0.00,1.11,1.05,2.19,-1.14,-1.14,-0.55,1.21,2.48,-1.27,-1.27,-1.03,https://fbref.com/en/players/86bddbc7/Shuto-Abe,86bddbc7,Jupiler Pro League
3,Abner,BRA,"DF,MF",RWD Molenbeek,27-223,1996,20,1673,84,92.9,18.6,1.02,88,0.91,0.05,9,0.00,1.05,1.13,1.99,-0.86,-0.86,+0.56,1.23,1.91,-0.68,-0.68,+2.05,https://fbref.com/en/players/8e562fe7/Abner,8e562fe7,Jupiler Pro League
4,Francis Abu,GHA,MF,Cercle Brugge,22-256,2001,4,274,69,15.2,3.0,1.33,69,0.67,0.00,,0.00,1.50,0.67,0.67,0.00,0.00,-0.18,1.17,0.83,0.33,+0.33,-0.32,https://fbref.com/en/players/66fb354d/Francis-Abu,66fb354d,Jupiler Pro League
5,Desmond Acquah,BEL,MF,OH Leuven,21-169,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/7219fc4f/Desmond-Acquah,7219fc4f,Jupiler Pro League
6,Brian Agbor,CMR,DF,Gent,22-208,2001,1,28,28,1.6,0.3,0.00,,0.00,3.33,28,30.0,0.00,0.00,3.33,-3.33,-3.21,-4.08,0.33,2.67,-2.33,-2.20,-2.73,https://fbref.com/en/players/676fc6c2/Brian-Agbor,676fc6c2,Jupiler Pro League
7,Nicolas Alavoine,BEL,GK,RWD Molenbeek,22-003,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,https://fbref.com/en/players/d2c75c33/Nicolas-Alavoine,d2c75c33,Jupiler Pro League
8,Josimar Alcocer,CRC,"FW,MF",Westerlo,19-185,2004,1,24,24,1.3,0.3,0.00,,0.00,3.33,24,3.33,0.00,3.33,3.33,0.00,0.00,+0.25,2.00,1.67,0.33,+0.35,+0.75,https://fbref.com/en/players/757f7081/Josimar-Alcocer,757f7081,Jupiler Pro League
9,Toby Alderweireld,BEL,DF,Antwerp,34-312,1989,19,1699,89,94.4,18.9,1.01,89,0.95,0.00,,0.00,1.63,1.80,0.95,0.85,+0.85,-0.04,1.70,1.04,0.65,+0.65,+1.07,https://fbref.com/en/players/f7d50789/Toby-Alderweireld,f7d50789,Jupiler Pro League
10,Ryan Alebiosu,ENG,"DF,MF",Kortrijk,22-022,2001,5,166,33,9.2,1.8,1.11,45,0.00,1.67,25,0.00,0.80,1.11,1.67,-0.56,-0.54,+1.17,0.94,1.50,-0.56,-0.54,+0.62,https://fbref.com/en/players/ce048fb8/Ryan-Alebiosu,ce048fb8,Jupiler Pro League
11,Teddy Alloh,FRA,DF,Eupen,21-350,2002,6,197,33,10.9,2.2,0.45,79,0.00,2.27,24,0.00,1.00,1.82,2.27,-0.45,-0.46,+0.72,1.32,2.82,-1.55,-1.55,-0.39,https://fbref.com/en/players/01df0dc4/Teddy-Alloh,01df0dc4,Jupiler Pro League
12,Éder Álvarez Balanta,COL,MF,Club Brugge,30-314,1993,8,187,23,10.4,2.1,0.48,53,0.00,3.33,19,2.86,1.88,1.43,0.95,0.48,+0.48,-0.63,1.57,0.86,0.71,+0.73,-0.37,https://fbref.com/en/players/8ce30c57/Eder-Alvarez-Balanta,8ce30c57,Jupiler Pro League
13,Steven Alzate,COL,MF,Standard Liège,25-122,1998,11,957,87,53.2,10.6,1.04,87,0.57,0.00,,0.00,1.64,1.42,1.70,-0.28,-0.28,+0.47,1.09,1.65,-0.56,-0.55,+0.18,https://fbref.com/en/players/ad1f61f3/Steven-Alzate,ad1f61f3,Jupiler Pro League
14,Thierry Ambrose,GLP,FW,Kortrijk,26-286,1997,1,45,45,2.5,0.5,2.00,45,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,+1.64,0.80,1.40,-0.60,-0.53,+0.59,https://fbref.com/en/players/2945f4b7/Thierry-Ambrose,2945f4b7,Jupiler Pro League
15,Mohamed El Amine Amoura,ALG,FW,Union SG,23-244,2000,15,856,57,47.6,9.5,0.95,78,0.11,0.63,26,0.00,2.40,2.32,0.95,1.37,+1.37,+0.32,1.87,1.07,0.79,+0.79,-0.68,https://fbref.com/en/players/6597f8b6/Mohamed-El-Amine-Amoura,6597f8b6,Jupiler Pro League
16,Francis Amuzu,BEL,FW,Anderlecht,24-138,1999,12,569,47,31.6,6.3,0.79,80,0.32,1.11,24,0.16,1.83,1.59,1.27,0.32,+0.32,-0.85,1.29,1.33,-0.05,-0.05,-0.60,https://fbref.com/en/players/4f0fbd15/Francis-Amuzu,4f0fbd15,Jupiler Pro League
17,Frederic Ananou,TOG,"DF,MF",Sint-Truiden,26-110,1997,8,237,30,13.2,2.6,1.15,60,0.38,1.92,11,1.15,1.25,1.15,1.92,-0.77,-0.76,-0.53,1.19,1.38,-0.19,-0.18,-0.04,https://fbref.com/en/players/de42994f/Frederic-Ananou,de42994f,Jupiler Pro League
18,Stelios Andreou,CYP,DF,Charleroi,21-168,2002,18,1599,89,88.8,17.8,1.01,89,0.96,0.00,,0.06,1.06,1.12,1.63,-0.51,-0.51,-0.51,1.21,1.71,-0.49,-0.50,-0.98,https://fbref.com/en/players/4a5ad8dc/Stelios-Andreou,4a5ad8dc,Jupiler Pro League
19,Nilson Angulo,ECU,FW,Anderlecht,20-203,2003,1,2,2,0.1,0.0,0,,0,1,2,1,3.00,1,0,+1,+45.00,+44.15,0.1,0.1,0.0,-1.80,-2.16,https://fbref.com/en/players/a9b9d89c/Nilson-Angulo,a9b9d89c,Jupiler Pro League
20,Bill Antonio,ZIM,"DF,MF",Mechelen,21-127,2002,4,107,27,5.9,1.2,0.00,,0.00,3.33,27,0.83,1.00,3.33,0.83,2.50,+2.52,+2.95,3.50,1.92,1.58,+1.60,+1.94,https://fbref.com/en/players/f00ea3e6/Bill-Antonio,f00ea3e6,Jupiler Pro League
21,Kristian Arnstad,NOR,"MF,DF",Anderlecht,20-123,2003,8,202,25,11.2,2.2,0.45,67,0.00,3.18,19,2.27,2.25,0.91,0.45,0.45,+0.45,-0.51,0.55,1.27,-0.73,-0.70,-1.19,https://fbref.com/en/players/45bdedc8/Kristian-Arnstad,45bdedc8,Jupiler Pro League
22,Toluwalase Arokodare,NGA,FW,Genk,23-046,2000,19,600,32,33.3,6.7,0.60,71,0.00,2.24,21,0.15,1.63,2.69,1.34,1.34,+1.35,+0.45,2.24,1.00,1.25,+1.25,+0.10,https://fbref.com/en/players/a42760bc/Toluwalase-Arokodare,a42760bc,Jupiler Pro League
23,Gerardo Arteaga,MEX,DF,Genk,25-123,1998,13,1036,80,57.6,11.5,1.04,86,0.96,0.09,1,0.26,1.38,1.83,1.22,0.61,+0.61,-1.04,1.99,1.17,0.82,+0.82,-0.88,https://fbref.com/en/players/8b47ce35/Gerardo-Arteaga,8b47ce35,Jupiler Pro League
24,Isaac Asante,GHA,MF,Mechelen,21-140,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/f110c0a2/Isaac-Asante,f110c0a2,Jupiler Pro League
25,Dirk Asare,BEL,MF,Mechelen,19-188,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/10556287/Dirk-Asare,10556287,Jupiler Pro League
26,Majeed Ashimeru,GHA,"MF,FW",Anderlecht,26-090,1997,6,119,20,6.6,1.3,0.77,80,0.00,3.85,8,0.00,2.17,2.31,1.54,0.77,+0.76,-0.15,1.54,1.31,0.23,+0.22,-0.14,https://fbref.com/en/players/552e00b9/Majeed-Ashimeru,552e00b9,Jupiler Pro League
27,Christalino Atemona,GER,DF,Kortrijk,21-257,2002,2,96,48,5.3,1.1,0.91,90,0.91,0.91,6,2.73,0.00,0.00,6.36,-6.36,-6.56,-5.24,0.36,3.55,-3.27,-3.34,-2.37,https://fbref.com/en/players/05c1f4c7/Christalino-Atemona,05c1f4c7,Jupiler Pro League
28,Lynnt Audoor,BEL,MF,Kortrijk,20-087,2003,11,401,36,22.3,4.5,0.89,59,0.00,1.56,24,0.67,0.18,0.44,1.78,-1.33,-1.35,+0.33,0.96,1.98,-1.02,-1.04,+0.08,https://fbref.com/en/players/32feb0cf/Lynnt-Audoor,32feb0cf,Jupiler Pro League
29,Ludwig Augustinsson,SWE,DF,Anderlecht,29-262,1994,15,1151,77,63.9,12.8,1.09,82,0.78,0.08,3,0.08,2.13,2.19,1.02,1.17,+1.17,+0.76,1.84,1.21,0.63,+0.63,+0.75,https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson,9fec8860,Jupiler Pro League
30,Felipe Avenatti,URU,"FW,MF",Kortrijk,30-257,1993,18,979,54,54.4,10.9,0.92,78,0.28,0.73,25,0.00,0.33,0.73,2.20,-1.47,-1.47,+0.28,0.92,2.04,-1.12,-1.12,-0.03,https://fbref.com/en/players/23f9e9d3/Felipe-Avenatti,23f9e9d3,Jupiler Pro League
31,Gastón Ávila,ARG,DF,Antwerp,22-100,2001,2,180,90,10.0,2.0,1.00,90,1.00,0.00,,0.00,2.00,3.50,0.50,3.00,+3.00,+2.39,2.05,0.35,1.65,+1.65,+1.18,https://fbref.com/en/players/f648b2e1/Gaston-Avila,f648b2e1,Jupiler Pro League
