Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
1,Shuto Abe,JPN,MF,RWD Molenbeek,26-034,1997,11.4,0.26,0.00,0.00,1.93,0.79,0.09,0.35,0.61,1.32,0.00,0.09,0.00,6.58,0.53,1.05,33.3,https://fbref.com/en/players/86bddbc7/Shuto-Abe,86bddbc7,Jupiler Pro League
2,Abner,BRA,"DF,MF",RWD Molenbeek,27-223,1996,18.6,0.22,0.00,0.00,0.86,1.67,0.05,2.74,1.13,0.59,0.00,0.00,0.05,5.27,1.13,1.02,52.5,https://fbref.com/en/players/8e562fe7/Abner,8e562fe7,Jupiler Pro League
3,Francis Abu,GHA,MF,Cercle Brugge,22-256,2001,3.0,0.67,0.00,0.00,1.00,1.33,0.00,1.67,1.67,1.33,0.00,0.00,0.00,14.0,1.67,0.67,71.4,https://fbref.com/en/players/66fb354d/Francis-Abu,66fb354d,Jupiler Pro League
4,Brian Agbor,CMR,DF,Gent,22-208,2001,0.3,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3,3.33,0.00,100.0,https://fbref.com/en/players/676fc6c2/Brian-Agbor,676fc6c2,Jupiler Pro League
5,Josimar Alcocer,CRC,"FW,MF",Westerlo,19-185,2004,0.3,0.00,0.00,0.00,10.0,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,100.0,https://fbref.com/en/players/757f7081/Josimar-Alcocer,757f7081,Jupiler Pro League
6,Toby Alderweireld,BEL,DF,Antwerp,34-312,1989,18.9,0.11,0.00,0.00,0.53,0.05,0.05,0.26,0.79,0.74,0.00,0.05,0.00,6.03,2.33,1.38,62.9,https://fbref.com/en/players/f7d50789/Toby-Alderweireld,f7d50789,Jupiler Pro League
7,Ryan Alebiosu,ENG,"DF,MF",Kortrijk,22-022,2001,1.8,0.00,0.00,0.00,1.67,1.11,0.00,7.22,0.00,0.56,0.00,0.00,0.00,3.89,1.67,1.67,50.0,https://fbref.com/en/players/ce048fb8/Ryan-Alebiosu,ce048fb8,Jupiler Pro League
8,Teddy Alloh,FRA,DF,Eupen,21-350,2002,2.2,0.45,0.00,0.00,2.27,0.91,0.45,2.27,1.36,1.36,0.00,0.00,0.00,2.73,0.00,2.27,0.0,https://fbref.com/en/players/01df0dc4/Teddy-Alloh,01df0dc4,Jupiler Pro League
9,Éder Álvarez Balanta,COL,MF,Club Brugge,30-314,1993,2.1,0.95,0.00,0.00,1.43,0.48,0.00,0.48,1.90,1.90,0.00,0.00,0.00,11.9,3.81,1.43,72.7,https://fbref.com/en/players/8ce30c57/Eder-Alvarez-Balanta,8ce30c57,Jupiler Pro League
10,Steven Alzate,COL,MF,Standard Liège,25-122,1998,10.6,0.19,0.09,0.09,1.04,1.04,0.09,0.28,0.85,1.70,0.00,0.00,0.00,6.60,0.66,1.32,33.3,https://fbref.com/en/players/ad1f61f3/Steven-Alzate,ad1f61f3,Jupiler Pro League
11,Thierry Ambrose,GLP,FW,Kortrijk,26-286,1997,0.5,0.00,0.00,0.00,2.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,10.0,28.6,https://fbref.com/en/players/2945f4b7/Thierry-Ambrose,2945f4b7,Jupiler Pro League
