Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,Ahmed Abdullahi,NGA,FW,Gent,19-316,2004,1,0,29,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,https://fbref.com/en/players/8073edf4/Ahmed-Abdullahi,8073edf4,Jupiler Pro League
2,Shuto Abe,JPN,MF,RWD Molenbeek,26-147,1997,28,15,1475,16.4,0.06,0.06,0.12,0.06,0.00,0.00,0.24,0.00,0.08,0.08,0.08,0.16,0.73,4.27,2.13,0.06,0.06,0.12,0.06,0.12,0.08,0.08,0.16,0.08,0.16,https://fbref.com/en/players/86bddbc7/Shuto-Abe,86bddbc7,Jupiler Pro League
3,Abner,BRA,"DF,MF",RWD Molenbeek,27-336,1996,25,20,1850,20.6,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.03,0.03,0.02,0.05,1.84,3.54,4.32,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/8e562fe7/Abner,8e562fe7,Jupiler Pro League
4,Francis Abu,GHA,MF,Cercle Brugge,23-003,2001,8,5,409,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.02,0.02,0.02,0.07,0.67,6.67,0.44,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06,https://fbref.com/en/players/66fb354d/Francis-Abu,66fb354d,Jupiler Pro League
5,Tayo Adaramola,IRL,DF,RWD Molenbeek,20-168,2003,9,8,575,6.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.14,2.97,3.44,3.91,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.14,0.04,0.14,https://fbref.com/en/players/c150b220/Tayo-Adaramola,c150b220,Jupiler Pro League
6,Noah Adedeji,BEL,"MF,FW",Genk,18-316,2005,3,0,19,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,5.00,0.00,25.0,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.57,0.57,0.57,https://fbref.com/en/players/9962d6f7/Noah-Adedeji,9962d6f7,Jupiler Pro League
7,Jonathan Afolabi,IRL,FW,Kortrijk,24-107,2000,10,4,397,4.4,0.23,0.00,0.23,0.23,0.00,0.00,0.23,0.00,0.07,0.07,0.11,0.18,0.45,1.59,6.14,0.23,0.00,0.23,0.23,0.23,0.06,0.11,0.18,0.06,0.18,https://fbref.com/en/players/d87e664d/Jonathan-Afolabi,d87e664d,Jupiler Pro League
8,Brian Agbor,CMR,DF,Gent,22-321,2001,3,2,208,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.09,0.43,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,https://fbref.com/en/players/676fc6c2/Brian-Agbor,676fc6c2,Jupiler Pro League
9,Takahiro Akimoto,JPN,DF,OH Leuven,26-090,1998,5,2,261,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.03,0.03,0.00,0.03,1.03,5.52,4.48,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,https://fbref.com/en/players/003d8899/Takahiro-Akimoto,003d8899,Jupiler Pro League
10,Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,22-016,2002,10,9,659,7.3,0.27,0.00,0.27,0.27,0.00,0.00,0.00,0.00,0.25,0.25,0.11,0.36,1.64,1.23,5.62,0.27,0.00,0.27,0.27,0.27,0.25,0.10,0.36,0.25,0.36,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Jupiler Pro League
