Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
21,Manaf Nurudeen,GHA,GK,Eupen,25-082,1999,2,2,180,2.0,1.00,1.00,4.00,3.00,87.5,0.50,0.50,0.00,0.50,50.0,0.50,0.50,0.00,0.00,0.0,https://fbref.com/en/players/4152a80c/Manaf-Nurudeen,4152a80c,Jupiler Pro League
22,Pierre Patron,FRA,GK,Charleroi,26-254,1997,4,4,360,4.0,2.25,2.25,5.25,3.00,57.1,0.25,0.00,0.75,0.25,25.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/0c7db284/Pierre-Patron,0c7db284,Jupiler Pro League
23,Lucas Pirard,BEL,GK,Kortrijk,29-051,1995,9,9,810,9.0,1.11,1.11,4.67,3.67,76.2,0.44,0.22,0.33,0.44,44.4,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/85f61a89/Lucas-Pirard,85f61a89,Jupiler Pro League
24,Maxence Prevot,FRA,GK,OH Leuven,27-021,1997,11,11,990,11.0,1.91,1.91,5.09,3.09,66.1,0.27,0.18,0.55,0.18,18.2,0.27,0.18,0.09,0.00,33.3,https://fbref.com/en/players/c657586f/Maxence-Prevot,c657586f,Jupiler Pro League
25,Davy Roef,BEL,GK,Gent,30-084,1994,12,12,1080,12.0,0.75,0.75,3.50,2.50,85.7,0.58,0.33,0.08,0.42,41.7,0.50,0.25,0.25,0.00,50.0,https://fbref.com/en/players/6fe2aba3/Davy-Roef,6fe2aba3,Jupiler Pro League
26,Kasper Schmeichel,DEN,GK,Anderlecht,37-177,1986,23,23,2070,23.0,1.00,1.00,4.78,3.74,80.0,0.61,0.30,0.09,0.22,21.7,0.09,0.04,0.04,0.00,50.0,https://fbref.com/en/players/53af52f3/Kasper-Schmeichel,53af52f3,Jupiler Pro League
27,Daniel Schmidt,JPN,GK,Sint-Truiden,32-087,1992,4,4,360,4.0,0.75,0.75,3.00,2.25,75.0,0.50,0.25,0.25,0.50,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/a82d64e7/Daniel-Schmidt,a82d64e7,Jupiler Pro League
28,Daniel Schmidt,JPN,GK,Gent,32-087,1992,8,8,720,8.0,2.13,2.12,4.75,2.63,65.8,0.13,0.25,0.63,0.13,12.5,0.50,0.50,0.00,0.00,0.0,https://fbref.com/en/players/a82d64e7/Daniel-Schmidt,a82d64e7,Jupiler Pro League
29,Gaga Slonina,USA,GK,Eupen,19-351,2004,28,28,2520,28.0,2.00,2.00,5.68,3.79,66.7,0.21,0.07,0.71,0.14,14.3,0.18,0.11,0.04,0.04,25.0,https://fbref.com/en/players/c55a846e/Gaga-Slonina,c55a846e,Jupiler Pro League
30,Zion Suzuki,JPN,GK,Sint-Truiden,21-253,2002,22,22,1980,22.0,1.59,1.59,4.55,2.95,70.0,0.32,0.36,0.32,0.23,22.7,0.23,0.23,0.00,0.00,0.0,https://fbref.com/en/players/51e1f4f5/Zion-Suzuki,51e1f4f5,Jupiler Pro League
31,Tom Vandenberghe,BEL,GK,Kortrijk,31-257,1992,21,21,1890,21.0,2.24,2.24,6.00,3.90,63.5,0.10,0.19,0.71,0.05,4.8,0.10,0.05,0.00,0.05,0.0,https://fbref.com/en/players/35b832fe/Tom-Vandenberghe,35b832fe,Jupiler Pro League
32,Maarten Vandevoordt,BEL,GK,Genk,22-064,2002,30,30,2700,30.0,1.03,1.03,3.87,2.80,75.0,0.40,0.37,0.23,0.33,33.3,0.10,0.07,0.03,0.00,33.3,https://fbref.com/en/players/f9e0c603/Maarten-Vandevoordt,f9e0c603,Jupiler Pro League
33,Warleson,BRA,GK,Cercle Brugge,27-243,1996,30,30,2700,30.0,1.13,1.13,4.10,3.00,72.4,0.47,0.17,0.37,0.37,36.7,0.03,0.00,0.03,0.00,100.0,https://fbref.com/en/players/592410a2/Warleson,592410a2,Jupiler Pro League
