Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Tony Abad,ESP,DF,Eldense,27-066,1996,19.0,1.47,1.00,0.58,0.74,0.16,0.68,1.11,61.9,0.42,1.00,0.37,0.63,1.05,2.53,2.63,0.11,https://fbref.com/en/players/8fa6026e/Tony-Abad,8fa6026e,La Liga 2
2,Abel,ESP,DF,Oviedo,23-140,2000,20.6,2.57,1.70,1.50,0.78,0.29,1.84,2.96,62.3,1.12,1.26,0.10,1.17,0.87,3.45,1.80,0.00,https://fbref.com/en/players/40b6bd38/Abel,40b6bd38,La Liga 2
3,Diyaeddine Abzi,CAN,"DF,MF",Leganés,25-046,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,5.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,https://fbref.com/en/players/97a59a10/Diyaeddine-Abzi,97a59a10,La Liga 2
4,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
5,Emmanuel Addai,GHA,"FW,MF",Alcorcón,22-160,2001,14.5,1.17,0.48,0.48,0.28,0.41,0.48,1.86,25.9,1.38,1.59,0.14,1.45,0.69,1.86,0.55,0.00,https://fbref.com/en/players/e0764d9d/Emmanuel-Addai,e0764d9d,La Liga 2
6,Álvaro Aguado,ESP,MF,Espanyol,27-252,1996,8.3,0.84,0.48,0.72,0.12,0.00,0.24,1.20,20.0,0.96,0.96,0.00,0.96,0.96,1.81,0.72,0.24,https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,014aa7bd,La Liga 2
7,Marc Aguado,ESP,MF,Zaragoza,23-320,2000,14.1,2.77,2.06,1.21,1.28,0.28,1.28,2.20,58.1,0.92,1.56,0.28,1.28,1.42,4.18,1.56,0.00,https://fbref.com/en/players/5a705641/Marc-Aguado,5a705641,La Liga 2
8,Lalo Aguilar,ESP,"DF,MF",Leganés,21-211,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/dfbd5cb9/Lalo-Aguilar,dfbd5cb9,La Liga 2
9,Lucas Ahijado,ESP,DF,Oviedo,28-343,1995,5.6,3.04,2.32,0.89,1.61,0.54,1.79,3.39,52.6,1.61,1.61,0.54,1.07,0.71,3.75,1.61,0.00,https://fbref.com/en/players/7244b474/Lucas-Ahijado,7244b474,La Liga 2
10,Matheus Aiás,BRA,MF,Racing Sant,27-008,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,10.0,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,La Liga 2
