Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
1,Tony Abad,ESP,DF,Eldense,27-066,1996,19.0,0.21,0.00,0.00,0.95,0.32,0.05,3.00,1.05,1.00,0.00,0.00,0.00,5.47,1.26,1.32,49.0,https://fbref.com/en/players/8fa6026e/Tony-Abad,8fa6026e,La Liga 2
2,Abel,ESP,DF,Oviedo,23-140,2000,20.6,0.24,0.00,0.00,0.97,1.50,0.10,5.53,0.87,1.70,0.00,0.00,0.00,6.60,1.02,0.97,51.2,https://fbref.com/en/players/40b6bd38/Abel,40b6bd38,La Liga 2
3,Diyaeddine Abzi,CAN,"DF,MF",Leganés,25-046,1998,0.2,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,100.0,https://fbref.com/en/players/97a59a10/Diyaeddine-Abzi,97a59a10,La Liga 2
4,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
5,Emmanuel Addai,GHA,"FW,MF",Alcorcón,22-160,2001,14.5,0.00,0.00,0.00,0.76,1.52,0.41,2.55,0.69,0.48,0.00,0.00,0.00,4.69,0.76,1.24,37.9,https://fbref.com/en/players/e0764d9d/Emmanuel-Addai,e0764d9d,La Liga 2
6,Álvaro Aguado,ESP,MF,Espanyol,27-252,1996,8.3,0.00,0.00,0.00,0.84,1.45,0.00,3.86,0.96,0.48,0.00,0.00,0.00,6.75,0.60,1.08,35.7,https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,014aa7bd,La Liga 2
7,Marc Aguado,ESP,MF,Zaragoza,23-320,2000,14.1,0.21,0.00,0.00,0.57,1.42,0.00,0.14,1.42,2.06,0.00,0.00,0.00,6.67,0.92,0.57,61.9,https://fbref.com/en/players/5a705641/Marc-Aguado,5a705641,La Liga 2
8,Lalo Aguilar,ESP,"DF,MF",Leganés,21-211,2002,0.2,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,5.00,0.00,100.0,https://fbref.com/en/players/dfbd5cb9/Lalo-Aguilar,dfbd5cb9,La Liga 2
9,Lucas Ahijado,ESP,DF,Oviedo,28-343,1995,5.6,0.18,0.00,0.00,1.25,0.36,0.00,4.11,0.71,2.32,0.00,0.00,0.00,6.79,0.89,0.36,71.4,https://fbref.com/en/players/7244b474/Lucas-Ahijado,7244b474,La Liga 2
10,Matheus Aiás,BRA,MF,Racing Sant,27-008,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,La Liga 2
11,Ager Aketxe,ESP,"FW,MF",Eibar,30-009,1993,14.3,0.00,0.00,0.00,0.56,1.61,0.00,7.06,0.21,1.26,0.00,0.00,0.00,5.31,0.42,0.84,33.3,https://fbref.com/en/players/c5eaff5c/Ager-Aketxe,c5eaff5c,La Liga 2
12,Ilias Akhomach,ESP,MF,Villarreal B,19-267,2004,1.7,0.00,0.00,0.00,1.18,4.12,0.00,0.00,0.59,0.59,0.00,0.00,0.00,1.76,0.00,0.00,,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,La Liga 2
13,Babatunde Akinsola,NGA,"MF,FW",Valladolid,20-304,2003,3.1,0.65,0.00,0.00,1.61,2.90,0.65,3.55,0.97,0.65,0.00,0.00,0.00,5.48,0.65,2.58,20.0,https://fbref.com/en/players/733aab44/Babatunde-Akinsola,733aab44,La Liga 2
14,Jony Álamo,ESP,MF,Cartagena,22-105,2001,5.1,0.20,0.00,0.00,0.78,2.75,0.00,0.00,0.59,0.59,0.00,0.00,0.00,7.06,0.78,1.96,28.6,https://fbref.com/en/players/788be7f9/Jony-Alamo,788be7f9,La Liga 2
15,Tomás Alarcón,CHI,"MF,DF",Cartagena,24-354,1999,12.8,0.39,0.00,0.00,1.48,0.55,0.00,1.95,1.64,0.86,0.00,0.00,0.00,5.55,1.02,1.48,40.6,https://fbref.com/en/players/99ea2ddd/Tomas-Alarcon,99ea2ddd,La Liga 2
16,Alassán,ESP,"FW,MF",Tenerife,21-118,2002,2.1,0.00,0.00,0.00,0.95,1.90,0.48,3.81,0.48,1.43,0.00,0.00,0.00,2.38,1.43,2.86,33.3,https://fbref.com/en/players/95fb7c1b/Alassan,95fb7c1b,La Liga 2
17,Pedro Alcalá,ESP,DF,Cartagena,34-295,1989,18.0,0.22,0.00,0.00,1.22,0.33,0.00,0.11,0.78,0.94,0.00,0.06,0.06,3.50,2.67,1.72,60.8,https://fbref.com/en/players/ba71d071/Pedro-Alcala,ba71d071,La Liga 2
18,Edgar Alcañiz,ESP,MF,Levante,18-296,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://fbref.com/en/players/6e3326a5/Edgar-Alcaniz,6e3326a5,La Liga 2
19,Aldasoro,ESP,MF,Racing Sant,24-217,1999,15.6,0.45,0.00,0.00,2.05,1.35,0.00,0.13,1.28,1.79,0.00,0.00,0.00,6.15,0.77,0.83,48.0,https://fbref.com/en/players/4405a57e/Aldasoro,4405a57e,La Liga 2
20,Alexandre Alemão,BRA,"FW,MF",Oviedo,25-282,1998,3.5,0.57,0.00,0.00,3.14,2.00,0.29,2.29,0.00,0.29,0.29,0.00,0.00,2.86,3.14,2.00,61.1,https://fbref.com/en/players/3ed2a79b/Alexandre-Alemao,3ed2a79b,La Liga 2
21,Diego Alende,ESP,DF,FC Andorra,26-136,1997,4.0,0.25,0.00,0.00,0.75,0.25,0.00,0.00,1.50,0.75,0.00,0.00,0.00,4.50,1.50,1.75,46.2,https://fbref.com/en/players/9af88279/Diego-Alende,9af88279,La Liga 2
22,Ángel Algobia,ESP,"MF,DF",Levante,24-199,1999,6.7,0.00,0.00,0.00,1.34,0.00,0.00,0.30,0.60,0.45,0.00,0.00,0.00,5.97,1.04,1.34,43.8,https://fbref.com/en/players/acc1aefa/Angel-Algobia,acc1aefa,La Liga 2
23,Julio Alonso,ESP,DF,Albacete,25-025,1998,13.5,0.15,0.00,0.00,0.81,1.04,0.00,3.93,0.96,1.19,0.07,0.07,0.00,7.56,0.52,0.52,50.0,https://fbref.com/en/players/8fcea8a1/Julio-Alonso,8fcea8a1,La Liga 2
24,Rodri Alonso,ESP,MF,Villarreal B,21-004,2003,6.3,0.48,0.00,0.00,1.11,0.48,0.00,1.59,0.16,0.32,,,0.00,,,,,https://fbref.com/en/players/5d048362/Rodri-Alonso,5d048362,La Liga 2
