Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,Tony Abad,ESP,DF,Eldense,27-066,1996,20,19,1713,19.0,0.00,0.21,0.21,0.00,0.00,0.00,0.21,0.00,0.01,0.01,0.07,0.07,1.21,3.42,6.05,0.00,0.21,0.21,0.00,0.21,0.00,0.07,0.07,0.00,0.07,https://fbref.com/en/players/8fa6026e/Tony-Abad,8fa6026e,La Liga 2
2,Abel,ESP,DF,Oviedo,23-140,2000,21,21,1851,20.6,0.05,0.05,0.10,0.05,0.00,0.00,0.24,0.00,0.02,0.02,0.11,0.14,3.93,2.86,8.11,0.05,0.05,0.10,0.05,0.10,0.02,0.11,0.13,0.02,0.13,https://fbref.com/en/players/40b6bd38/Abel,40b6bd38,La Liga 2
3,Diyaeddine Abzi,CAN,"DF,MF",Leganés,25-046,1998,2,0,20,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.41,0.41,0.41,https://fbref.com/en/players/97a59a10/Diyaeddine-Abzi,97a59a10,La Liga 2
4,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
5,Emmanuel Addai,GHA,"FW,MF",Alcorcón,22-160,2001,18,13,1304,14.5,0.21,0.21,0.41,0.21,0.00,0.00,0.00,0.00,0.20,0.20,0.12,0.31,4.00,2.41,8.07,0.21,0.21,0.41,0.21,0.41,0.20,0.12,0.31,0.20,0.31,https://fbref.com/en/players/e0764d9d/Emmanuel-Addai,e0764d9d,La Liga 2
6,Álvaro Aguado,ESP,MF,Espanyol,27-252,1996,13,8,744,8.3,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.10,0.16,3.86,9.28,1.81,0.00,0.12,0.12,0.00,0.12,0.06,0.10,0.16,0.06,0.16,https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,014aa7bd,La Liga 2
7,Marc Aguado,ESP,MF,Zaragoza,23-320,2000,19,15,1267,14.1,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.03,0.03,0.21,4.18,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/en/players/5a705641/Marc-Aguado,5a705641,La Liga 2
8,Lalo Aguilar,ESP,"DF,MF",Leganés,21-211,2002,3,0,21,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,5.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.39,0.00,0.39,https://fbref.com/en/players/dfbd5cb9/Lalo-Aguilar,dfbd5cb9,La Liga 2
9,Lucas Ahijado,ESP,DF,Oviedo,28-343,1995,8,7,508,5.6,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.02,0.02,0.02,0.02,3.57,3.75,4.82,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/7244b474/Lucas-Ahijado,7244b474,La Liga 2
10,Matheus Aiás,BRA,MF,Racing Sant,27-008,1996,1,0,5,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,La Liga 2
11,Ager Aketxe,ESP,"FW,MF",Eibar,30-009,1993,19,15,1290,14.3,0.49,0.14,0.63,0.42,0.07,0.07,0.00,0.00,0.22,0.16,0.19,0.35,1.82,9.09,8.11,0.49,0.14,0.63,0.42,0.56,0.22,0.19,0.41,0.16,0.35,https://fbref.com/en/players/c5eaff5c/Ager-Aketxe,c5eaff5c,La Liga 2
12,Ilias Akhomach,ESP,MF,Villarreal B,19-267,2004,2,2,156,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.18,0.29,3.53,2.94,8.24,0.00,0.00,0.00,0.00,0.00,0.12,0.15,0.27,0.12,0.27,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,La Liga 2
13,Babatunde Akinsola,NGA,"MF,FW",Valladolid,20-304,2003,8,2,279,3.1,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.06,0.06,0.16,0.23,4.84,1.61,12.3,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.22,0.06,0.22,https://fbref.com/en/players/733aab44/Babatunde-Akinsola,733aab44,La Liga 2
