Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
136,Diego Conde,ESP,GK,Leganés,25-072,1998,18.1,29.4,25.4,29.3,0.06,0.00,0.00,29.4,0.00,0.00,,0.00,,13.6,85.8,56.9,0.00,0.00,0.00,0.06,0.00,8.73,0.00,https://fbref.com/en/players/4eae5bc4/Diego-Conde,4eae5bc4,La Liga 2
137,Aitor Córdoba,ESP,DF,Burgos,28-232,1995,20.8,49.9,6.49,27.0,21.6,1.44,0.67,49.9,0.29,0.29,100.0,0.00,0.0,24.6,106.2,55.7,0.43,0.05,0.00,0.34,0.00,28.7,0.19,https://fbref.com/en/players/42547afa/Aitor-Cordoba,42547afa,La Liga 2
138,José Corpas,ESP,"FW,DF",Eibar,32-185,1991,12.5,53.4,1.76,9.04,17.8,27.0,3.20,53.4,2.48,1.12,45.2,1.36,54.8,26.3,126.4,54.4,1.60,1.68,0.64,2.16,0.72,34.3,9.60,https://fbref.com/en/players/422b05e3/Jose-Corpas,422b05e3,La Liga 2
139,Álex Corredera,ESP,MF,Tenerife,27-295,1996,19.3,59.0,1.35,9.79,35.2,14.4,0.83,59.0,0.93,0.57,61.1,0.26,27.8,32.4,161.3,69.7,1.45,1.14,0.16,1.19,0.83,38.4,2.18,https://fbref.com/en/players/b3a2168d/Alex-Corredera,b3a2168d,La Liga 2
140,David Costas,ESP,DF,Oviedo,28-288,1995,17.4,71.3,9.77,39.5,29.3,2.76,0.92,71.3,0.75,0.52,69.2,0.06,7.7,40.3,263.0,154.3,0.86,0.75,0.00,0.86,0.29,42.5,0.11,https://fbref.com/en/players/545e2f01/David-Costas,545e2f01,La Liga 2
141,Enol Coto,ESP,DF,Sporting Gijón,22-291,2001,1.4,70.0,2.14,25.0,35.7,9.29,0.00,70.0,2.14,1.43,66.7,0.71,33.3,30.0,166.4,68.6,0.71,0.71,0.00,1.43,0.00,42.9,1.43,https://fbref.com/en/players/06af1c11/Enol-Coto,06af1c11,La Liga 2
142,Sergio Cubero Ezcurra,ESP,DF,Racing Ferrol,24-125,1999,10.5,69.6,3.33,22.7,31.4,16.3,0.67,69.6,1.24,0.38,30.8,0.67,53.8,32.5,226.2,117.2,3.24,3.24,0.10,1.24,0.76,36.5,2.00,https://fbref.com/en/players/d858d079/Sergio-Cubero-Ezcurra,d858d079,La Liga 2
143,Cuenca,ESP,FW,Zaragoza,21-062,2002,0.0,7,0,0,4,3,0,7,0,0,,0,,6,52,12,0,1,0,0,0,6,1,https://fbref.com/en/players/ec14bc12/Cuenca,ec14bc12,La Liga 2
144,Pablo Cuñat,ESP,GK,Amorebieta,21-255,2002,17.0,38.3,29.6,37.9,0.35,0.00,0.00,38.3,0.06,0.06,100.0,0.00,0.0,18.9,101.4,58.9,0.00,0.00,0.00,0.00,0.00,14.9,0.00,https://fbref.com/en/players/a9ab3b32/Pablo-Cunat,a9ab3b32,La Liga 2
145,Curro,ESP,"FW,MF",Burgos,28-005,1996,19.8,54.1,0.35,4.95,29.0,21.0,3.03,53.8,1.82,0.61,33.3,0.86,47.2,28.8,131.0,57.6,1.57,1.41,0.40,3.03,1.36,37.8,5.76,https://fbref.com/en/players/f9a225f5/Curro,f9a225f5,La Liga 2
