Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Tony Abad,ESP,DF,Eldense,27-066,1996,19.0,47.9,60.4,79.3,683.2,273.2,28.6,31.3,91.4,14.7,18.9,77.8,2.42,6.05,40.0,0.21,0.07,0.09,0.14,0.95,2.58,1.00,0.53,3.42,https://fbref.com/en/players/8fa6026e/Tony-Abad,8fa6026e,La Liga 2
2,Abel,ESP,DF,Oviedo,23-140,2000,20.6,36.3,53.1,68.3,600.2,214.8,18.5,21.8,84.9,14.3,20.0,71.5,2.86,7.52,38.1,0.05,0.11,0.14,-0.06,0.87,2.38,1.21,0.83,2.86,https://fbref.com/en/players/40b6bd38/Abel,40b6bd38,La Liga 2
3,Diyaeddine Abzi,CAN,"DF,MF",Leganés,25-046,1998,0.2,65.0,75.0,86.7,755.0,280.0,50.0,50.0,100.0,15.0,20.0,75.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,https://fbref.com/en/players/97a59a10/Diyaeddine-Abzi,97a59a10,La Liga 2
4,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3.0,18.3,32.3,56.7,806.0,738.7,1.33,1.33,100.0,3.33,3.33,100.0,13.7,27.7,49.4,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
5,Emmanuel Addai,GHA,"FW,MF",Alcorcón,22-160,2001,14.5,15.0,23.8,63.2,285.2,63.6,7.17,9.45,75.9,4.69,6.83,68.7,2.48,5.03,49.3,0.21,0.12,0.10,0.09,1.03,1.79,0.34,0.14,2.41,https://fbref.com/en/players/e0764d9d/Emmanuel-Addai,e0764d9d,La Liga 2
6,Álvaro Aguado,ESP,MF,Espanyol,27-252,1996,8.3,61.1,71.6,85.4,1093.9,333.7,26.9,29.5,91.0,26.7,29.9,89.5,6.39,10.0,63.9,0.12,0.10,0.19,0.02,1.81,8.19,0.84,0.36,9.28,https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,014aa7bd,La Liga 2
7,Marc Aguado,ESP,MF,Zaragoza,23-320,2000,14.1,44.3,49.4,89.8,784.0,189.6,19.1,20.5,93.4,19.8,21.4,92.4,4.61,5.39,85.5,0.00,0.03,0.04,-0.03,0.64,3.90,0.28,0.00,4.18,https://fbref.com/en/players/5a705641/Marc-Aguado,5a705641,La Liga 2
8,Lalo Aguilar,ESP,"DF,MF",Leganés,21-211,2002,0.2,45.0,65.0,69.2,825.0,290.0,15.0,15.0,100.0,30.0,40.0,75.0,0.00,0.00,,0.00,0.50,0.00,-0.50,5.00,15.0,0.00,0.00,10.0,https://fbref.com/en/players/dfbd5cb9/Lalo-Aguilar,dfbd5cb9,La Liga 2
9,Lucas Ahijado,ESP,DF,Oviedo,28-343,1995,5.6,38.6,50.4,76.6,630.5,227.3,18.9,21.3,89.1,16.3,20.5,79.1,2.68,6.07,44.1,0.00,0.02,0.04,-0.02,0.54,2.86,0.54,0.54,3.75,https://fbref.com/en/players/7244b474/Lucas-Ahijado,7244b474,La Liga 2
10,Matheus Aiás,BRA,MF,Racing Sant,27-008,1996,0.1,20.0,40.0,50.0,200.0,60.0,20.0,20.0,100.0,0.00,0.00,,0.00,10.0,0.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,La Liga 2
11,Ager Aketxe,ESP,"FW,MF",Eibar,30-009,1993,14.3,46.2,60.1,76.8,786.2,226.6,21.6,24.7,87.5,17.9,22.0,81.3,4.62,9.23,50.0,0.14,0.19,0.27,-0.05,3.22,5.38,2.59,0.77,9.09,https://fbref.com/en/players/c5eaff5c/Ager-Aketxe,c5eaff5c,La Liga 2
12,Ilias Akhomach,ESP,MF,Villarreal B,19-267,2004,1.7,25.9,30.0,86.3,327.6,89.4,14.7,17.6,83.3,7.65,8.24,92.9,0.59,1.18,50.0,0.00,0.18,0.12,-0.18,1.18,1.76,1.18,0.00,2.94,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,La Liga 2
13,Babatunde Akinsola,NGA,"MF,FW",Valladolid,20-304,2003,3.1,21.0,27.7,75.6,349.0,55.5,11.3,11.9,94.6,6.77,9.68,70.0,1.94,3.55,54.5,0.00,0.16,0.13,-0.16,1.94,0.32,0.97,0.65,1.61,https://fbref.com/en/players/733aab44/Babatunde-Akinsola,733aab44,La Liga 2
14,Jony Álamo,ESP,MF,Cartagena,22-105,2001,5.1,37.5,42.9,87.2,688.8,133.9,15.1,16.1,93.9,18.8,20.8,90.6,3.14,4.90,64.0,0.00,0.00,0.02,0.00,0.39,3.92,0.20,0.00,5.10,https://fbref.com/en/players/788be7f9/Jony-Alamo,788be7f9,La Liga 2
