Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3.0,1.67,0.33,0.00,0.33,0.00,1.40,0.40,-0.27,-0.28,9.00,22.0,40.9,22.3,2.67,62.7,46.6,10.0,80.0,60.2,13.3,0.67,5.0,2.00,2.00,21.1,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
2,Altube,ESP,GK,Albacete,23-320,2000,4.0,1.75,0.25,0.00,0.25,0.00,1.75,0.37,0.00,-0.01,5.75,19.0,30.3,17.5,2.25,72.9,49.5,8.00,78.1,57.7,15.3,0.75,4.9,0.75,0.75,16.8,https://fbref.com/en/players/e4cbb095/Altube,e4cbb095,La Liga 2
3,Cristian Álvarez,ARG,GK,Zaragoza,38-056,1985,9.7,0.62,0.00,0.00,0.00,0.10,0.63,0.21,0.11,+0.11,7.63,17.4,43.8,29.0,2.99,46.3,39.7,6.49,61.9,47.7,12.6,1.44,11.5,0.62,0.62,11.5,https://fbref.com/en/players/87e89eb4/Cristian-Alvarez,87e89eb4,La Liga 2
4,Iker Álvarez,AND,GK,Villarreal B,22-167,2001,15.0,1.27,0.13,0.07,0.07,0.00,1.35,0.29,0.08,+0.08,4.27,10.5,40.5,23.7,6.00,30.7,32.5,7.13,45.8,41.9,16.7,1.47,8.8,0.93,0.93,12.5,https://fbref.com/en/players/13619663/Iker-Alvarez,13619663,La Liga 2
5,Lucas Anacker,BRA,GK,Alcorcón,27-108,1996,3.0,0.67,0.00,0.00,0.33,0.00,1.03,0.22,0.37,+0.36,11.7,24.0,48.6,20.0,0.33,63.3,45.4,12.0,94.4,61.0,22.7,2.00,8.8,0.33,0.33,8.3,https://fbref.com/en/players/0b5d06ee/Lucas-Anacker,0b5d06ee,La Liga 2
6,Édgar Badía,ESP,GK,Elche,31-330,1992,7.0,1.29,0.14,0.14,0.29,0.00,1.24,0.24,-0.04,-0.05,3.29,10.6,31.1,31.7,4.43,25.2,29.2,6.29,40.9,35.4,10.1,0.43,4.2,2.43,2.43,19.2,https://fbref.com/en/players/e4346678/Edgar-Badia,e4346678,La Liga 2
7,Bernabé Barragán,ESP,GK,Albacete,30-324,1993,17.0,1.41,0.24,0.00,0.18,0.00,1.31,0.36,-0.11,-0.11,4.24,12.4,34.1,18.5,4.18,43.8,36.8,6.41,67.0,48.9,11.4,0.82,7.3,0.94,0.94,14.5,https://fbref.com/en/players/a3cd0078/Bernabe-Barragan,a3cd0078,La Liga 2
8,Ander Cantero,ESP,GK,Racing Ferrol,28-364,1995,21.0,1.10,0.10,0.00,0.10,0.00,1.22,0.32,0.12,+0.12,5.62,13.6,41.3,23.2,4.71,38.5,35.7,7.48,62.4,47.4,14.1,1.38,9.8,1.19,1.19,13.9,https://fbref.com/en/players/de9bccf3/Ander-Cantero,de9bccf3,La Liga 2
9,Churripi,ESP,GK,Burgos,29-250,1994,21.0,1.29,0.10,0.00,0.29,0.00,1.04,0.28,-0.24,-0.24,8.10,22.2,36.4,29.4,3.62,54.9,44.3,7.86,77.6,58.1,16.4,1.38,8.4,1.14,1.14,14.1,https://fbref.com/en/players/81a606fc/Churripi,81a606fc,La Liga 2
10,Diego Conde,ESP,GK,Leganés,25-072,1998,18.1,0.66,0.06,0.11,0.06,0.00,0.58,0.19,-0.08,-0.09,5.47,18.5,29.6,19.4,2.49,58.2,44.1,8.40,84.9,60.9,16.2,0.94,5.8,1.05,1.05,13.0,https://fbref.com/en/players/4eae5bc4/Diego-Conde,4eae5bc4,La Liga 2
