Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Tony Abad,ESP,DF,Eldense,27-066,1996,20,1713,86,90.6,19.0,1.00,89,0.89,0.05,29,0.05,1.30,1.37,1.53,-0.16,-0.16,+0.86,0.97,1.08,-0.12,-0.12,+0.54,https://fbref.com/en/players/8fa6026e/Tony-Abad,8fa6026e,La Liga 2
2,Álvaro Abajas,ESP,GK,Leganés,20-241,2003,0,,,,,0,,0,0,,16,,,,,,,,,,,,https://fbref.com/en/players/b6297cb0/Alvaro-Abajas,b6297cb0,La Liga 2
3,Abel,ESP,DF,Oviedo,23-140,2000,21,1851,88,97.9,20.6,1.02,88,0.83,0.00,,0.00,1.43,1.02,0.73,0.29,+0.29,-2.02,0.95,0.97,-0.02,-0.03,+0.02,https://fbref.com/en/players/40b6bd38/Abel,40b6bd38,La Liga 2
4,Diyaeddine Abzi,CAN,"DF,MF",Leganés,25-046,1998,2,20,10,1.1,0.2,0.00,,0.00,10.0,10,60.0,3.00,10.0,0.00,10.0,+9.00,+8.23,3.00,0.00,2.50,+2.44,+2.09,https://fbref.com/en/players/97a59a10/Diyaeddine-Abzi,97a59a10,La Liga 2
5,Álvaro Aceves,ESP,GK,Valladolid,20-166,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
6,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3,270,90,14.3,3.0,1.00,90,1.00,0.00,,3.00,1.00,1.67,1.67,0.00,0.00,+0.28,0.73,1.10,-0.37,-0.35,-0.22,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
7,Emmanuel Addai,GHA,"FW,MF",Alcorcón,22-160,2001,18,1304,72,69.0,14.5,0.90,86,0.55,0.34,36,0.00,0.78,0.97,1.66,-0.69,-0.69,-0.08,0.99,1.44,-0.46,-0.46,+0.23,https://fbref.com/en/players/e0764d9d/Emmanuel-Addai,e0764d9d,La Liga 2
8,Álvaro Aguado,ESP,MF,Espanyol,27-252,1996,13,744,57,39.4,8.3,0.96,76,0.36,0.60,27,0.36,1.38,1.81,1.33,0.48,+0.48,+0.01,1.54,0.80,0.75,+0.74,+0.58,https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,014aa7bd,La Liga 2
9,Marc Aguado,ESP,MF,Zaragoza,23-320,2000,19,1267,67,67.0,14.1,1.06,79,0.28,0.28,21,0.07,1.47,1.28,0.57,0.71,+0.71,+2.15,0.96,0.80,0.16,+0.16,+0.07,https://fbref.com/en/players/5a705641/Marc-Aguado,5a705641,La Liga 2
10,Lalo Aguilar,ESP,"DF,MF",Leganés,21-211,2002,3,21,7,1.1,0.2,0.00,,0.00,15.0,7,75.0,2.00,0.00,0.00,0.00,0.00,-0.87,0.50,1.50,-1.00,-0.83,-1.21,https://fbref.com/en/players/dfbd5cb9/Lalo-Aguilar,dfbd5cb9,La Liga 2
