,id,eventId,minute,second,teamId,x,y,expandedMinute,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType,isGoal,eventType,match_period
0,2616701291.0,2,0,0.0,1239,0.0,0.0,0,Successful,[],[],False,,,,,,,,,,,,,Start,FirstHalf
1,2616701293.0,2,0,0.0,1232,0.0,0.0,0,Successful,[],[],False,,,,,,,,,,,,,Start,FirstHalf
2,2616701309.0,3,0,0.0,1239,50.2,50.3,0,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.25'}]","[91, 117, 30, 35, 38, 216, 218]",True,318475.0,37.6,48.1,,,,,,,,,,Pass,FirstHalf
3,2616701331.0,4,0,3.0,1239,36.8,52.8,0,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.89'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '72.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,117055.0,32.6,72.1,,,,,,,,,,Pass,FirstHalf
4,2616701361.0,5,0,5.0,1239,32.5,69.9,0,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.22'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.9'}]","[91, 117, 30, 35, 38, 215, 218]",True,22152.0,21.7,38.9,,,,,,,,,,Pass,FirstHalf
5,2616701389.0,6,0,9.0,1239,21.8,25.2,0,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.91'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.0'}]","[91, 117, 30, 36, 38, 215, 218]",True,317681.0,24.0,8.0,,,,,,,,,,Pass,FirstHalf
6,2616701413.0,7,0,12.0,1239,25.2,4.3,0,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '35.5'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.17'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.1'}]","[91, 119, 117, 124, 127, 36, 37, 216, 218]",True,398130.0,58.5,13.1,,,,,,,,,,Pass,FirstHalf
7,2616701447.0,8,0,15.0,1239,59.5,9.2,0,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.22'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '83.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,318475.0,83.8,6.7,,,,,,,,,,Pass,FirstHalf
8,2616701459.0,9,0,19.0,1239,86.9,8.9,0,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.28'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '91.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,317743.0,91.3,31.5,,,,,,,,,,Pass,FirstHalf
9,2616701465.0,10,0,21.0,1239,91.3,31.8,0,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.95'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '89.7'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.5'}]","[91, 120, 29, 35, 37, 217, 218]",True,242791.0,89.7,38.0,,,,,,,,,,Pass,FirstHalf
10,2616701463.0,3,0,21.0,1232,17.5,73.2,0,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 60]",True,397585.0,,,,,,,,,,,,BlockedPass,FirstHalf
11,2616701475.0,4,0,23.0,1232,14.5,63.2,0,Successful,[],[93],False,280413.0,,,,,,,,,,,,BallRecovery,FirstHalf
12,2616701483.0,5,0,24.0,1232,12.8,64.7,0,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '15.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.20'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '11'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '2.8'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 118, 120, 29, 36, 37, 215, 218]",True,280413.0,15.4,65.5,,,,,,,,,,Pass,FirstHalf
13,2616701487.0,11,0,24.0,1239,83.9,33.2,0,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 60]",True,317743.0,,,,,,,,,,,,BlockedPass,FirstHalf
14,2616701509.0,6,0,25.0,1232,19.4,67.8,0,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '4.4'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.66'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.6'}]","[91, 117, 30, 139, 35, 38, 215, 218]",True,20241.0,4.4,54.6,,,,,,,,,,Pass,FirstHalf
15,2616701513.0,7,0,27.0,1232,3.8,54.2,0,Successful,[],[93],False,27490.0,,,,,,,,,,,,KeeperPickup,FirstHalf
16,2616701603.0,8,0,37.0,1232,5.5,57.5,0,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '59.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '6.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.91'}, {'type': {'value': 123, 'displayName': 'KeeperThrow'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '1.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 36, 37, 215, 218]",True,27490.0,6.6,59.7,,,,,,,,,,Pass,FirstHalf
