Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
34,Samuel Portugal,BRA,GK,Portimonense,28,1994,4.0,0.50,0.00,0.00,0.00,0.00,0.90,0.20,0.40,+0.39,6.00,17.0,35.3,27.8,3.75,41.4,37.4,6.75,81.5,57.4,17.5,1.00,5.7,1.25,1.25,14.5,https://fbref.com/en/players/554067e3/Samuel-Portugal,554067e3,Primeira Liga
35,Rafa,POR,GK,Vitória,18,2003,2.0,1.50,0.00,0.00,0.00,0.00,1.20,0.27,-0.30,-0.29,3.00,12.0,25.0,16.5,6.50,33.3,35.4,10.5,61.9,47.9,9.50,0.50,5.3,2.50,2.50,17.3,https://fbref.com/en/players/9424b983/Rafa,9424b983,Primeira Liga
36,Cláudio Ramos,POR,GK,Porto,30,1991,1.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,1.00,100.0,18.0,4.00,0.0,21.5,5.00,20.0,31.8,10.0,1.00,10.0,4.00,4.00,24.0,https://fbref.com/en/players/23505094/Claudio-Ramos,23505094,Primeira Liga
37,Tiago Sá,POR,GK,Braga,27,1995,1.9,1.05,0.00,0.00,0.00,0.00,1.32,0.78,0.26,+0.25,2.11,5.79,36.4,20.0,2.11,15.8,24.8,8.95,29.4,35.1,8.95,0.00,0.0,0.53,0.54,14.6,https://fbref.com/en/players/fd834d1d/Tiago-Sa,fd834d1d,Primeira Liga
38,João Miguel Macedo Silva,POR,GK,Marítimo,27,1995,8.0,2.88,0.13,0.00,0.38,0.00,2.86,0.42,-0.01,-0.01,5.25,19.0,27.6,23.4,4.13,46.0,39.2,11.4,72.5,51.8,12.6,0.75,5.9,1.38,1.38,13.7,https://fbref.com/en/players/1c98558c/Joao-Miguel-Macedo-Silva,1c98558c,Primeira Liga
39,Pedro José Moreira Silva,POR,GK,Estoril,25,1997,2.3,3.48,1.30,0.00,0.87,0.00,4.17,0.31,0.70,+0.69,3.91,12.6,31.0,24.3,6.96,32.1,33.1,12.2,39.3,38.4,19.6,1.74,8.9,0.00,0.00,4.5,https://fbref.com/en/players/f829f728/Pedro-Jose-Moreira-Silva,f829f728,Primeira Liga
40,Samuel Soares,POR,GK,Benfica,20,2002,0.0,0,0,0,0,0,0.0,0.03,0.0,+0.82,1,2,50.0,4,0,50.0,31.8,0,,,1,0,0.0,0,0.00,,https://fbref.com/en/players/244ff834/Samuel-Soares,244ff834,Primeira Liga
41,Matouš Trmal,CZE,GK,Marítimo,23,1998,6.0,0.83,0.17,0.00,0.00,0.00,1.22,0.24,0.38,+0.39,2.83,9.17,30.9,23.0,4.50,28.3,30.2,7.33,36.4,34.1,14.3,0.83,5.8,1.33,1.33,16.2,https://fbref.com/en/players/393f7c58/Matous-Trmal,393f7c58,Primeira Liga
42,João Valido,POR,GK,Arouca,22,2000,0.0,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,0,0,,,1,100.0,57.0,1,0,0.0,0,0.00,,https://fbref.com/en/players/beb1317c/Joao-Valido,beb1317c,Primeira Liga
43,Bruno Varela,CPV,GK,Vitória,27,1994,27.0,0.93,0.04,0.00,0.07,0.00,1.13,0.32,0.20,+0.21,7.22,18.9,38.3,25.5,3.67,46.3,39.3,9.81,71.7,49.8,15.3,0.85,5.6,1.04,1.04,13.4,https://fbref.com/en/players/2bea06e0/Bruno-Varela,2bea06e0,Primeira Liga
44,Igor Vekič,SVN,GK,Paços,24,1998,9.1,1.87,0.11,0.00,0.11,0.00,1.67,0.42,-0.20,-0.20,6.04,12.7,47.4,22.1,3.19,33.8,31.7,9.56,55.2,43.4,13.5,1.10,8.1,1.65,1.64,14.8,https://fbref.com/en/players/fcc5a185/Igor-Vekic,fcc5a185,Primeira Liga
45,Odisseas Vlachodimos,GRE,GK,Benfica,28,1994,34.0,0.59,0.06,0.00,0.06,0.03,0.60,0.26,0.04,+0.04,2.24,5.47,40.9,18.8,4.24,22.3,28.1,5.09,25.4,30.4,9.59,0.59,6.1,0.85,0.85,14.9,https://fbref.com/en/players/03df04ff/Odisseas-Vlachodimos,03df04ff,Primeira Liga
46,Ivan Zlobin,RUS,GK,Famalicão,25,1997,1.0,2.00,0.00,0.00,1.00,0.00,0.60,0.13,-1.40,-1.36,13.0,31.0,41.9,27.0,3.00,63.0,48.4,19.0,73.7,54.4,32.0,2.00,6.3,0.00,0.00,6.2,https://fbref.com/en/players/d8fe652c/Ivan-Zlobin,d8fe652c,Primeira Liga
47,Emilijus Zubas,LTU,GK,Arouca,32,1990,3.0,1.33,0.33,0.00,0.33,0.00,1.20,0.27,-0.13,-0.14,7.67,17.3,44.2,24.3,4.33,38.4,36.5,10.7,75.0,51.3,20.3,1.00,4.9,1.67,1.67,15.8,https://fbref.com/en/players/5635834c/Emilijus-Zubas,5635834c,Primeira Liga
