Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Antonio Adán,ESP,GK,Sporting CP,35,1987,31,31,2789,31.0,0.94,0.94,2.94,2.03,72.5,0.68,0.13,0.19,0.42,41.9,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
2,Jordi Almeida,BRA,GK,Paços,28,1993,6,6,540,6.0,2.33,2.33,5.83,3.83,60.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/774af19d/Jordi-Almeida,774af19d,Primeira Liga
3,Andrew,BRA,GK,Gil Vicente FC,21,2001,24,23,2131,23.7,1.10,1.10,5.11,4.01,80.2,0.25,0.25,0.46,0.30,30.4,0.08,0.08,0.00,0.00,0.0,https://fbref.com/en/players/40406a00/Andrew,40406a00,Primeira Liga
4,Paulo Vítor Fagundes dos Anjos,BRA,GK,Chaves,33,1988,30,30,2700,30.0,1.10,1.10,5.00,3.90,81.3,0.37,0.33,0.30,0.30,30.0,0.20,0.17,0.00,0.03,0.0,https://fbref.com/en/players/077977c0/Paulo-Vitor-Fagundes-dos-Anjos,077977c0,Primeira Liga
5,Gabriel Batista,BRA,GK,Santa Clara,24,1998,26,26,2340,26.0,1.88,1.88,4.96,3.15,66.7,0.15,0.19,0.65,0.15,15.4,0.35,0.23,0.04,0.08,14.3,https://fbref.com/en/players/20575487/Gabriel-Batista,20575487,Primeira Liga
6,Ricardo Batista,POR,GK,Casa Pia,35,1986,31,31,2790,31.0,1.00,1.00,4.23,3.16,79.4,0.35,0.26,0.39,0.35,35.5,0.19,0.13,0.06,0.00,33.3,https://fbref.com/en/players/abef8824/Ricardo-Batista,abef8824,Primeira Liga
7,Celton Biai,POR,GK,Vitória,21,2000,5,5,450,5.0,2.20,2.20,4.40,2.40,54.5,0.00,0.20,0.80,0.20,20.0,0.20,0.20,0.00,0.00,0.0,https://fbref.com/en/players/545599ea/Celton-Biai,545599ea,Primeira Liga
8,Rafael Bracalli,BRA,GK,Boavista,41,1981,28,28,2520,28.0,1.57,1.57,4.36,2.82,67.2,0.29,0.29,0.43,0.18,17.9,0.21,0.14,0.04,0.04,20.0,https://fbref.com/en/players/5f7d2dfe/Rafael-Bracalli,5f7d2dfe,Primeira Liga
9,Fabijan Buntić,CRO,GK,Vizela,25,1997,33,33,2970,33.0,1.12,1.12,4.03,2.88,77.4,0.33,0.21,0.45,0.33,33.3,0.27,0.21,0.06,0.00,22.2,https://fbref.com/en/players/f566b29e/Fabijan-Buntic,f566b29e,Primeira Liga
10,José Carlos Marafona,POR,GK,Paços,35,1987,16,16,1426,15.8,1.39,1.39,5.06,3.80,72.5,0.38,0.19,0.44,0.13,12.5,0.06,0.00,0.00,0.06,,https://fbref.com/en/players/8ac7161e/Jose-Carlos-Marafona,8ac7161e,Primeira Liga
11,Marcelo Carné,BRA,GK,Marítimo,32,1990,14,14,1260,14.0,1.71,1.71,4.86,3.21,69.1,0.36,0.07,0.57,0.14,14.3,0.29,0.21,0.00,0.07,0.0,https://fbref.com/en/players/a24d3330/Marcelo-Carne,a24d3330,Primeira Liga
12,César,BRA,GK,Boavista,30,1992,5,5,450,5.0,1.80,1.80,3.00,1.20,46.7,0.60,0.00,0.40,0.20,20.0,0.20,0.20,0.00,0.00,0.0,https://fbref.com/en/players/7f6296b9/Cesar,7f6296b9,Primeira Liga
13,Diogo Costa,POR,GK,Porto,22,1999,33,33,2970,33.0,0.67,0.67,2.39,1.82,77.2,0.79,0.12,0.09,0.48,48.5,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/93fffbcf/Diogo-Costa,93fffbcf,Primeira Liga
14,Ignacio De Arruabarrena,URU,GK,Arouca,25,1997,30,30,2699,30.0,1.07,1.07,4.47,3.30,79.1,0.50,0.20,0.30,0.43,43.3,0.30,0.13,0.13,0.03,50.0,https://fbref.com/en/players/4b8cb65b/Ignacio-De-Arruabarrena,4b8cb65b,Primeira Liga
