Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Rodrigo Abascal,URU,DF,Boavista,28,1994,25.5,45.6,57.8,78.8,993.4,454.9,13.2,14.5,91.1,23.9,26.9,89.1,8.08,14.7,54.8,0.08,0.04,0.07,0.04,0.39,3.29,0.39,0.16,3.06,https://fbref.com/en/players/088ae0d1/Rodrigo-Abascal,088ae0d1,Primeira Liga
2,Issah Abbas,GHA,"FW,MF",Chaves,23,1998,15.2,16.6,22.8,72.8,263.9,54.5,9.08,10.6,85.7,5.72,7.50,76.3,1.18,2.30,51.4,0.00,0.06,0.13,-0.06,0.59,1.12,0.99,0.13,2.04,https://fbref.com/en/players/2590ddf7/Issah-Abbas,2590ddf7,Primeira Liga
3,Giorgi Aburjania,GEO,MF,Gil Vicente FC,27,1995,17.9,44.9,54.9,81.8,716.9,236.8,21.6,25.0,86.4,18.7,21.0,88.8,2.74,4.97,55.1,0.06,0.08,0.11,-0.03,0.95,5.70,0.89,0.06,6.31,https://fbref.com/en/players/0921a46c/Giorgi-Aburjania,0921a46c,Primeira Liga
4,Elias Achouri,TUN,MF,Estoril,23,1999,0.1,30.0,60.0,50.0,490.0,0.00,20.0,30.0,66.7,10.0,20.0,50.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4dd2a0be/Elias-Achouri,4dd2a0be,Primeira Liga
5,Antonio Adán,ESP,GK,Sporting CP,35,1987,31.0,27.9,33.1,84.1,644.3,386.6,5.39,5.48,98.2,17.3,17.4,99.1,5.23,10.1,51.8,0.03,0.00,0.00,0.03,0.06,0.19,0.00,0.00,0.00,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
6,Adriano,BRA,"MF,DF",Santa Clara,22,1999,24.5,32.6,40.2,80.9,630.6,231.3,12.4,14.2,87.4,14.9,16.8,88.8,4.41,7.27,60.7,0.04,0.04,0.04,0.00,0.57,3.47,0.29,0.04,3.39,https://fbref.com/en/players/81053aea/Adriano,81053aea,Primeira Liga
7,João Afonso Crispim,BRA,MF,Marítimo,27,1995,16.3,32.8,40.2,81.7,656.4,172.5,10.2,12.6,81.5,17.4,19.8,87.9,4.66,6.13,76.0,0.00,0.01,0.02,-0.01,0.43,2.88,0.06,0.00,3.87,https://fbref.com/en/players/e40bdb5d/Joao-Afonso-Crispim,e40bdb5d,Primeira Liga
8,Lucas Áfrico,BRA,DF,Estoril,27,1995,3.9,39.5,44.1,89.5,816.2,298.5,12.6,13.6,92.5,21.3,22.8,93.3,5.64,7.44,75.9,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,2.56,https://fbref.com/en/players/8fd083bb/Lucas-Africo,8fd083bb,Primeira Liga
9,Martin Agirregabiria,ESP,"DF,FW",Famalicão,26,1996,4.5,36.4,47.6,76.6,621.1,249.6,15.1,17.1,88.3,18.4,21.8,84.7,2.22,6.44,34.5,0.22,0.04,0.04,0.18,0.67,2.22,1.33,0.89,3.11,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,355c883a,Primeira Liga
10,Salvador Agra,POR,"FW,MF",Boavista,30,1991,18.3,25.0,37.5,66.6,443.6,132.2,12.2,14.7,82.9,9.29,13.4,69.4,2.84,6.61,43.0,0.22,0.19,0.13,0.03,1.64,2.57,1.37,0.49,3.22,https://fbref.com/en/players/a130741a/Salvador-Agra,a130741a,Primeira Liga
