Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
1,Rodrigo Abascal,URU,DF,Boavista,28,1994,25.5,0.27,0.04,0.00,1.18,0.20,0.08,0.86,1.41,1.10,0.00,0.00,0.00,5.57,1.22,0.90,57.4,https://fbref.com/en/players/088ae0d1/Rodrigo-Abascal,088ae0d1,Primeira Liga
2,Issah Abbas,GHA,"FW,MF",Chaves,23,1998,15.2,0.39,0.07,0.00,2.57,2.11,0.79,1.45,0.53,0.46,0.00,0.00,0.00,4.47,0.46,0.86,35.0,https://fbref.com/en/players/2590ddf7/Issah-Abbas,2590ddf7,Primeira Liga
3,Giorgi Aburjania,GEO,MF,Gil Vicente FC,27,1995,17.9,0.34,0.00,0.00,1.12,1.62,0.00,0.61,0.67,0.95,0.00,0.00,0.00,6.37,0.95,0.67,58.6,https://fbref.com/en/players/0921a46c/Giorgi-Aburjania,0921a46c,Primeira Liga
4,Elias Achouri,TUN,MF,Estoril,23,1999,0.1,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,100.0,https://fbref.com/en/players/4dd2a0be/Elias-Achouri,4dd2a0be,Primeira Liga
5,Antonio Adán,ESP,GK,Sporting CP,35,1987,31.0,0.16,0.03,0.03,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.03,0.00,1.19,0.10,0.00,100.0,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
6,Adriano,BRA,"MF,DF",Santa Clara,22,1999,24.5,0.33,0.00,0.00,1.22,0.90,0.08,0.16,1.06,1.27,0.00,0.04,0.00,8.20,0.41,0.86,32.3,https://fbref.com/en/players/81053aea/Adriano,81053aea,Primeira Liga
7,João Afonso Crispim,BRA,MF,Marítimo,27,1995,16.3,0.61,0.06,0.06,2.02,0.74,0.00,0.06,2.21,1.47,0.00,0.06,0.00,6.56,2.02,1.10,64.7,https://fbref.com/en/players/e40bdb5d/Joao-Afonso-Crispim,e40bdb5d,Primeira Liga
8,Lucas Áfrico,BRA,DF,Estoril,27,1995,3.9,0.00,0.00,0.00,1.03,1.28,0.00,0.00,0.77,0.26,0.00,0.00,0.00,2.82,2.05,1.54,57.1,https://fbref.com/en/players/8fd083bb/Lucas-Africo,8fd083bb,Primeira Liga
9,Martin Agirregabiria,ESP,"DF,FW",Famalicão,26,1996,4.5,0.22,0.00,0.00,0.89,1.33,0.00,2.89,2.22,0.89,0.00,0.00,0.00,4.67,0.44,0.22,66.7,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,355c883a,Primeira Liga
10,Salvador Agra,POR,"FW,MF",Boavista,30,1991,18.3,0.33,0.00,0.00,1.64,2.02,0.27,6.50,0.33,1.09,0.00,0.00,0.05,3.99,0.27,0.60,31.3,https://fbref.com/en/players/a130741a/Salvador-Agra,a130741a,Primeira Liga
11,Mohamed Aidara,CIV,"DF,FW",Vizela,25,1996,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.37,0.00,0.00,0.00,5.19,0.74,1.11,40.0,https://fbref.com/en/players/09c61cb2/Mohamed-Aidara,09c61cb2,Primeira Liga
12,Alemão,BRA,DF,Portimonense,19,2002,4.0,0.00,0.00,0.00,1.25,0.50,0.00,0.00,1.50,2.25,0.00,0.00,0.00,5.00,2.25,2.25,50.0,https://fbref.com/en/players/a23b8218/Alemao,a23b8218,Primeira Liga
13,Sotiris Alexandropoulos,GRE,MF,Sporting CP,20,2001,1.2,0.00,0.00,0.00,2.50,0.83,0.00,0.00,1.67,4.17,0.00,0.00,0.00,9.17,0.83,0.83,50.0,https://fbref.com/en/players/4288f249/Sotiris-Alexandropoulos,4288f249,Primeira Liga
14,Ali Alipour,IRN,"FW,MF",Gil Vicente FC,26,1995,5.9,0.34,0.00,0.00,1.19,2.54,0.68,1.53,0.17,0.51,0.00,0.00,0.00,4.58,1.86,2.54,42.3,https://fbref.com/en/players/488ee64c/Ali-Alipour,488ee64c,Primeira Liga
15,Allano,BRA,"FW,MF",Santa Clara,27,1995,12.6,0.40,0.00,0.00,2.06,3.25,0.71,4.60,0.56,1.03,0.00,0.08,0.00,5.24,1.19,1.35,46.9,https://fbref.com/en/players/9c1245f8/Allano,9c1245f8,Primeira Liga
16,Domingos André Ribeiro Almeida,POR,MF,Vitória,22,2000,2.6,0.38,0.00,0.00,1.92,2.69,0.00,0.38,1.54,0.77,0.00,0.00,0.00,7.69,0.77,0.38,66.7,https://fbref.com/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,e6697917,Primeira Liga
17,Jordi Almeida,BRA,GK,Paços,28,1993,6.0,0.17,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.50,0.17,75.0,https://fbref.com/en/players/774af19d/Jordi-Almeida,774af19d,Primeira Liga
18,Alejandro Alvarado Jr.,USA,"FW,MF",Vizela,19,2003,0.8,1.25,0.00,0.00,3.75,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,6.25,2.50,3.75,40.0,https://fbref.com/en/players/14c93be3/Alejandro-Alvarado-Jr,14c93be3,Primeira Liga
19,Pedro Álvaro,POR,DF,Estoril,22,2000,28.6,0.28,0.00,0.00,1.57,0.52,0.03,0.14,1.19,0.42,0.00,0.07,0.00,3.50,1.99,1.05,65.5,https://fbref.com/en/players/00a2c297/Pedro-Alvaro,00a2c297,Primeira Liga
20,Luís Alves,POR,DF,Paços,20,2001,4.1,0.00,0.00,0.00,0.98,2.44,0.00,2.20,0.73,0.49,0.00,0.00,0.00,4.88,0.49,0.24,66.7,https://fbref.com/en/players/2102b074/Luis-Alves,2102b074,Primeira Liga
21,Pedro Amaral,POR,DF,Rio Ave,24,1997,11.0,0.45,0.00,0.00,1.09,0.82,0.09,5.27,0.91,0.82,0.00,0.00,0.00,4.55,0.18,0.64,22.2,https://fbref.com/en/players/8dbc3f20/Pedro-Amaral,8dbc3f20,Primeira Liga
22,André Amaro,POR,DF,Vitória,19,2002,26.2,0.42,0.04,0.04,0.99,1.15,0.04,0.15,1.83,1.15,0.00,0.08,0.00,5.42,2.06,1.53,57.4,https://fbref.com/en/players/cdb9b8f2/Andre-Amaro,cdb9b8f2,Primeira Liga
23,Anderson,BRA,FW,Vitória,24,1997,15.0,0.27,0.07,0.07,2.40,1.60,1.13,0.40,0.13,0.13,0.07,0.00,0.00,1.47,1.67,4.33,27.8,https://fbref.com/en/players/faf30cda/Anderson,faf30cda,Primeira Liga
24,Anderson,BRA,"FW,MF",Portimonense,24,1998,4.2,0.48,0.00,0.00,0.95,1.43,0.24,1.43,0.00,0.00,0.00,0.00,0.00,5.48,0.24,1.43,14.3,https://fbref.com/en/players/4242a0a1/Anderson,4242a0a1,Primeira Liga
25,Anderson,BRA,"MF,FW",Casa Pia,23,1998,0.3,3.33,0.00,0.00,10.0,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,3.33,0.00,0.00,,https://fbref.com/en/players/9dc5810c/Anderson,9dc5810c,Primeira Liga
