Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,Ramón Ábila,ARG,FW,Colón,33,1989,25,17,1571,17.5,0.34,0.17,0.51,0.34,0.00,0.06,0.23,0.00,0.29,0.23,0.14,0.38,1.09,1.49,6.11,0.34,0.17,0.52,0.34,0.52,0.29,0.14,0.43,0.23,0.38,https://fbref.com/en/players/db5ee72d/Ramon-Abila,db5ee72d,Argentina Liga Profesional
2,Gonzalo Abrego,ARG,MF,Godoy Cruz,23,2000,26,26,2134,23.7,0.13,0.04,0.17,0.13,0.00,0.00,0.08,0.00,0.09,0.09,0.03,0.12,1.01,4.77,3.29,0.13,0.04,0.17,0.13,0.17,0.09,0.03,0.12,0.09,0.12,https://fbref.com/en/players/de8bad41/Gonzalo-Abrego,de8bad41,Argentina Liga Profesional
3,Jonás Acevedo,ARG,"MF,FW",CA Huracán,25,1997,16,10,849,9.4,0.00,0.11,0.11,0.00,0.00,0.00,0.32,0.00,0.07,0.07,0.14,0.21,2.34,4.68,5.11,0.00,0.11,0.11,0.00,0.11,0.08,0.13,0.21,0.08,0.21,https://fbref.com/en/players/0b419c37/Jonas-Acevedo,0b419c37,Argentina Liga Profesional
4,Lucas Acevedo,ARG,DF,Colón,31,1991,6,2,189,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.48,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/6494b66c/Lucas-Acevedo,6494b66c,Argentina Liga Profesional
5,Guillermo Acosta,ARG,MF,Tucumán,34,1988,25,23,1874,20.8,0.00,0.10,0.10,0.00,0.00,0.00,0.29,0.05,0.07,0.07,0.06,0.13,0.87,4.95,1.25,0.00,0.10,0.10,0.00,0.10,0.07,0.06,0.13,0.07,0.13,https://fbref.com/en/players/1bae6597/Guillermo-Acosta,1bae6597,Argentina Liga Profesional
6,Lautaro Acosta,ARG,MF,Lanús,34,1988,19,12,932,10.4,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.16,0.16,0.13,0.31,1.83,3.17,2.50,0.00,0.00,0.00,0.00,0.00,0.17,0.14,0.30,0.17,0.30,https://fbref.com/en/players/2a3af4d5/Lautaro-Acosta,2a3af4d5,Argentina Liga Profesional
7,Lucas Acosta,ARG,GK,Lanús,27,1995,18,18,1620,18.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/50f7c408/Lucas-Acosta,50f7c408,Argentina Liga Profesional
8,Tomás Adoryán,ARG,MF,Banfield,21,2001,2,0,39,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,2.50,2.50,5.00,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.23,0.12,0.23,https://fbref.com/en/players/59684e00/Tomas-Adoryan,59684e00,Argentina Liga Profesional
9,Luis Advíncula,PER,"DF,FW",Boca Juniors,32,1990,18,16,1438,16.0,0.00,0.19,0.19,0.00,0.00,0.00,0.19,0.00,0.02,0.02,0.17,0.18,2.06,4.56,5.06,0.00,0.19,0.19,0.00,0.19,0.02,0.17,0.18,0.02,0.18,https://fbref.com/en/players/cacadf4f/Luis-Advincula,cacadf4f,Argentina Liga Profesional
10,Facundo Aguero,ARG,DF,Rosario Cent,28,1995,5,1,126,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/en/players/40c836e8/Facundo-Aguero,40c836e8,Argentina Liga Profesional
