Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Ramón Ábila,ARG,FW,Colón,33,1989,17.5,0.23,0.23,0.00,0.11,0.11,0.11,0.40,28.6,0.29,0.46,0.17,0.29,0.29,0.51,0.40,0.00,https://fbref.com/en/players/db5ee72d/Ramon-Abila,db5ee72d,Argentina Liga Profesional
2,Gonzalo Abrego,ARG,MF,Godoy Cruz,23,2000,23.7,2.07,1.27,0.68,1.14,0.25,1.01,2.45,41.4,1.43,1.56,0.25,1.31,0.89,2.95,0.89,0.00,https://fbref.com/en/players/de8bad41/Gonzalo-Abrego,de8bad41,Argentina Liga Profesional
3,Jonás Acevedo,ARG,"MF,FW",CA Huracán,25,1997,9.4,1.60,0.85,0.43,0.85,0.32,0.64,2.23,28.6,1.60,1.28,0.00,1.28,0.53,2.13,0.11,0.00,https://fbref.com/en/players/0b419c37/Jonas-Acevedo,0b419c37,Argentina Liga Profesional
4,Lucas Acevedo,ARG,DF,Colón,31,1991,2.1,1.90,1.43,1.90,0.00,0.00,0.95,1.90,50.0,0.95,1.43,1.43,0.00,0.00,1.90,11.0,0.48,https://fbref.com/en/players/6494b66c/Lucas-Acevedo,6494b66c,Argentina Liga Profesional
5,Guillermo Acosta,ARG,MF,Tucumán,34,1988,20.8,1.88,1.39,1.01,0.67,0.19,1.11,2.16,51.1,1.06,0.91,0.34,0.58,1.25,3.13,1.49,0.10,https://fbref.com/en/players/1bae6597/Guillermo-Acosta,1bae6597,Argentina Liga Profesional
6,Lautaro Acosta,ARG,MF,Lanús,34,1988,10.4,1.63,1.25,0.58,0.87,0.19,0.67,2.60,25.9,1.92,1.15,0.29,0.87,0.77,2.40,0.96,0.00,https://fbref.com/en/players/2a3af4d5/Lautaro-Acosta,2a3af4d5,Argentina Liga Profesional
7,Lucas Acosta,ARG,GK,Lanús,27,1995,18.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.06,0.06,0.17,0.22,https://fbref.com/en/players/50f7c408/Lucas-Acosta,50f7c408,Argentina Liga Profesional
8,Tomás Adoryán,ARG,MF,Banfield,21,2001,0.4,2.50,0.00,0.00,2.50,0.00,0.00,2.50,0.0,2.50,0.00,0.00,0.00,0.00,2.50,0.00,0.00,https://fbref.com/en/players/59684e00/Tomas-Adoryan,59684e00,Argentina Liga Profesional
9,Luis Advíncula,PER,"DF,FW",Boca Juniors,32,1990,16.0,2.19,1.25,1.06,1.06,0.06,1.31,1.69,77.8,0.38,1.25,0.25,1.00,0.38,2.56,1.00,0.00,https://fbref.com/en/players/cacadf4f/Luis-Advincula,cacadf4f,Argentina Liga Profesional
10,Facundo Aguero,ARG,DF,Rosario Cent,28,1995,1.4,2.86,0.71,1.43,1.43,0.00,0.71,2.86,25.0,2.14,0.71,0.00,0.71,2.14,5.00,7.86,0.00,https://fbref.com/en/players/40c836e8/Facundo-Aguero,40c836e8,Argentina Liga Profesional
11,Brian Aguilar,ARG,DF,Lanús,19,2003,0.6,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.0,1.67,1.67,0.00,1.67,0.00,0.00,8.33,0.00,https://fbref.com/en/players/c263af80/Brian-Aguilar,c263af80,Argentina Liga Profesional
12,Felipe Aguilar,COL,DF,Lanús,30,1993,13.1,0.46,0.38,0.31,0.15,0.00,0.31,1.07,28.6,0.76,0.76,0.53,0.23,1.07,1.53,5.80,0.08,https://fbref.com/en/players/c285529f/Felipe-Aguilar,c285529f,Argentina Liga Profesional
13,Emanuel Aguilera,ARG,DF,Tigre,33,1989,14.0,0.86,0.43,0.71,0.07,0.07,0.50,1.07,46.7,0.57,0.71,0.43,0.29,1.71,2.57,5.07,0.14,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Argentina Liga Profesional
14,Braian Aguirre,ARG,DF,Lanús,22,2000,14.2,2.89,1.97,2.11,0.56,0.21,1.20,2.68,44.7,1.48,1.06,0.28,0.77,1.06,3.94,3.24,0.00,https://fbref.com/en/players/74b396d8/Braian-Aguirre,74b396d8,Argentina Liga Profesional
