Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Ramón Ábila,ARG,FW,Colón,33,1989,25,1571,63,64.7,17.5,0.97,82,0.51,0.46,23,0.00,0.96,0.91,1.26,-0.34,-0.34,+0.39,0.95,1.36,-0.41,-0.41,+0.03,https://fbref.com/en/players/db5ee72d/Ramon-Abila,db5ee72d,Argentina Liga Profesional
2,Gonzalo Abrego,ARG,MF,Godoy Cruz,23,2000,26,2134,82,87.8,23.7,1.10,82,0.63,0.00,,0.00,1.58,1.35,1.10,0.25,+0.25,+0.56,1.11,1.29,-0.18,-0.18,-0.37,https://fbref.com/en/players/de8bad41/Gonzalo-Abrego,de8bad41,Argentina Liga Profesional
3,Jonás Acevedo,ARG,"MF,FW",CA Huracán,25,1997,16,849,53,34.9,9.4,1.06,75,0.00,0.64,17,0.74,1.25,1.17,1.06,0.11,+0.11,+0.79,1.10,0.72,0.37,+0.38,+0.55,https://fbref.com/en/players/0b419c37/Jonas-Acevedo,0b419c37,Argentina Liga Profesional
4,Lucas Acevedo,ARG,DF,Colón,31,1991,6,189,32,7.8,2.1,0.95,68,0.48,1.90,14,5.71,1.33,1.43,2.38,-0.95,-0.95,-0.51,0.62,1.86,-1.24,-1.24,-0.89,https://fbref.com/en/players/6494b66c/Lucas-Acevedo,6494b66c,Argentina Liga Profesional
5,Guillermo Acosta,ARG,MF,Tucumán,34,1988,25,1874,75,77.1,20.8,1.11,79,0.38,0.10,27,0.05,1.32,0.96,0.96,0.00,0.00,+0.32,1.05,1.18,-0.13,-0.13,+0.39,https://fbref.com/en/players/1bae6597/Guillermo-Acosta,1bae6597,Argentina Liga Profesional
6,Lautaro Acosta,ARG,MF,Lanús,34,1988,19,932,49,38.4,10.4,1.15,68,0.19,0.67,17,0.10,1.63,1.73,1.35,0.38,+0.39,-0.03,1.64,1.08,0.57,+0.57,+0.39,https://fbref.com/en/players/2a3af4d5/Lautaro-Acosta,2a3af4d5,Argentina Liga Profesional
7,Lucas Acosta,ARG,GK,Lanús,27,1995,18,1620,90,66.7,18.0,1.00,90,1.00,0.00,,0.50,1.56,1.33,0.94,0.39,+0.39,-0.06,1.42,1.07,0.35,+0.35,+0.07,https://fbref.com/en/players/50f7c408/Lucas-Acosta,50f7c408,Argentina Liga Profesional
8,Tomás Adoryán,ARG,MF,Banfield,21,2001,2,39,20,1.6,0.4,0.00,,0.00,5.00,20,10.0,0.00,0.00,0.00,0.00,0.00,+0.41,1.00,0.50,0.50,+0.51,+0.49,https://fbref.com/en/players/59684e00/Tomas-Adoryan,59684e00,Argentina Liga Profesional
9,Luis Advíncula,PER,"DF,FW",Boca Juniors,32,1990,18,1438,80,59.2,16.0,1.00,88,0.81,0.13,18,0.06,1.50,1.19,0.94,0.25,+0.25,-0.20,1.09,1.18,-0.07,-0.08,-0.31,https://fbref.com/en/players/cacadf4f/Luis-Advincula,cacadf4f,Argentina Liga Profesional
10,Facundo Aguero,ARG,DF,Rosario Cent,28,1995,5,126,25,5.2,1.4,0.71,61,0.00,2.86,16,12.9,1.20,0.71,1.43,-0.71,-0.71,-1.03,0.71,1.71,-1.07,-1.06,-1.09,https://fbref.com/en/players/40c836e8/Facundo-Aguero,40c836e8,Argentina Liga Profesional
