Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Lucas Acosta,ARG,GK,Lanús,27,1995,18.0,0.94,0.06,0.11,0.00,0.00,0.95,0.25,0.01,0.00,4.33,14.1,30.7,23.0,2.83,41.3,37.3,8.33,55.3,44.1,19.3,1.00,5.2,0.44,0.44,11.4,https://fbref.com/en/players/50f7c408/Lucas-Acosta,50f7c408,Argentina Liga Profesional
2,Facundo Altamirano,ARG,GK,San Lorenzo,26,1996,5.0,0.80,0.20,0.00,0.20,0.00,1.08,0.16,0.28,+0.29,5.80,19.8,29.3,19.2,2.20,69.8,48.8,7.40,86.5,57.9,16.0,1.60,10.0,0.60,0.60,10.5,https://fbref.com/en/players/84d5fd29/Facundo-Altamirano,84d5fd29,Argentina Liga Profesional
3,Mariano Andújar,ARG,GK,Estudiantes,39,1983,25.0,0.76,0.12,0.00,0.04,0.04,0.70,0.22,-0.02,-0.02,4.16,11.4,36.4,19.2,4.92,37.4,34.6,8.12,52.2,43.7,14.0,0.88,6.3,0.44,0.44,12.7,https://fbref.com/en/players/609cd867/Mariano-Andujar,609cd867,Argentina Liga Profesional
4,Ignacio Arce,ARG,GK,Platense,30,1992,5.0,2.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/707fcc63/Ignacio-Arce,707fcc63,Argentina Liga Profesional
5,Gabriel Arias,CHI,GK,Racing Club,35,1987,23.7,1.27,0.08,0.04,0.17,0.00,1.19,0.30,-0.08,-0.08,4.09,10.6,38.6,22.4,5.27,30.5,33.5,8.69,43.2,39.5,13.5,0.89,6.5,1.10,1.10,14.3,https://fbref.com/en/players/9f9cbfca/Gabriel-Arias,9f9cbfca,Argentina Liga Profesional
6,Franco Armani,ARG,GK,River Plate,36,1986,26.0,0.65,0.08,0.04,0.04,0.00,0.83,0.27,0.17,+0.17,3.15,6.65,47.4,18.1,5.27,22.8,29.4,6.73,37.7,35.7,12.1,0.69,5.7,0.62,0.62,14.6,https://fbref.com/en/players/b3e42951/Franco-Armani,b3e42951,Argentina Liga Profesional
7,Augusto Batalla,ARG,GK,San Lorenzo,26,1996,22.0,0.41,0.05,0.00,0.09,0.00,0.69,0.21,0.28,+0.28,8.73,20.5,42.7,18.8,2.82,67.1,46.2,8.82,88.7,60.5,11.4,1.73,15.1,0.32,0.32,10.9,https://fbref.com/en/players/fc627681/Augusto-Batalla,fc627681,Argentina Liga Profesional
8,Enrique Bologna,ARG,GK,Defensa y Just,40,1982,6.0,1.17,0.17,0.00,0.00,0.00,1.22,0.25,0.05,+0.06,4.17,10.7,39.1,22.3,3.67,30.6,32.3,9.50,40.4,36.4,16.3,0.67,4.1,0.17,0.17,8.3,https://fbref.com/en/players/33330466/Enrique-Bologna,33330466,Argentina Liga Profesional
9,Jorge Broun,ARG,GK,Rosario Cent,36,1986,23.0,1.00,0.09,0.00,0.17,0.00,1.08,0.24,0.08,+0.08,6.35,13.6,46.8,18.2,3.78,48.1,40.5,9.48,50.9,41.4,17.8,0.74,4.1,0.30,0.30,10.8,https://fbref.com/en/players/6503ae16/Jorge-Broun,6503ae16,Argentina Liga Profesional
10,Leonardo Burián,URU,GK,Vélez Sarsfield,39,1984,18.5,0.86,0.11,0.00,0.11,0.11,0.76,0.24,0.00,0.00,4.97,11.6,42.8,17.4,2.76,39.9,36.6,9.03,52.1,42.5,13.8,0.49,3.5,0.43,0.43,12.2,https://fbref.com/en/players/c3cc43dc/Leonardo-Burian,c3cc43dc,Argentina Liga Profesional
11,Facundo Cambeses,ARG,GK,Banfield,25,1997,27.0,1.19,0.07,0.00,0.22,0.04,1.11,0.27,-0.04,-0.04,4.56,12.2,37.3,14.7,3.00,49.0,39.8,7.63,66.0,49.5,14.3,0.52,3.6,0.33,0.33,11.8,https://fbref.com/en/players/0a7c2b06/Facundo-Cambeses,0a7c2b06,Argentina Liga Profesional
12,Dante Campisi,ARG,GK,CA Huracán,26,1996,2.0,1.50,0.00,0.00,0.50,0.00,1.30,0.32,-0.20,-0.21,8.50,18.0,47.2,25.0,3.50,46.0,37.9,9.00,72.2,55.4,20.0,1.00,5.0,1.00,1.00,12.5,https://fbref.com/en/players/3dff7ccb/Dante-Campisi,3dff7ccb,Argentina Liga Profesional
13,Jorge Carranza,ARG,GK,Instituto Atlético Central Córdoba,41,1981,16.9,1.18,0.24,0.06,0.12,0.00,1.40,0.27,0.21,+0.22,5.80,15.1,38.4,20.8,2.78,53.6,40.4,7.04,56.3,42.2,13.8,1.01,7.3,0.59,0.59,12.2,https://fbref.com/en/players/bd5c46c3/Jorge-Carranza,bd5c46c3,Argentina Liga Profesional
14,Ezequiel Centurión,ARG,GK,River Plate,25,1997,1.0,3.00,0.00,0.00,0.00,0.00,2.30,0.47,-0.70,-0.67,6.00,8.00,75.0,25.0,7.00,24.0,26.8,11.0,18.2,25.7,15.0,2.00,13.3,1.00,1.00,12.7,https://fbref.com/en/players/d2313e46/Ezequiel-Centurion,d2313e46,Argentina Liga Profesional
15,Lucas Chávez,ARG,GK,CA Huracán,27,1995,25.0,1.04,0.08,0.00,0.12,0.04,0.96,0.25,-0.04,-0.05,6.36,15.9,39.9,28.8,3.72,42.5,37.3,5.84,63.0,48.7,11.9,1.04,8.7,2.12,2.12,19.6,https://fbref.com/en/players/47e44704/Lucas-Chavez,47e44704,Argentina Liga Profesional
16,Ignacio Chicco,ARG,GK,Colón,26,1996,27.0,1.22,0.22,0.11,0.15,0.04,1.30,0.24,0.11,+0.12,4.41,12.4,35.6,19.2,5.11,35.1,34.6,10.4,54.1,43.1,15.8,0.89,5.6,0.81,0.81,12.8,https://fbref.com/en/players/3723f64a/Ignacio-Chicco,3723f64a,Argentina Liga Profesional
17,Andrés Desábato,ARG,GK,Barracas Central,32,1990,24.0,1.00,0.08,0.00,0.17,0.04,1.16,0.27,0.20,+0.20,5.54,16.4,33.8,23.8,3.88,46.2,39.6,8.08,66.5,49.5,15.2,1.13,7.4,1.50,1.50,15.3,https://fbref.com/en/players/bf3b5c92/Andres-Desabato,bf3b5c92,Argentina Liga Profesional
18,José Devecchi,ARG,GK,Sarmiento,27,1995,6.0,1.33,0.00,0.00,0.33,0.00,1.42,0.29,0.08,+0.08,7.50,17.2,43.7,16.3,3.50,61.2,44.1,8.67,82.7,56.1,17.3,1.17,6.7,0.83,0.83,12.6,https://fbref.com/en/players/5d448a04/Jose-Devecchi,5d448a04,Argentina Liga Profesional
19,Tomás Durso,ARG,GK,Gimnasia ELP,23,1999,26.0,1.35,0.08,0.00,0.27,0.04,1.16,0.29,-0.15,-0.15,5.31,14.8,35.8,15.7,3.15,61.0,44.9,7.81,67.0,50.7,17.0,0.69,4.1,0.62,0.62,12.2,https://fbref.com/en/players/a7245aa0/Tomas-Durso,a7245aa0,Argentina Liga Profesional
20,Gastón Gómez,ARG,GK,Vélez Sarsfield,26,1996,8.5,1.29,0.12,0.00,0.24,0.00,1.33,0.28,0.04,+0.03,4.47,10.4,43.2,16.5,4.00,44.3,37.6,6.59,46.4,39.5,12.7,0.24,1.9,0.35,0.35,12.8,https://fbref.com/en/players/33c24be0/Gaston-Gomez,33c24be0,Argentina Liga Profesional
21,Javier Hernán García,ARG,GK,Boca Juniors,36,1987,4.0,1.00,0.00,0.00,0.00,0.00,0.65,0.26,-0.35,-0.34,3.00,10.5,28.6,22.0,3.75,36.4,33.5,5.75,43.5,36.0,8.25,1.00,12.1,0.75,0.75,16.1,https://fbref.com/en/players/55c66abd/Javier-Hernan-Garcia,55c66abd,Argentina Liga Profesional
