Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Adriel,BRA,GK,Grêmio,,22,2001,2.0,0.5,0.0,0.0,0.0,0.0,0.9,0.23,0.4,0.4,6.5,24.0,27.1,17.0,2.5,61.8,44.2,14.5,93.1,63.5,25.0,1.0,4.0,1.0,1.0,18.0,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
2,Washington Aguerre,URU,GK,América (MG),,29,1993,2.0,2.0,0.0,0.0,0.5,0.0,1.55,0.44,-0.45,-0.47,2.0,7.0,28.6,12.5,5.0,40.0,37.0,8.0,25.0,27.1,23.5,2.0,8.5,0.0,0.0,6.8,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
3,Anderson,BRA,GK,Cruzeiro,,24,1998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,3.0,6.0,50.0,15.0,3.0,33.3,32.5,3.0,33.3,32.3,3.0,0.0,0.0,0.0,0.0,10.0,https://fbref.com/en/players/29d862d4/Anderson,29d862d4,Brazilian Serie A
4,Bento,BRA,GK,Ath Paranaense,,23,1999,33.0,1.12,0.12,0.03,0.15,0.0,1.13,0.22,0.01,0.01,3.42,11.7,29.2,17.8,3.88,42.1,37.9,8.79,47.9,40.6,14.8,1.06,7.1,0.64,0.64,11.9,https://fbref.com/en/players/5d699228/Bento,5d699228,Brazilian Serie A
5,Brenno,BRA,GK,Grêmio,,23,1999,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.43,-0.1,-0.15,2.0,4.0,50.0,16.0,6.0,12.5,21.8,3.0,66.7,38.0,7.0,0.0,0.0,0.0,0.0,13.5,https://fbref.com/en/players/f002e8eb/Brenno,f002e8eb,Brazilian Serie A
6,Rafael Cabral,BRA,GK,Cruzeiro,,32,1990,37.0,0.86,0.05,0.05,0.08,0.0,1.15,0.29,0.28,0.28,4.68,11.2,41.7,24.9,4.19,32.7,32.8,8.05,38.3,35.2,13.2,0.51,3.9,0.54,0.54,13.4,https://fbref.com/en/players/806f7a26/Rafael-Cabral,806f7a26,Brazilian Serie A
7,Caíque,BRA,GK,Grêmio,,25,1997,4.0,0.75,0.25,0.0,0.0,0.0,1.52,0.3,0.78,0.78,4.25,12.8,33.3,15.5,5.5,56.5,43.4,8.25,48.5,37.8,21.3,2.0,9.4,0.25,0.25,8.2,https://fbref.com/en/players/49892b6e/Caique,49892b6e,Brazilian Serie A
8,João Carlos,BRA,GK,Cuiabá,,34,1988,3.0,1.33,0.0,0.0,0.0,0.0,1.5,0.37,0.17,0.15,5.0,10.0,50.0,13.7,3.33,46.3,39.5,8.33,44.0,37.4,11.3,0.67,5.9,0.0,0.0,9.7,https://fbref.com/en/players/ad9e7995/Joao-Carlos,ad9e7995,Brazilian Serie A
9,Cássio,BRA,GK,Corinthians,,35,1987,36.8,1.3,0.16,0.0,0.22,0.03,1.5,0.27,0.22,0.22,4.54,9.62,47.2,20.0,3.97,33.9,33.8,10.0,28.5,29.8,17.3,0.73,4.2,0.35,0.35,10.8,https://fbref.com/en/players/d42f6326/Cassio,d42f6326,Brazilian Serie A
10,Matheus Cavichioli,BRA,GK,América (MG),,36,1986,15.0,2.07,0.13,0.0,0.07,0.13,1.83,0.32,-0.11,-0.11,6.53,13.7,47.8,17.4,3.87,54.8,40.3,7.67,53.9,40.4,18.3,1.6,8.7,1.2,1.2,13.3,https://fbref.com/en/players/8470f026/Matheus-Cavichioli,8470f026,Brazilian Serie A
11,Gabriel Chapecó,BRA,GK,Grêmio,,22,2000,31.0,1.65,0.13,0.0,0.26,0.03,1.63,0.31,0.02,0.02,4.65,13.3,34.9,16.6,3.9,45.7,38.4,10.2,56.5,41.7,16.3,0.94,5.7,0.68,0.68,11.4,https://fbref.com/en/players/a24714b4/Gabriel-Chapeco,a24714b4,Brazilian Serie A
12,Mateus Claus,BRA,GK,Bahia,,28,1994,0.6,3.33,0.0,0.0,0.0,0.0,1.67,0.34,-1.67,-1.69,1.67,1.67,100.0,11.7,1.67,14.3,23.7,8.33,0.0,19.4,6.67,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/03103191/Mateus-Claus,03103191,Brazilian Serie A
13,Matheus Cunha,BRA,GK,Flamengo,,21,2001,17.6,1.25,0.17,0.0,0.11,0.0,1.62,0.27,0.37,0.37,3.69,10.3,35.9,35.5,4.66,25.2,28.4,5.8,23.5,27.0,15.6,0.51,3.3,1.31,1.31,16.7,https://fbref.com/en/players/9475960a/Matheus-Cunha,9475960a,Brazilian Serie A
14,Vitor Eudes,BRA,GK,Fluminense,,24,1998,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.14,-0.3,-0.29,0.0,2.0,0.0,21.0,6.0,9.5,21.7,3.0,0.0,6.3,9.0,0.0,0.0,0.0,0.0,15.0,https://fbref.com/en/players/b7a95ab2/Vitor-Eudes,b7a95ab2,Brazilian Serie A
