,id,eventId,minute,teamId,playerId,x,y,expandedMinute,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType,isGoal,eventType,match_period
0,2610105427.0,11419,0,1235,16886.0,73.6,55.9,0,Unsuccessful,[],[61],False,,,,,,,,,,,,,OffsideGiven,FirstHalf
1,2610076557.0,2,0,1235,,0.0,0.0,0,Successful,[],[],False,0.0,,,,,,,,,,,,Start,FirstHalf
2,2610076553.0,2,0,1232,,0.0,0.0,0,Successful,[],[],False,0.0,,,,,,,,,,,,Start,FirstHalf
3,2610076579.0,3,0,1232,409247.0,50.0,50.0,0,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.40'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 216, 218]",True,0.0,34.3,43.6,,,,,,,,,,Pass,FirstHalf
4,2610076585.0,4,0,1232,397585.0,32.7,39.9,0,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.70'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '28.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,2.0,21.3,28.8,,,,,,,,,,Pass,FirstHalf
5,2610076591.0,5,0,1232,131382.0,21.3,28.6,0,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.66'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '9.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '37.9'}]","[91, 117, 30, 35, 37, 215, 218]",True,4.0,9.8,37.9,,,,,,,,,,Pass,FirstHalf
6,2610076605.0,6,0,1232,27490.0,9.8,37.9,0,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '8.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '52.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.88'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.4'}, {'type': {'value': 155, 'displayName': 'Chipped'}}]","[91, 120, 124, 128, 36, 38, 216, 218]",True,9.0,55.4,8.0,,,,,,,,,,Pass,FirstHalf
7,2610076633.0,3,0,1235,241822.0,41.8,86.0,0,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.9'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.97'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.1'}]","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,12.0,60.1,76.9,,,,,,,,,,Pass,FirstHalf
8,2610076651.0,4,0,1235,407747.0,60.1,76.9,0,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.8'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.25'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.5'}]","[91, 119, 117, 30, 139, 205, 36, 38, 217, 218]",True,14.0,68.8,54.5,,,,,,,,,,Pass,FirstHalf
9,2610094427.0,419,0,1235,332151.0,67.1,58.1,0,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '55.9'}, {'type': {'value': 7, 'displayName': 'PlayerCaughtOffside'}, 'value': '16886'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.6'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 217]",True,15.0,73.6,55.9,,,,,,,,,,OffsidePass,FirstHalf
