Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
346,Tomás Ribeiro,POR,DF,Vitória,24-253,1999,11.3,0.35,0.00,0.00,1.06,0.62,0.18,0.80,0.62,0.62,0.00,0.00,0.00,4.07,2.39,1.50,61.4,https://fbref.com/en/players/6603fa16/Tomas-Ribeiro,6603fa16,Primeira Liga
347,Riccieli,BRA,DF,Famalicão,25-113,1998,9.0,0.44,0.22,0.11,1.44,0.67,0.11,0.00,0.44,1.33,0.00,0.11,0.00,3.67,3.44,2.00,63.3,https://fbref.com/en/players/9c026a2f/Riccieli,9c026a2f,Primeira Liga
348,Rildo,BRA,"FW,MF",Portimonense,23-352,2000,5.7,0.53,0.00,0.00,2.98,1.58,1.05,0.53,0.18,0.53,0.00,0.00,0.00,2.81,0.88,4.56,16.1,https://fbref.com/en/players/e341e4cc/Rildo,e341e4cc,Primeira Liga
349,Mihailo Ristić,SRB,DF,Benfica,28-069,1995,0.0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0.0,https://fbref.com/en/players/ea0aa7e0/Mihailo-Ristic,ea0aa7e0,Primeira Liga
350,Pablo Roberto,BRA,MF,Casa Pia,24-055,1999,9.1,0.55,0.11,0.00,2.97,1.87,0.00,0.55,1.10,0.88,0.00,0.00,0.00,5.71,0.33,0.77,30.0,https://fbref.com/en/players/880d2226/Pablo-Roberto,880d2226,Primeira Liga
351,Matí­as Rocha,URU,DF,Arouca,22-329,2001,0.6,0.00,1.67,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,3.33,5.00,3.33,60.0,https://fbref.com/en/players/62c5ba1b/Matias-Rocha,62c5ba1b,Primeira Liga
352,Afonso Rodrigues,POR,"FW,MF",Famalicão,21-142,2002,2.6,0.38,0.00,0.00,1.54,2.31,0.38,1.54,0.77,0.00,0.00,0.00,0.00,4.62,2.69,1.15,70.0,https://fbref.com/en/players/f6d99a01/Afonso-Rodrigues,f6d99a01,Primeira Liga
353,Bruno Rodrigues,POR,DF,Chaves,22-214,2001,12.2,0.33,0.00,0.00,1.39,0.25,0.00,0.00,1.15,0.57,0.00,0.00,0.00,4.02,1.56,1.15,57.6,https://fbref.com/en/players/2ab7149e/Bruno-Rodrigues,2ab7149e,Primeira Liga
354,Gonçalo Rodrigues,POR,MF,Rio Ave,26-174,1997,11.8,0.17,0.00,0.00,1.36,1.95,0.00,4.92,0.25,0.93,0.00,0.00,0.00,4.58,0.34,0.25,57.1,https://fbref.com/en/players/071b6ba9/Goncalo-Rodrigues,071b6ba9,Primeira Liga
355,Ronald,BRA,"MF,FW",Estrela,22-208,2001,14.0,0.21,0.00,0.00,1.64,3.50,0.57,1.57,0.21,0.50,0.00,0.00,0.00,4.79,0.64,1.36,32.1,https://fbref.com/en/players/3ec33276/Ronald,3ec33276,Primeira Liga
356,Igor Rossi Branco,BRA,DF,Farense,34-304,1989,1.4,0.71,0.00,0.00,2.14,1.43,0.00,0.00,1.43,0.71,0.00,0.00,0.00,1.43,7.86,3.57,68.8,https://fbref.com/en/players/ec84c4ab/Igor-Rossi-Branco,ec84c4ab,Primeira Liga
357,Abel Ruiz,ESP,"FW,MF",Braga,23-345,2000,7.5,0.40,0.00,0.00,1.20,0.67,0.13,0.67,0.00,0.13,0.00,0.13,0.00,1.87,0.67,2.40,21.7,https://fbref.com/en/players/6cbf8d0d/Abel-Ruiz,6cbf8d0d,Primeira Liga
358,Leonardo Ruíz,COL,FW,Rio Ave,27-265,1996,7.2,0.14,0.00,0.00,1.94,1.25,0.42,0.97,0.42,0.83,0.00,0.00,0.00,2.92,1.81,3.06,37.1,https://fbref.com/en/players/5ed6bf7a/Leonardo-Ruiz,5ed6bf7a,Primeira Liga
359,Gustavo sá,POR,MF,Famalicão,19-058,2004,7.6,0.26,0.00,0.00,1.97,3.68,0.00,2.50,0.13,1.05,0.00,0.00,0.00,4.21,1.58,0.39,80.0,https://fbref.com/en/players/29d68ea8/Gustavo-sa,29d68ea8,Primeira Liga
360,Josué Sá,POR,DF,Rio Ave,31-205,1992,12.7,0.24,0.00,0.00,1.10,0.16,0.00,0.55,1.10,0.63,0.00,0.00,0.08,5.04,1.02,0.79,56.5,https://fbref.com/en/players/a72c139d/Josue-Sa,a72c139d,Primeira Liga
361,Pedro Sá,POR,MF,Estrela,30-038,1993,3.3,0.00,0.00,0.00,0.91,3.03,0.00,3.03,0.91,0.61,0.00,0.00,0.00,7.58,1.52,0.91,62.5,https://fbref.com/en/players/7dfb980a/Pedro-Sa,7dfb980a,Primeira Liga
362,Serdar Saatçı,TUR,DF,Braga,20-328,2003,9.6,0.42,0.00,0.00,1.15,0.63,0.00,0.00,2.60,1.46,0.00,0.00,0.00,5.31,2.40,2.40,50.0,https://fbref.com/en/players/760fd987/Serdar-Saatci,760fd987,Primeira Liga
363,Safira,BRA,FW,Vitória,28-297,1995,1.6,0.00,0.00,0.00,3.13,3.13,0.63,1.25,0.00,1.25,0.63,0.00,0.00,3.13,5.63,2.50,69.2,https://fbref.com/en/players/bac8e258/Safira,bac8e258,Primeira Liga
364,Dylan Saint-Louis,CGO,"FW,MF",Vizela,28-257,1995,2.1,0.48,0.00,0.00,1.90,0.48,1.90,7.14,0.00,0.48,0.00,0.00,0.00,4.29,0.48,3.33,12.5,https://fbref.com/en/players/94622837/Dylan-Saint-Louis,94622837,Primeira Liga
365,Samu,POR,"MF,FW",Vizela,27-262,1996,15.6,0.19,0.00,0.00,1.92,1.28,0.00,5.06,0.83,1.09,0.00,0.00,0.00,6.09,0.77,1.15,40.0,https://fbref.com/en/players/29b161e8/Samu,29b161e8,Primeira Liga
366,Leandro Sanca,GNB,"FW,MF",Chaves,24-004,2000,10.1,0.20,0.00,0.00,1.49,1.68,0.20,3.86,0.69,0.30,0.00,0.00,0.00,4.06,0.30,0.50,37.5,https://fbref.com/en/players/4295f19c/Leandro-Sanca,4295f19c,Primeira Liga
367,Aderlan Santos,BRA,DF,Rio Ave,34-274,1989,16.0,0.25,0.00,0.00,0.88,0.88,0.06,0.00,1.50,1.13,0.00,0.06,0.00,5.63,3.63,2.25,61.7,https://fbref.com/en/players/847e4cd8/Aderlan-Santos,847e4cd8,Primeira Liga
368,Hevertton Santos,BRA,"DF,MF",Estrela,22-341,2001,10.5,0.10,0.00,0.00,0.67,0.67,0.00,5.43,1.24,0.57,0.00,0.00,0.00,4.76,1.33,1.43,48.3,https://fbref.com/en/players/37b15b11/Hevertton-Santos,37b15b11,Primeira Liga
369,Luís Santos,POR,"DF,FW",Boavista,23-353,2000,2.5,0.40,0.00,0.00,1.60,0.40,0.40,4.80,3.20,1.20,0.00,0.00,0.00,7.20,0.80,0.80,50.0,https://fbref.com/en/players/bc680074/Luis-Santos,bc680074,Primeira Liga
370,Nuno Santos,POR,"MF,DF",Sporting CP,28-329,1995,9.7,0.31,0.00,0.00,0.62,1.24,0.21,7.32,1.34,0.72,0.00,0.00,0.00,5.36,0.62,0.52,54.5,https://fbref.com/en/players/a6ee4f55/Nuno-Santos,a6ee4f55,Primeira Liga
371,Nuno Santos,POR,"FW,MF",Vitória,24-312,1999,2.7,0.00,0.37,0.00,1.48,0.74,0.00,2.22,0.00,0.00,0.00,0.00,0.00,5.19,0.74,0.00,100.0,https://fbref.com/en/players/6fc57554/Nuno-Santos,6fc57554,Primeira Liga
372,Pedro Santos,POR,MF,Arouca,23-088,2000,2.7,1.48,0.00,0.00,2.59,2.96,0.00,5.19,1.85,1.11,0.00,0.00,0.00,7.41,0.37,0.00,100.0,https://fbref.com/en/players/b30b0a0b/Pedro-Santos,b30b0a0b,Primeira Liga
373,Wagner Santos,BRA,GK,Estrela,25-255,1998,4.7,0.00,0.21,0.00,0.21,0.43,0.00,0.00,0.00,0.00,0.00,0.21,0.00,1.70,0.21,0.00,100.0,https://fbref.com/en/players/35672141/Wagner-Santos,35672141,Primeira Liga
374,Zaidu Sanusi,NGA,DF,Porto,26-209,1997,2.8,0.00,0.00,0.00,2.50,0.36,0.00,5.00,1.43,0.71,0.00,0.00,0.00,6.43,2.86,1.07,72.7,https://fbref.com/en/players/24051310/Zaidu-Sanusi,24051310,Primeira Liga
375,Vincent Sasso,FRA,DF,Boavista,32-326,1991,1.0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,3.00,0.00,100.0,https://fbref.com/en/players/9501e75c/Vincent-Sasso,9501e75c,Primeira Liga
376,Savio,BRA,"DF,MF",Rio Ave,28-227,1995,2.8,0.36,0.00,0.00,0.36,0.71,0.00,6.07,0.71,0.71,0.00,0.00,0.00,7.50,1.07,0.71,60.0,https://fbref.com/en/players/3e8c6e2c/Savio,3e8c6e2c,Primeira Liga
377,Moustapha Seck,SEN,"DF,MF",Portimonense,27-319,1996,3.3,0.61,0.00,0.00,1.52,0.61,0.30,4.24,0.61,0.30,0.00,0.00,0.00,4.55,3.64,1.82,66.7,https://fbref.com/en/players/9ec1ad87/Moustapha-Seck,9ec1ad87,Primeira Liga
378,Telasco Segovia,VEN,MF,Casa Pia,20-281,2003,0.3,0.00,0.00,0.00,10.0,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,10.0,3.33,6.67,33.3,https://fbref.com/en/players/9142b22f/Telasco-Segovia,9142b22f,Primeira Liga
379,Artur Serobyan,ARM,MF,Casa Pia,20-190,2003,0.7,1.43,0.00,0.00,2.86,0.00,0.00,0.00,1.43,1.43,0.00,0.00,0.00,1.43,1.43,4.29,25.0,https://fbref.com/en/players/6cdcd4ee/Artur-Serobyan,6cdcd4ee,Primeira Liga
380,André Seruca,POR,MF,Farense,23-071,2000,0.4,0.00,0.00,0.00,15.0,2.50,0.00,2.50,0.00,5.00,0.00,0.00,0.00,7.50,7.50,10.0,42.9,https://fbref.com/en/players/c1d28ab4/Andre-Seruca,c1d28ab4,Primeira Liga
