Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Antonio Adán,ESP,GK,Sporting CP,36-240,1987,16.0,1.06,0.13,0.19,0.13,0.00,0.87,0.26,-0.19,-0.20,3.38,8.56,39.4,23.8,3.75,27.6,30.3,4.75,42.1,39.2,9.75,0.75,7.7,0.38,0.38,11.8,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
2,Andrew,BRA,GK,Gil Vicente FC,22-191,2001,14.0,1.71,0.21,0.00,0.29,0.07,1.59,0.29,-0.06,-0.05,3.93,11.3,34.8,26.9,5.57,26.9,30.0,9.50,42.9,38.3,15.6,0.71,4.6,1.43,1.43,16.5,https://fbref.com/en/players/40406a00/Andrew,40406a00,Primeira Liga
3,Ricardo Batista,POR,GK,Casa Pia,37-050,1986,15.0,1.33,0.00,0.07,0.20,0.00,1.32,0.25,-0.01,-0.01,4.53,13.7,33.2,25.2,4.13,34.1,33.7,8.47,59.8,45.7,15.2,1.00,6.6,0.60,0.60,12.1,https://fbref.com/en/players/abef8824/Ricardo-Batista,abef8824,Primeira Liga
4,Bruno Brigido,BRA,GK,Estrela,32-305,1991,8.0,1.63,0.00,0.00,0.25,0.00,1.64,0.30,0.01,+0.01,5.13,12.9,39.8,22.9,3.75,28.4,33.5,9.50,67.1,52.2,13.9,1.50,10.8,2.13,2.13,16.4,https://fbref.com/en/players/5ccca624/Bruno-Brigido,5ccca624,Primeira Liga
5,Fabijan Buntić,CRO,GK,Vizela,26-318,1997,16.0,1.44,0.19,0.06,0.06,0.00,1.26,0.29,-0.18,-0.18,4.75,10.6,45.0,20.1,4.13,31.8,31.6,8.88,47.2,39.2,16.7,0.88,5.2,0.75,0.75,13.9,https://fbref.com/en/players/f566b29e/Fabijan-Buntic,f566b29e,Primeira Liga
6,Cambila,ANG,GK,Estrela,21-237,2002,0.2,15.0,0.00,0.00,5.00,0.00,16.5,0.48,1.50,+1.40,0.00,0.00,,25.0,0.00,0.0,16.0,5.00,0.0,23.0,5.00,5.00,100.0,5.00,5.29,7.3,https://fbref.com/en/players/e8dc329b/Cambila,e8dc329b,Primeira Liga
7,Marcelo Carné,BRA,GK,Estoril,33-336,1990,11.0,1.45,0.09,0.00,0.27,0.18,1.54,0.28,0.26,+0.26,3.45,12.8,27.0,24.8,5.18,32.2,34.4,11.2,43.1,40.5,18.1,1.09,6.0,0.82,0.82,11.0,https://fbref.com/en/players/a24d3330/Marcelo-Carne,a24d3330,Primeira Liga
8,António Filipe de Carvalho,POR,GK,Estrela,38-269,1985,3.0,1.00,0.00,0.00,0.00,0.00,1.37,0.41,0.37,+0.36,2.67,12.0,22.2,30.7,5.67,26.1,33.0,8.67,46.2,42.1,14.0,1.33,9.5,1.67,1.67,16.3,https://fbref.com/en/players/f4a6be9a/Antonio-Filipe-de-Carvalho,f4a6be9a,Primeira Liga
9,Diogo Costa,POR,GK,Porto,24-111,1999,16.0,0.75,0.13,0.06,0.00,0.00,0.78,0.24,0.03,+0.03,4.50,11.6,38.9,31.6,3.88,28.7,32.7,6.56,38.1,38.5,12.5,0.81,6.5,1.94,1.94,19.1,https://fbref.com/en/players/93fffbcf/Diogo-Costa,93fffbcf,Primeira Liga
10,Ignacio De Arruabarrena,URU,GK,Arouca,26-357,1997,16.0,1.44,0.25,0.06,0.25,0.00,1.52,0.30,0.09,+0.08,4.25,13.3,31.9,26.8,5.75,35.2,33.2,7.13,54.4,42.6,15.0,0.75,5.0,2.06,2.06,17.1,https://fbref.com/en/players/4b8cb65b/Ignacio-De-Arruabarrena,4b8cb65b,Primeira Liga
