Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
153,Lamine Diaby,FRA,MF,Portimonense,25,1996,15.7,0.06,1.08,0.25,23.5,1.08,0.26,0.06,0.25,18.1,0.00,0.00,0.00,0.08,0.08,0.07,-0.01,-0.01,https://fbref.com/en/players/8c410668/Lamine-Diaby,8c410668,Primeira Liga
154,Ousmane Diomande,CIV,DF,Sporting CP,18,2003,9.8,0.10,1.12,0.20,18.2,1.12,0.20,0.09,0.50,19.1,0.00,0.00,0.00,0.08,0.08,0.07,0.02,0.02,https://fbref.com/en/players/394be156/Ousmane-Diomande,394be156,Primeira Liga
155,Álvaro djaló,ESP,"FW,MF",Braga,22,1999,7.1,0.28,3.80,1.27,33.3,3.81,1.27,0.07,0.22,19.6,0.00,0.00,0.00,0.25,0.25,0.07,0.03,0.03,https://fbref.com/en/players/45c29ae7/Alvaro-djalo,45c29ae7,Primeira Liga
156,Matchoi Djaló,POR,"MF,FW",Paços,19,2003,14.5,0.07,2.55,0.76,29.7,2.56,0.76,0.03,0.09,24.8,0.48,0.00,0.00,0.10,0.10,0.04,-0.03,-0.03,https://fbref.com/en/players/a4cfe0ea/Matchoi-Djalo,a4cfe0ea,Primeira Liga
157,Mihai Dobre,ROU,"FW,DF",Famalicão,23,1998,10.4,0.19,2.40,0.87,36.0,2.40,0.86,0.08,0.22,14.6,0.00,0.00,0.00,0.29,0.29,0.12,-0.10,-0.10,https://fbref.com/en/players/a1f3f5a0/Mihai-Dobre,a1f3f5a0,Primeira Liga
158,Julian Draxler,GER,"MF,FW",Benfica,28,1993,4.5,0.22,2.44,0.67,27.3,2.43,0.66,0.09,0.33,17.1,0.00,0.00,0.00,0.33,0.33,0.14,-0.11,-0.11,https://fbref.com/en/players/1a992676/Julian-Draxler,1a992676,Primeira Liga
159,Rodrigo Duarte,POR,FW,Sporting CP,17,2005,0.3,0.00,10.0,3.33,33.3,9.00,3.00,0.00,0.00,18.4,0.00,0.00,0.00,0.67,0.67,0.05,-0.67,-0.67,https://fbref.com/en/players/484a3eae/Rodrigo-Duarte,484a3eae,Primeira Liga
160,Carlos Eduardo,BRA,"FW,MF",Estoril,25,1996,8.0,0.25,1.13,0.38,33.3,1.12,0.37,0.11,0.33,27.0,0.00,0.13,0.13,0.14,0.04,0.04,0.11,0.09,https://fbref.com/en/players/27c23008/Carlos-Eduardo,27c23008,Primeira Liga
161,Marcus Edwards,ENG,"FW,MF",Sporting CP,23,1998,25.0,0.28,2.08,0.68,32.7,2.08,0.68,0.13,0.41,15.9,0.04,0.00,0.00,0.26,0.26,0.13,0.02,0.02,https://fbref.com/en/players/57760e66/Marcus-Edwards,57760e66,Primeira Liga
162,Erison,BRA,FW,Estoril,23,1999,7.6,0.26,1.84,0.79,42.9,1.85,0.79,0.14,0.33,13.1,0.00,0.00,0.00,0.17,0.17,0.09,0.09,0.09,https://fbref.com/en/players/a9c450cb/Erison,a9c450cb,Primeira Liga
