Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Rodrigo Abascal,URU,DF,Boavista,29-359,1994,12.7,1.50,0.71,1.18,0.31,0.00,0.87,1.73,50.0,0.87,1.97,0.79,1.18,1.26,2.76,4.09,0.16,https://fbref.com/en/players/088ae0d1/Rodrigo-Abascal,088ae0d1,Primeira Liga
2,Issah Abbas,GHA,"MF,FW",Chaves,25-104,1998,3.1,0.32,0.00,0.00,0.00,0.32,0.32,1.29,25.0,0.97,0.65,0.00,0.65,0.00,0.32,0.00,0.00,https://fbref.com/en/players/2590ddf7/Issah-Abbas,2590ddf7,Primeira Liga
3,Antonio Adán,ESP,GK,Sporting CP,36-240,1987,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.13,0.00,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
4,Dennis Adeniran,ENG,MF,Portimonense,25-006,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,20.0,20.0,0.00,0.00,https://fbref.com/en/players/506eff98/Dennis-Adeniran,506eff98,Primeira Liga
5,Martin Agirregabiria,ESP,DF,Famalicão,27-243,1996,7.6,2.24,1.97,1.71,0.39,0.13,1.84,2.37,77.8,0.53,0.92,0.13,0.79,1.18,3.42,2.37,0.00,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,355c883a,Primeira Liga
6,Salvador Agra,POR,"DF,FW",Boavista,32-058,1991,12.7,1.10,0.55,0.55,0.39,0.16,0.31,0.94,33.3,0.63,0.31,0.00,0.31,0.79,1.89,0.55,0.00,https://fbref.com/en/players/a130741a/Salvador-Agra,a130741a,Primeira Liga
7,Matheus Aiás,BRA,"MF,FW",Moreirense,27-008,1996,0.7,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.0,2.86,1.43,0.00,1.43,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,Primeira Liga
8,Alan,BRA,MF,Moreirense,23-306,2000,13.3,1.58,1.28,0.23,0.90,0.45,0.23,1.28,17.6,1.05,1.05,0.08,0.98,0.15,1.73,0.23,0.00,https://fbref.com/en/players/b35de685/Alan,b35de685,Primeira Liga
9,Rafael Alcobia,POR,DF,Portimonense,20-200,2003,1.3,2.31,2.31,1.54,0.77,0.00,0.77,0.77,100.0,0.00,0.77,0.00,0.77,0.00,2.31,0.77,0.00,https://fbref.com/en/players/4d557d54/Rafael-Alcobia,4d557d54,Primeira Liga
10,Alemão,BRA,DF,Portimonense,21-063,2002,12.9,2.02,1.47,1.55,0.47,0.00,1.16,1.78,65.2,0.62,1.71,1.24,0.47,1.01,3.02,5.89,0.08,https://fbref.com/en/players/a23b8218/Alemao,a23b8218,Primeira Liga
11,Ali Alipour,IRN,FW,Gil Vicente FC,28-058,1995,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.59,0.00,0.59,0.00,0.00,0.00,0.00,https://fbref.com/en/players/488ee64c/Ali-Alipour,488ee64c,Primeira Liga
12,Almeida,BRA,DF,Estrela,23-358,2000,5.4,1.11,0.93,0.56,0.56,0.00,0.56,1.30,42.9,0.74,1.11,0.74,0.37,0.56,1.67,3.52,0.00,https://fbref.com/en/players/c8fb10df/Almeida,c8fb10df,Primeira Liga
13,Pedro Álvaro,POR,DF,Estoril,23-312,2000,13.0,0.77,0.54,0.77,0.00,0.00,0.46,0.77,60.0,0.31,1.08,0.85,0.23,1.15,1.92,5.23,0.00,https://fbref.com/en/players/00a2c297/Pedro-Alvaro,00a2c297,Primeira Liga
14,Pedro Amador,POR,DF,Moreirense,25-021,1998,10.0,2.30,1.50,1.30,0.80,0.20,1.40,2.60,53.8,1.20,1.20,0.20,1.00,1.40,3.70,2.60,0.00,https://fbref.com/en/players/00dad262/Pedro-Amador,00dad262,Primeira Liga
15,Artur Jorge Marques Amorim,POR,DF,Farense,29-147,1994,5.4,1.30,0.74,0.93,0.37,0.00,0.74,0.93,80.0,0.19,1.85,1.48,0.37,1.30,2.59,6.85,0.00,https://fbref.com/en/players/801f3d1d/Artur-Jorge-Marques-Amorim,801f3d1d,Primeira Liga
