Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,Rodrigo Abascal,URU,DF,Boavista,29-359,1994,13,13,1142,12.7,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.02,0.02,0.01,0.02,0.55,2.52,0.39,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/088ae0d1/Rodrigo-Abascal,088ae0d1,Primeira Liga
2,Issah Abbas,GHA,"MF,FW",Chaves,25-104,1998,6,3,282,3.1,0.00,0.65,0.65,0.00,0.00,0.00,0.32,0.00,0.26,0.26,0.23,0.48,2.26,1.94,6.45,0.00,0.64,0.64,0.00,0.64,0.24,0.22,0.46,0.24,0.46,https://fbref.com/en/players/2590ddf7/Issah-Abbas,2590ddf7,Primeira Liga
3,Antonio Adán,ESP,GK,Sporting CP,36-240,1987,16,16,1440,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
4,Dennis Adeniran,ENG,MF,Portimonense,25-006,1999,1,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/506eff98/Dennis-Adeniran,506eff98,Primeira Liga
5,Martin Agirregabiria,ESP,DF,Famalicão,27-243,1996,14,7,686,7.6,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.03,0.03,1.71,4.34,5.39,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,355c883a,Primeira Liga
6,Salvador Agra,POR,"DF,FW",Boavista,32-058,1991,15,15,1145,12.7,0.16,0.08,0.24,0.16,0.00,0.00,0.08,0.00,0.10,0.10,0.12,0.21,2.52,3.94,6.22,0.16,0.08,0.24,0.16,0.24,0.10,0.11,0.21,0.10,0.21,https://fbref.com/en/players/a130741a/Salvador-Agra,a130741a,Primeira Liga
7,Matheus Aiás,BRA,"MF,FW",Moreirense,27-008,1996,9,0,63,0.7,1.43,0.00,1.43,1.43,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.43,4.29,4.29,5.71,1.43,0.00,1.43,1.43,1.43,0.40,0.03,0.43,0.40,0.43,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,Primeira Liga
8,Alan,BRA,MF,Moreirense,23-306,2000,15,15,1198,13.3,0.15,0.30,0.45,0.15,0.00,0.00,0.23,0.00,0.16,0.16,0.18,0.33,2.63,6.02,3.91,0.15,0.30,0.45,0.15,0.45,0.15,0.18,0.33,0.15,0.33,https://fbref.com/en/players/b35de685/Alan,b35de685,Primeira Liga
9,Rafael Alcobia,POR,DF,Portimonense,20-200,2003,2,1,113,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,1.54,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,https://fbref.com/en/players/4d557d54/Rafael-Alcobia,4d557d54,Primeira Liga
10,Alemão,BRA,DF,Portimonense,21-063,2002,13,13,1164,12.9,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.01,0.01,0.02,0.03,0.39,1.40,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,https://fbref.com/en/players/a23b8218/Alemao,a23b8218,Primeira Liga
11,Ali Alipour,IRN,FW,Gil Vicente FC,28-058,1995,3,2,155,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,1.76,2.94,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/488ee64c/Ali-Alipour,488ee64c,Primeira Liga
12,Almeida,BRA,DF,Estrela,23-358,2000,7,5,486,5.4,0.00,0.19,0.19,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.02,0.02,0.37,1.85,0.19,0.00,0.19,0.19,0.00,0.19,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/c8fb10df/Almeida,c8fb10df,Primeira Liga
13,Pedro Álvaro,POR,DF,Estoril,23-312,2000,13,13,1170,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.03,0.03,0.05,0.08,0.00,1.54,0.23,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,https://fbref.com/en/players/00a2c297/Pedro-Alvaro,00a2c297,Primeira Liga
14,Pedro Amador,POR,DF,Moreirense,25-021,1998,15,11,897,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.04,2.50,2.30,3.30,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,https://fbref.com/en/players/00dad262/Pedro-Amador,00dad262,Primeira Liga
15,Artur Jorge Marques Amorim,POR,DF,Farense,29-147,1994,7,5,484,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.04,0.04,0.02,0.06,0.37,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,https://fbref.com/en/players/801f3d1d/Artur-Jorge-Marques-Amorim,801f3d1d,Primeira Liga
16,André André,POR,MF,Vitória,34-135,1989,7,0,92,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,https://fbref.com/en/players/9f31b1d3/Andre-Andre,9f31b1d3,Primeira Liga
17,Andrew,BRA,GK,Gil Vicente FC,22-191,2001,14,14,1260,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/40406a00/Andrew,40406a00,Primeira Liga
18,Jeremy Antonisse,CUW,"FW,MF",Moreirense,21-285,2002,11,0,185,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.48,0.19,0.19,0.10,0.29,3.33,3.33,8.10,0.00,0.00,0.00,0.00,0.00,0.21,0.09,0.30,0.21,0.30,https://fbref.com/en/players/6011e63a/Jeremy-Antonisse,6011e63a,Primeira Liga
19,Pedro Aparício,POR,"MF,FW",Moreirense,28-139,1995,10,0,114,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.46,0.46,0.23,0.69,3.85,6.15,5.38,0.00,0.00,0.00,0.00,0.00,0.48,0.24,0.71,0.48,0.71,https://fbref.com/en/players/0bd8952e/Pedro-Aparicio,0bd8952e,Primeira Liga
20,Óscar Aranda,ESP,"FW,MF",Famalicão,21-254,2002,12,6,539,6.0,0.17,0.00,0.17,0.17,0.00,0.00,0.33,0.00,0.10,0.10,0.08,0.20,3.33,4.00,2.33,0.17,0.00,0.17,0.17,0.17,0.11,0.09,0.20,0.11,0.20,https://fbref.com/en/players/4d3bdda7/Oscar-Aranda,4d3bdda7,Primeira Liga
21,Henrique Araújo,POR,FW,Famalicão,21-354,2002,14,6,550,6.1,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.11,0.11,0.10,0.21,0.82,1.48,3.61,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.21,0.11,0.21,https://fbref.com/en/players/353eb529/Henrique-Araujo,353eb529,Primeira Liga
22,Tiago Araújo,POR,"DF,MF",Estoril,22-287,2001,16,16,1375,15.3,0.13,0.07,0.20,0.13,0.00,0.00,0.26,0.00,0.09,0.09,0.10,0.20,2.35,3.20,5.95,0.13,0.07,0.20,0.13,0.20,0.09,0.11,0.20,0.09,0.20,https://fbref.com/en/players/1b54edb3/Tiago-Araujo,1b54edb3,Primeira Liga
