Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Rodrigo Abascal,URU,DF,Boavista,29-359,1994,12.7,71.4,9.53,42.7,27.1,2.13,0.39,71.4,0.47,0.47,100.0,0.00,0.0,40.5,162.0,85.4,0.55,0.31,0.08,0.63,0.00,47.9,0.39,https://fbref.com/en/players/088ae0d1/Rodrigo-Abascal,088ae0d1,Primeira Liga
2,Issah Abbas,GHA,"MF,FW",Chaves,25-104,1998,3.1,28.7,0.00,3.55,12.9,12.9,3.55,28.7,2.58,1.61,62.5,0.65,25.0,17.7,125.2,71.0,2.26,0.97,0.97,2.26,1.94,20.3,6.45,https://fbref.com/en/players/2590ddf7/Issah-Abbas,2590ddf7,Primeira Liga
3,Antonio Adán,ESP,GK,Sporting CP,36-240,1987,16.0,29.6,25.2,29.1,0.63,0.00,0.00,29.6,0.06,0.06,100.0,0.00,0.0,17.6,95.1,60.6,0.00,0.00,0.00,0.00,0.00,14.5,0.00,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
4,Dennis Adeniran,ENG,MF,Portimonense,25-006,1999,0.1,40.0,0.00,10.0,20.0,10.0,0.00,40.0,0.00,0.00,,0.00,,20.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,https://fbref.com/en/players/506eff98/Dennis-Adeniran,506eff98,Primeira Liga
5,Martin Agirregabiria,ESP,DF,Famalicão,27-243,1996,7.6,62.1,3.95,22.6,23.9,16.1,0.39,62.1,1.18,0.53,44.4,0.53,44.4,25.9,113.3,72.1,1.71,1.71,0.00,0.66,0.26,33.4,5.39,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,355c883a,Primeira Liga
6,Salvador Agra,POR,"DF,FW",Boavista,32-058,1991,12.7,55.9,0.55,11.0,26.4,18.7,0.87,55.9,1.89,0.79,41.7,1.10,58.3,29.1,147.6,72.1,2.52,1.65,0.39,1.26,0.87,36.1,6.22,https://fbref.com/en/players/a130741a/Salvador-Agra,a130741a,Primeira Liga
7,Matheus Aiás,BRA,"MF,FW",Moreirense,27-008,1996,0.7,40.0,0.00,8.57,21.4,10.0,4.29,40.0,8.57,5.71,66.7,2.86,33.3,27.1,132.9,68.6,4.29,1.43,2.86,5.71,0.00,28.6,5.71,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,Primeira Liga
8,Alan,BRA,MF,Moreirense,23-306,2000,13.3,52.1,0.45,3.68,29.1,20.5,1.95,52.1,2.11,1.20,57.1,0.83,39.3,29.2,160.2,88.3,2.63,1.58,0.23,2.41,1.20,34.9,3.91,https://fbref.com/en/players/b35de685/Alan,b35de685,Primeira Liga
9,Rafael Alcobia,POR,DF,Portimonense,20-200,2003,1.3,63.8,3.85,36.9,26.9,0.00,0.00,63.8,0.00,0.00,,0.00,,36.2,200.0,138.5,1.54,0.00,0.00,0.77,0.77,49.2,0.00,https://fbref.com/en/players/4d557d54/Rafael-Alcobia,4d557d54,Primeira Liga
10,Alemão,BRA,DF,Portimonense,21-063,2002,12.9,50.6,11.2,32.6,17.4,0.78,0.39,50.6,0.16,0.08,50.0,0.08,50.0,26.5,173.1,94.3,0.39,0.16,0.00,0.23,0.16,29.7,0.08,https://fbref.com/en/players/a23b8218/Alemao,a23b8218,Primeira Liga
