Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Rodrigo Abascal,URU,DF,Boavista,29-359,1994,13,1142,88,79.3,12.7,1.02,88,0.94,0.00,,0.00,1.00,1.18,1.81,-0.63,-0.63,-0.63,0.95,1.62,-0.66,-0.67,-1.01,https://fbref.com/en/players/088ae0d1/Rodrigo-Abascal,088ae0d1,Primeira Liga
2,Issah Abbas,GHA,"MF,FW",Chaves,25-104,1998,6,282,47,19.6,3.1,0.97,72,0.32,0.97,22,0.65,0.50,1.29,3.23,-1.94,-1.91,-0.59,1.55,1.97,-0.42,-0.42,+0.25,https://fbref.com/en/players/2590ddf7/Issah-Abbas,2590ddf7,Primeira Liga
3,Antonio Adán,ESP,GK,Sporting CP,36-240,1987,16,1440,90,100.0,16.0,1.00,90,1.00,0.00,,0.00,2.50,2.31,1.06,1.25,+1.25,,2.01,0.84,1.17,+1.17,,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
4,Dennis Adeniran,ENG,MF,Portimonense,25-006,1999,1,6,6,0.4,0.1,0.00,,0.00,10.0,6,30.0,0.00,0.00,20.0,-20.00,-30.00,-28.93,0.00,4.00,-4.00,-6.35,-5.69,https://fbref.com/en/players/506eff98/Dennis-Adeniran,506eff98,Primeira Liga
5,Martin Agirregabiria,ESP,DF,Famalicão,27-243,1996,14,686,49,47.6,7.6,0.92,80,0.39,0.92,18,0.26,1.36,0.66,0.92,-0.26,-0.26,+0.10,0.71,1.21,-0.49,-0.49,-0.33,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,355c883a,Primeira Liga
6,Salvador Agra,POR,"DF,FW",Boavista,32-058,1991,15,1145,76,79.5,12.7,1.18,76,0.39,0.00,,0.00,1.07,1.34,2.05,-0.71,-0.71,-1.01,1.03,1.54,-0.51,-0.51,-0.26,https://fbref.com/en/players/a130741a/Salvador-Agra,a130741a,Primeira Liga
7,Matheus Aiás,BRA,"MF,FW",Moreirense,27-008,1996,9,63,7,4.7,0.7,0.00,,0.00,12.9,7,5.71,2.33,5.71,0.00,5.71,+5.71,+5.50,2.14,0.57,1.57,+1.56,+1.53,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,Primeira Liga
8,Alan,BRA,MF,Moreirense,23-306,2000,15,1198,80,88.7,13.3,1.13,80,0.00,0.00,,0.00,1.73,1.20,0.83,0.38,+0.38,-0.81,0.97,0.89,0.08,+0.08,-0.15,https://fbref.com/en/players/b35de685/Alan,b35de685,Primeira Liga
9,Rafael Alcobia,POR,DF,Portimonense,20-200,2003,2,113,57,7.8,1.3,0.77,90,0.77,0.77,23,7.69,0.50,0.77,3.85,-3.08,-3.19,-2.17,1.00,2.46,-1.46,-1.53,-0.92,https://fbref.com/en/players/4d557d54/Rafael-Alcobia,4d557d54,Primeira Liga
10,Alemão,BRA,DF,Portimonense,21-063,2002,13,1164,90,80.8,12.9,1.01,90,0.93,0.00,,0.00,1.15,1.09,1.55,-0.47,-0.46,+3.78,0.89,1.54,-0.65,-0.65,+0.18,https://fbref.com/en/players/a23b8218/Alemao,a23b8218,Primeira Liga
11,Ali Alipour,IRN,FW,Gil Vicente FC,28-058,1995,3,155,52,10.8,1.7,1.18,76,0.59,0.59,4,0.00,0.33,0.59,1.76,-1.18,-1.16,-1.02,1.47,1.00,0.53,+0.51,+1.00,https://fbref.com/en/players/488ee64c/Ali-Alipour,488ee64c,Primeira Liga
12,Almeida,BRA,DF,Estrela,23-358,2000,7,486,69,33.8,5.4,0.93,90,0.93,0.37,18,1.30,1.29,1.30,1.67,-0.37,-0.37,+0.01,1.00,1.67,-0.67,-0.67,-0.57,https://fbref.com/en/players/c8fb10df/Almeida,c8fb10df,Primeira Liga
13,Gonçalo Almeida,POR,DF,Boavista,20-247,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/198034b2/Goncalo-Almeida,198034b2,Primeira Liga
14,Pedro Álvaro,POR,DF,Estoril,23-312,2000,13,1170,90,81.3,13.0,1.00,90,1.00,0.00,,0.00,1.08,1.85,1.77,0.08,+0.08,+0.08,1.31,2.01,-0.70,-0.70,-1.12,https://fbref.com/en/players/00a2c297/Pedro-Alvaro,00a2c297,Primeira Liga
15,Pedro Amador,POR,DF,Moreirense,25-021,1998,15,897,60,66.4,10.0,1.10,80,0.40,0.40,4,0.00,1.73,1.10,0.60,0.50,+0.50,+0.10,0.97,0.91,0.07,+0.07,-0.11,https://fbref.com/en/players/00dad262/Pedro-Amador,00dad262,Primeira Liga
16,Artur Jorge Marques Amorim,POR,DF,Farense,29-147,1994,7,484,69,33.6,5.4,0.93,90,0.93,0.37,17,1.67,1.43,1.67,1.67,0.00,0.00,-0.09,1.28,1.78,-0.50,-0.50,-0.15,https://fbref.com/en/players/801f3d1d/Artur-Jorge-Marques-Amorim,801f3d1d,Primeira Liga
17,André André,POR,MF,Vitória,34-135,1989,7,92,13,6.4,1.0,0.00,,0.00,7.00,13,3.00,2.00,2.00,0.00,2.00,+1.96,+1.56,1.90,1.40,0.40,+0.42,+0.33,https://fbref.com/en/players/9f31b1d3/Andre-Andre,9f31b1d3,Primeira Liga
18,Andrew,BRA,GK,Gil Vicente FC,22-191,2001,14,1260,90,87.5,14.0,1.00,90,1.00,0.00,,0.00,1.00,1.57,1.71,-0.14,-0.14,+0.86,1.16,1.72,-0.56,-0.56,-1.35,https://fbref.com/en/players/40406a00/Andrew,40406a00,Primeira Liga
19,Jeremy Antonisse,CUW,"FW,MF",Moreirense,21-285,2002,11,185,17,13.7,2.1,0.00,,0.00,5.24,17,0.00,1.73,2.86,1.43,1.43,+1.46,+1.15,1.48,1.05,0.43,+0.45,+0.41,https://fbref.com/en/players/6011e63a/Jeremy-Antonisse,6011e63a,Primeira Liga
20,Pedro Aparício,POR,"MF,FW",Moreirense,28-139,1995,10,114,11,8.4,1.3,0.00,,0.00,7.69,11,3.85,1.50,0.77,1.54,-0.77,-0.79,-1.37,1.23,1.46,-0.23,-0.25,-0.39,https://fbref.com/en/players/0bd8952e/Pedro-Aparicio,0bd8952e,Primeira Liga
21,Óscar Aranda,ESP,"FW,MF",Famalicão,21-254,2002,12,539,45,37.4,6.0,1.00,63,0.00,1.00,27,0.00,1.42,1.00,0.83,0.17,+0.17,+0.77,0.88,1.07,-0.17,-0.17,+0.24,https://fbref.com/en/players/4d3bdda7/Oscar-Aranda,4d3bdda7,Primeira Liga
22,Brian Araújo,FRA,GK,Gil Vicente FC,23-254,2000,0,,,,,0,,0,0,,9,,,,,,,,,,,,https://fbref.com/en/players/100104d1/Brian-Araujo,100104d1,Primeira Liga
23,Henrique Araújo,POR,FW,Famalicão,21-354,2002,14,550,39,38.2,6.1,0.98,70,0.00,1.31,16,0.16,1.29,1.15,0.82,0.33,+0.33,+1.04,0.87,1.16,-0.30,-0.29,+0.04,https://fbref.com/en/players/353eb529/Henrique-Araujo,353eb529,Primeira Liga
24,Tiago Araújo,POR,"DF,MF",Estoril,22-287,2001,16,1375,86,95.5,15.3,1.05,86,0.59,0.00,,0.00,1.06,1.83,1.70,0.13,+0.13,+1.52,1.27,1.66,-0.39,-0.39,+2.30,https://fbref.com/en/players/1b54edb3/Tiago-Araujo,1b54edb3,Primeira Liga
25,Tomás Araújo,POR,DF,Benfica,21-237,2002,4,98,25,6.8,1.1,0.91,87,0.00,2.73,4,10.0,3.00,1.82,0.00,1.82,+1.84,+0.56,1.36,0.82,0.55,+0.59,-0.72,https://fbref.com/en/players/0fa11d7d/Tomas-Araujo,0fa11d7d,Primeira Liga
