Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,24-117,2000,13.0,42.3,33.2,9.08,0.77,0.15,0.23,0.92,8.31,0.00,0.00,0.00,0.00,32.5,0.08,1.62,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,Big 5 combined
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,de Bundesliga,23-191,2000,12.1,33.8,31.5,2.07,0.25,0.41,0.08,1.49,0.74,0.50,0.17,0.25,0.00,26.0,0.25,1.40,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,5bc43860,Big 5 combined
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20-248,2003,1.1,45.5,43.6,1.82,0.91,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,37.3,0.00,0.00,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Big 5 combined
4,Keyliane Abdallah,FRA,FW,Marseille,fr Ligue 1,18-025,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,https://fbref.com/en/players/7310786d/Keyliane-Abdallah,7310786d,Big 5 combined
5,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36-215,1987,27.9,62.0,56.0,5.66,2.40,0.07,0.47,0.11,1.04,0.00,0.00,0.00,0.00,52.5,0.29,0.72,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Big 5 combined
6,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,24-035,2000,16.7,52.9,51.7,1.08,1.02,0.00,0.06,0.18,0.06,0.00,0.00,0.00,0.00,47.2,0.12,1.02,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,82464ce3,Big 5 combined
7,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,31-089,1993,28.8,58.5,55.5,2.85,2.29,0.21,0.45,1.01,0.35,0.00,0.00,0.00,0.00,49.7,0.17,0.76,https://fbref.com/en/players/31626657/Laurent-Abergel,31626657,Big 5 combined
8,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,21-033,2003,9.1,20.8,19.6,1.10,0.00,0.11,0.11,0.55,0.11,0.00,0.00,0.00,0.00,15.1,0.11,0.88,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,0e46fa2f,Big 5 combined
9,Abner,BRA,DF,Betis,es La Liga,23-339,2000,14.0,51.6,40.6,10.8,0.50,0.00,0.21,1.79,10.3,0.00,0.00,0.00,0.00,39.7,0.21,1.57,https://fbref.com/en/players/7f9c5d2d/Abner,7f9c5d2d,Big 5 combined
10,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,24-072,2000,7.0,22.9,21.6,1.29,0.14,0.00,0.00,0.57,1.00,0.00,0.00,0.00,0.00,16.1,0.00,0.86,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,c2a6033c,Big 5 combined
