Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Julen Agirrezabala,ESP,GK,Athletic Club,es La Liga,23-126,2000,1,1,90,1.0,2.00,2.00,4.00,2.00,50.0,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,a2c1a8d3,Big 5 combined
2,Alisson,BRA,GK,Liverpool,eng Premier League,31-211,1992,25,25,2250,25.0,1.00,1.00,3.84,2.88,75.0,0.56,0.28,0.16,0.28,28.0,0.04,0.04,0.00,0.00,0.0,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,Big 5 combined
3,Alphonse Areola,FRA,GK,West Ham,eng Premier League,31-063,1993,28,28,2429,27.0,1.63,1.63,5.96,4.37,75.8,0.37,0.33,0.33,0.15,14.3,0.26,0.19,0.07,0.00,28.6,https://fbref.com/en/players/2f965a72/Alphonse-Areola,2f965a72,Big 5 combined
4,Kepa Arrizabalaga,ESP,GK,Real Madrid,es La Liga,29-210,1994,13,13,1170,13.0,0.69,0.69,2.85,2.23,75.7,0.77,0.15,0.08,0.54,53.8,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,28d596a0,Big 5 combined
5,Noah Atubolu,GER,GK,Freiburg,de Bundesliga,21-341,2002,31,31,2790,31.0,1.77,1.77,4.61,2.87,63.6,0.35,0.23,0.42,0.29,29.0,0.10,0.10,0.00,0.00,0.0,https://fbref.com/en/players/dbd1b101/Noah-Atubolu,dbd1b101,Big 5 combined
6,Emil Audero,ITA,GK,Inter,it Serie A,27-103,1997,2,2,180,2.0,0.00,0.00,2.50,2.50,100.0,1.00,0.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/649b01d8/Emil-Audero,649b01d8,Big 5 combined
7,Francisco Barbosa,ESP,GK,Betis,es La Liga,24-359,1999,3,2,225,2.5,1.60,1.60,5.60,4.00,71.4,0.40,0.40,0.00,0.40,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/2ae958ab/Francisco-Barbosa,2ae958ab,Big 5 combined
8,Augusto Batalla,ARG,GK,Granada,es La Liga,28-000,1996,15,15,1350,15.0,1.40,1.40,4.93,3.53,71.6,0.20,0.27,0.53,0.20,20.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/fc627681/Augusto-Batalla,fc627681,Big 5 combined
9,Daniel Batz,GER,GK,Mainz 05,de Bundesliga,33-109,1991,4,4,360,4.0,0.75,0.75,4.25,3.50,82.4,0.00,0.50,0.50,0.25,25.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/ec759ba1/Daniel-Batz,ec759ba1,Big 5 combined
10,Oliver Baumann,GER,GK,Hoffenheim,de Bundesliga,33-333,1990,31,31,2790,31.0,2.03,2.03,6.55,4.45,70.0,0.35,0.19,0.45,0.03,3.2,0.16,0.06,0.10,0.00,60.0,https://fbref.com/en/players/47064058/Oliver-Baumann,47064058,Big 5 combined
11,Alaa Bellaarouch,MAR,GK,Strasbourg,fr Ligue 1,22-120,2002,12,12,1080,12.0,1.67,1.67,4.08,2.42,63.3,0.25,0.17,0.58,0.17,16.7,0.25,0.17,0.08,0.00,33.3,https://fbref.com/en/players/0595569d/Alaa-Bellaarouch,0595569d,Big 5 combined
12,Daniel Bentley,ENG,GK,Wolves,eng Premier League,30-292,1993,4,2,293,3.3,1.21,1.23,3.64,2.42,66.7,0.30,0.00,0.30,0.30,50.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/68db6358/Daniel-Bentley,68db6358,Big 5 combined
13,Etrit Berisha,ALB,GK,Empoli,it Serie A,35-051,1989,14,14,1260,14.0,1.79,1.79,5.29,3.50,68.9,0.21,0.21,0.57,0.29,28.6,0.21,0.14,0.07,0.00,33.3,https://fbref.com/en/players/ee833569/Etrit-Berisha,ee833569,Big 5 combined
14,Dimitry Bertaud,COD,GK,Montpellier,fr Ligue 1,25-329,1998,1,1,90,1.0,6.00,6.00,9.00,3.00,33.3,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/380a15e2/Dimitry-Bertaud,380a15e2,Big 5 combined
15,Marco Bizot,NED,GK,Brest,fr Ligue 1,33-051,1991,29,29,2606,29.0,1.14,1.14,4.28,3.10,75.0,0.48,0.28,0.24,0.38,37.9,0.10,0.07,0.03,0.00,33.3,https://fbref.com/en/players/3d214e5f/Marco-Bizot,3d214e5f,Big 5 combined
16,Rubén Blanco,ESP,GK,Marseille,fr Ligue 1,28-280,1995,2,1,121,1.3,1.54,1.49,4.62,3.08,66.7,0.00,0.00,0.77,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/967f34d3/Ruben-Blanco,967f34d3,Big 5 combined
17,Janis Blaswich,GER,GK,RB Leipzig,de Bundesliga,32-364,1991,20,20,1800,20.0,1.40,1.40,3.50,2.10,64.3,0.50,0.15,0.35,0.25,25.0,0.15,0.15,0.00,0.00,0.0,https://fbref.com/en/players/663e080e/Janis-Blaswich,663e080e,Big 5 combined
18,Yassine Bounou,MAR,GK,Sevilla,es La Liga,33-025,1991,1,1,90,1.0,2.00,2.00,3.00,1.00,33.3,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/f6798fc3/Yassine-Bounou,f6798fc3,Big 5 combined
19,Claudio Bravo,CHI,GK,Betis,es La Liga,41-017,1983,7,7,630,7.0,0.71,0.71,2.86,2.29,75.0,0.43,0.57,0.00,0.29,28.6,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/10072610/Claudio-Bravo,10072610,Big 5 combined
20,Fabian Bredlow,GER,GK,Stuttgart,de Bundesliga,29-059,1995,4,4,360,4.0,0.75,0.75,5.50,4.75,86.4,0.75,0.25,0.00,0.25,25.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/d28339cb/Fabian-Bredlow,d28339cb,Big 5 combined
21,Alexander Brunst,GER,GK,Darmstadt 98,de Bundesliga,28-298,1995,1,1,90,1.0,1.00,1.00,3.00,2.00,66.7,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/99219195/Alexander-Brunst,99219195,Big 5 combined
