Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,24-004,2000,11.1,2.25,1.44,1.53,0.54,0.18,1.53,2.52,60.7,0.99,0.81,0.45,0.36,0.45,2.70,1.89,0.00,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,Big 5 combined
2,Brenden Aaronson,USA,MF,Union Berlin,de Bundesliga,23-078,2000,3.6,2.22,1.67,0.83,1.11,0.28,1.39,1.94,71.4,0.56,2.50,0.00,2.50,0.00,2.22,0.28,0.00,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,5bc43860,Big 5 combined
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20-135,2003,1.1,1.82,1.82,0.91,0.91,0.00,0.91,0.91,100.0,0.00,1.82,0.00,1.82,0.00,1.82,0.00,0.00,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Big 5 combined
4,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36-102,1987,16.0,2.13,1.31,1.06,0.94,0.13,0.81,1.56,52.0,0.75,1.63,1.06,0.56,1.19,3.31,3.13,0.00,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Big 5 combined
5,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,23-288,2000,13.9,1.22,0.86,0.43,0.58,0.22,0.36,0.86,41.7,0.50,0.65,0.00,0.65,0.65,1.87,0.79,0.00,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,82464ce3,Big 5 combined
6,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,30-341,1993,17.0,2.88,1.47,1.35,1.24,0.29,1.29,3.53,36.7,2.24,1.12,0.24,0.88,2.18,5.06,1.41,0.06,https://fbref.com/en/players/31626657/Laurent-Abergel,31626657,Big 5 combined
7,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,20-286,2003,4.7,0.21,0.21,0.00,0.21,0.00,0.21,0.43,50.0,0.21,0.21,0.00,0.21,0.00,0.21,0.64,0.00,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,0e46fa2f,Big 5 combined
8,Abner,BRA,DF,Betis,es La Liga,23-226,2000,9.8,1.53,1.43,1.12,0.41,0.00,1.22,2.24,54.5,1.02,2.04,0.41,1.63,0.92,2.45,3.78,0.00,https://fbref.com/en/players/7f9c5d2d/Abner,7f9c5d2d,Big 5 combined
9,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,23-324,2000,4.2,0.24,0.24,0.00,0.00,0.24,0.24,0.71,33.3,0.48,0.71,0.00,0.71,0.24,0.48,0.24,0.00,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,c2a6033c,Big 5 combined
10,Abdel Abqar,MAR,DF,Alavés,es La Liga,24-304,1999,13.9,1.15,0.58,0.94,0.07,0.14,0.72,1.29,55.6,0.58,1.01,0.72,0.29,0.86,2.01,4.96,0.00,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,2bc7f211,Big 5 combined
11,Francesco Acerbi,ITA,DF,Inter,it Serie A,35-332,1988,16.0,1.06,0.63,0.88,0.19,0.00,0.56,0.75,75.0,0.19,0.56,0.44,0.13,1.44,2.50,2.63,0.00,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,b96b595c,Big 5 combined
12,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32-072,1991,5.1,2.35,1.57,1.57,0.78,0.00,0.98,1.18,83.3,0.20,0.78,0.20,0.59,0.78,3.14,1.18,0.00,https://fbref.com/en/players/81442ecb/Marcos-Acuna,81442ecb,Big 5 combined
