Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,24-117,2000,18,12,1166,13.0,0.00,0.08,0.08,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.06,0.07,1.62,3.23,1.92,0.00,0.08,0.08,0.00,0.08,0.00,0.06,0.07,0.00,0.07,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,Big 5 combined
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,de Bundesliga,23-191,2000,27,12,1090,12.1,0.17,0.00,0.17,0.17,0.00,0.00,0.25,0.08,0.15,0.15,0.11,0.25,2.56,3.47,5.95,0.17,0.00,0.17,0.17,0.17,0.15,0.11,0.25,0.15,0.25,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,5bc43860,Big 5 combined
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20-248,2003,7,1,101,1.1,0.00,0.91,0.91,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.18,1.82,4.55,6.36,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Big 5 combined
4,Keyliane Abdallah,FRA,FW,Marseille,fr Ligue 1,18-025,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/7310786d/Keyliane-Abdallah,7310786d,Big 5 combined
5,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36-215,1987,28,28,2511,27.9,0.11,0.00,0.11,0.11,0.00,0.00,0.18,0.00,0.09,0.09,0.01,0.10,1.25,4.80,0.32,0.11,0.00,0.11,0.11,0.11,0.09,0.01,0.11,0.09,0.11,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Big 5 combined
6,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,24-035,2000,25,17,1507,16.7,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.05,0.05,0.03,0.08,0.48,4.61,1.20,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,82464ce3,Big 5 combined
7,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,31-089,1993,30,29,2590,28.8,0.03,0.03,0.07,0.03,0.00,0.00,0.10,0.00,0.03,0.03,0.07,0.10,1.18,5.87,1.67,0.03,0.03,0.07,0.03,0.07,0.03,0.07,0.10,0.03,0.10,https://fbref.com/en/players/31626657/Laurent-Abergel,31626657,Big 5 combined
8,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,21-033,2003,19,9,822,9.1,0.44,0.00,0.44,0.44,0.00,0.00,0.11,0.00,0.27,0.27,0.22,0.48,2.31,1.65,8.02,0.44,0.00,0.44,0.44,0.44,0.27,0.22,0.49,0.27,0.49,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,0e46fa2f,Big 5 combined
9,Abner,BRA,DF,Betis,es La Liga,23-339,2000,20,14,1258,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.01,0.01,0.04,0.05,0.93,2.14,4.07,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,https://fbref.com/en/players/7f9c5d2d/Abner,7f9c5d2d,Big 5 combined
10,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,24-072,2000,11,7,630,7.0,0.43,0.00,0.43,0.29,0.14,0.14,0.29,0.00,0.37,0.26,0.03,0.29,2.71,1.86,8.71,0.43,0.00,0.43,0.29,0.29,0.37,0.03,0.40,0.26,0.29,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,c2a6033c,Big 5 combined
11,Abdel Abqar,MAR,DF,Alavés,es La Liga,25-051,1999,22,22,1907,21.2,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.01,0.01,0.00,0.02,0.24,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,2bc7f211,Big 5 combined
12,Tammy Abraham,ENG,FW,Roma,it Serie A,26-211,1997,4,1,104,1.2,0.83,0.00,0.83,0.83,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,1.67,1.67,3.33,0.87,0.00,0.87,0.87,0.87,0.32,0.02,0.34,0.32,0.34,https://fbref.com/en/players/f586779e/Tammy-Abraham,f586779e,Big 5 combined
13,Francesco Acerbi,ITA,DF,Inter,it Serie A,36-080,1988,27,24,2208,24.5,0.12,0.04,0.16,0.12,0.00,0.00,0.04,0.00,0.07,0.07,0.07,0.13,0.78,3.22,0.90,0.12,0.04,0.16,0.12,0.16,0.07,0.07,0.14,0.07,0.14,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,b96b595c,Big 5 combined
14,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32-185,1991,17,14,1008,11.2,0.00,0.18,0.18,0.00,0.00,0.00,0.54,0.00,0.02,0.02,0.09,0.12,1.70,4.20,2.50,0.00,0.18,0.18,0.00,0.18,0.02,0.09,0.11,0.02,0.11,https://fbref.com/en/players/81442ecb/Marcos-Acuna,81442ecb,Big 5 combined
15,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21-152,2002,8,3,387,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.12,0.19,1.63,2.09,3.26,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
16,Bénie Adama Traore,CIV,"FW,MF",Nantes,fr Ligue 1,21-152,2002,11,2,328,3.6,0.00,0.28,0.28,0.00,0.00,0.00,0.00,0.28,0.06,0.06,0.25,0.28,4.72,2.50,10.3,0.00,0.27,0.27,0.00,0.27,0.04,0.24,0.28,0.04,0.28,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
17,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,24-092,2000,29,25,2077,23.1,0.35,0.04,0.39,0.35,0.00,0.00,0.09,0.00,0.52,0.52,0.08,0.60,1.69,0.69,5.28,0.35,0.04,0.39,0.35,0.39,0.53,0.08,0.60,0.53,0.60,https://fbref.com/en/players/2ccd39ed/Akor-Adams,2ccd39ed,Big 5 combined
18,Tyler Adams,USA,MF,Bournemouth,eng Premier League,25-076,1999,2,1,110,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,2.50,3.33,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,https://fbref.com/en/players/2b09d998/Tyler-Adams,2b09d998,Big 5 combined
19,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22-329,2001,14,0,102,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.18,0.91,0.91,4.55,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.16,0.05,0.16,https://fbref.com/en/players/82e12fe7/Junior-Adamu,82e12fe7,Big 5 combined
20,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30-343,1993,18,7,749,8.3,0.12,0.24,0.36,0.12,0.00,0.00,0.24,0.00,0.49,0.49,0.24,0.73,1.81,2.17,4.94,0.12,0.24,0.36,0.12,0.36,0.49,0.24,0.73,0.49,0.73,https://fbref.com/en/players/22919e97/Sargis-Adamyan,22919e97,Big 5 combined
21,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26-219,1997,20,18,1617,18.0,0.11,0.00,0.11,0.11,0.00,0.00,0.11,0.00,0.04,0.04,0.01,0.04,0.56,3.44,0.28,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Big 5 combined
22,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26-114,1998,24,13,1175,13.1,0.69,0.00,0.69,0.69,0.00,0.00,0.08,0.00,0.43,0.43,0.05,0.48,1.07,1.45,6.87,0.69,0.00,0.69,0.69,0.69,0.43,0.05,0.48,0.43,0.48,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Big 5 combined
23,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,22-103,2002,19,9,825,9.2,0.33,0.11,0.43,0.33,0.00,0.00,0.65,0.11,0.30,0.30,0.16,0.48,4.67,2.28,9.46,0.33,0.11,0.44,0.33,0.44,0.31,0.17,0.48,0.31,0.48,https://fbref.com/en/players/501055d8/Karim-Adeyemi,501055d8,Big 5 combined
24,Simon Adingra,CIV,FW,Brighton,eng Premier League,22-120,2002,27,21,1877,20.9,0.29,0.05,0.33,0.29,0.00,0.00,0.10,0.00,0.17,0.17,0.12,0.29,4.35,2.06,11.7,0.29,0.05,0.34,0.29,0.34,0.17,0.12,0.29,0.17,0.29,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,Big 5 combined
25,Nathaniel Adjei,GHA,DF,Lorient,fr Ligue 1,21-253,2002,13,12,1092,12.1,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.02,0.02,0.01,0.03,0.83,2.64,0.33,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/c55de1f5/Nathaniel-Adjei,c55de1f5,Big 5 combined
26,Amine Adli,MAR,"MF,FW",Leverkusen,de Bundesliga,23-356,2000,21,7,814,9.0,0.33,0.56,0.89,0.33,0.00,0.00,0.56,0.00,0.27,0.27,0.18,0.44,3.33,3.44,13.4,0.33,0.55,0.88,0.33,0.88,0.26,0.18,0.44,0.26,0.44,https://fbref.com/en/players/dcfb17f4/Amine-Adli,dcfb17f4,Big 5 combined
27,Yacine Adli,FRA,MF,Milan,it Serie A,23-276,2000,22,17,1364,15.2,0.07,0.13,0.20,0.07,0.00,0.00,0.20,0.00,0.02,0.02,0.13,0.14,1.91,7.96,1.64,0.07,0.13,0.20,0.07,0.20,0.02,0.13,0.15,0.02,0.15,https://fbref.com/en/players/26777636/Yacine-Adli,26777636,Big 5 combined
28,Adryelson,BRA,"DF,FW",Lyon,fr Ligue 1,26-038,1998,2,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Big 5 combined
