Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,24-004,2000,11.1,32.4,42.3,76.6,536.1,204.3,15.9,18.1,87.6,13.4,17.1,78.4,2.61,4.59,56.9,0.09,0.07,0.08,0.02,0.54,1.80,0.99,0.18,3.24,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,Big 5 combined
2,Brenden Aaronson,USA,MF,Union Berlin,de Bundesliga,23-078,2000,3.6,21.4,27.8,77.0,294.2,79.7,12.8,13.6,93.9,6.67,8.33,80.0,0.56,1.94,28.6,0.00,0.08,0.11,-0.08,1.11,2.22,0.00,0.00,2.50,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,5bc43860,Big 5 combined
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20-135,2003,1.1,37.3,45.5,82.0,523.6,64.5,18.2,22.7,80.0,18.2,20.0,90.9,0.00,1.82,0.0,0.91,0.09,0.09,0.82,0.91,3.64,1.82,0.00,4.55,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Big 5 combined
4,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36-102,1987,16.0,50.0,60.5,82.6,942.6,321.3,16.1,18.1,88.9,28.8,32.4,88.8,4.31,8.13,53.1,0.00,0.01,0.03,-0.01,0.31,4.50,0.13,0.00,4.63,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Big 5 combined
5,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,23-288,2000,13.9,49.6,55.7,89.0,777.1,191.9,24.2,27.0,89.9,20.8,22.6,92.0,2.52,3.38,74.5,0.00,0.04,0.08,-0.04,0.43,5.61,0.36,0.14,4.96,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,82464ce3,Big 5 combined
6,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,30-341,1993,17.0,51.8,60.0,86.4,916.5,268.9,21.2,23.5,90.5,23.3,25.9,89.8,5.47,8.00,68.4,0.06,0.05,0.06,0.01,0.82,5.94,0.71,0.06,4.94,https://fbref.com/en/players/31626657/Laurent-Abergel,31626657,Big 5 combined
7,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,20-286,2003,4.7,14.9,18.9,78.7,207.9,28.5,9.57,11.9,80.4,3.62,4.04,89.5,0.85,1.06,80.0,0.00,0.32,0.11,-0.32,2.13,0.21,0.85,0.21,1.28,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,0e46fa2f,Big 5 combined
8,Abner,BRA,DF,Betis,es La Liga,23-226,2000,9.8,39.5,51.5,76.6,593.7,287.9,22.0,24.9,88.5,13.5,17.3,77.6,2.45,5.51,44.4,0.00,0.04,0.09,-0.04,0.51,1.43,0.51,0.20,1.84,https://fbref.com/en/players/7f9c5d2d/Abner,7f9c5d2d,Big 5 combined
9,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,23-324,2000,4.2,16.4,23.1,71.1,250.0,80.0,7.62,9.52,80.0,6.67,8.81,75.7,0.71,0.95,75.0,0.00,0.05,0.05,-0.05,0.95,1.90,0.95,0.00,2.86,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,c2a6033c,Big 5 combined
10,Abdel Abqar,MAR,DF,Alavés,es La Liga,24-304,1999,13.9,21.8,29.4,74.1,484.5,220.9,6.04,7.19,84.0,11.6,13.0,89.0,3.81,8.20,46.5,0.00,0.00,0.01,0.00,0.07,2.01,0.07,0.00,2.09,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,2bc7f211,Big 5 combined
11,Francesco Acerbi,ITA,DF,Inter,it Serie A,35-332,1988,16.0,60.7,67.7,89.7,1092.8,336.4,23.7,25.8,92.0,31.1,33.6,92.7,4.63,6.63,69.8,0.06,0.11,0.07,-0.04,0.31,2.38,0.19,0.06,2.94,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,b96b595c,Big 5 combined
12,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32-072,1991,5.1,49.4,63.5,77.8,961.8,354.7,21.2,23.7,89.3,19.0,23.5,80.8,8.04,13.7,58.6,0.00,0.06,0.14,-0.06,1.18,3.73,1.76,1.37,4.71,https://fbref.com/en/players/81442ecb/Marcos-Acuna,81442ecb,Big 5 combined
13,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21-039,2002,4.3,12.8,16.5,77.5,180.2,43.0,7.91,8.84,89.5,4.42,5.35,82.6,0.23,0.23,100.0,0.00,0.12,0.12,-0.12,0.93,0.47,1.63,0.23,2.09,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
14,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,23-344,2000,15.3,10.3,16.1,64.0,148.1,33.5,5.29,7.91,66.9,3.66,5.03,72.7,0.52,1.24,42.1,0.00,0.05,0.07,-0.05,0.72,0.59,0.20,0.13,0.85,https://fbref.com/en/players/2ccd39ed/Akor-Adams,2ccd39ed,Big 5 combined
15,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22-216,2001,1.1,13.6,22.7,60.0,140.0,23.6,10.9,11.8,92.3,0.91,7.27,12.5,0.00,0.91,0.0,0.00,0.09,0.00,-0.09,0.91,0.00,0.91,0.00,0.91,https://fbref.com/en/players/82e12fe7/Junior-Adamu,82e12fe7,Big 5 combined
