,id,eventId,minute,second,teamId,x,y,expandedMinute,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,eventType,match_period
0,2607325501.0,2,0,0.0,5438,0.0,0.0,0,Successful,[],[],False,,,,,,,,,,,,,Start,FirstHalf
1,2607325511.0,2,0,0.0,1232,0.0,0.0,0,Successful,[],[],False,,,,,,,,,,,,,Start,FirstHalf
2,2607325553.0,3,0,0.0,5438,50.0,50.1,0,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.30'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '30.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.2'}]","[91, 117, 30, 35, 38, 215, 218]",True,373666.0,21.2,43.1,,,,,,,,,,Pass,FirstHalf
3,2607325571.0,4,0,5.0,5438,23.7,38.6,0,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.01'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '44.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.7'}]","[91, 120, 128, 36, 37, 216, 218]",True,320158.0,65.7,39.5,,,,,,,,,,Pass,FirstHalf
4,2607325589.0,3,0,9.0,1232,30.6,61.3,0,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[197, 200]",False,131382.0,,,,,,,,,,,,Aerial,FirstHalf
5,2607325575.0,5,0,9.0,5438,69.4,38.7,0,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}]","[198, 199]",False,373666.0,,,,,,,,,,,,Aerial,FirstHalf
6,2607325591.0,4,0,10.0,1232,27.4,62.0,0,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[91],True,131382.0,,,,,,,,,,,,BallTouch,FirstHalf
7,2607348973.0,460,0,11.0,1232,36.7,63.6,0,Successful,[],[93],False,401192.0,,,,,,,,,,,,BallRecovery,FirstHalf
8,2607325593.0,5,0,12.0,1232,29.5,60.2,0,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.23'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.3'}]","[91, 118, 120, 29, 36, 37, 216, 218]",True,401192.0,40.3,64.1,,,,,,,,,,Pass,FirstHalf
9,2607349005.0,393,0,13.0,5438,60.0,24.1,0,Successful,[],[93],False,349707.0,,,,,,,,,,,,BallRecovery,FirstHalf
10,2607325615.0,6,0,13.0,5438,64.2,23.5,0,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.71'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.2'}]","[91, 119, 117, 30, 38, 216, 218]",True,349707.0,64.2,9.9,,,,,,,,,,Pass,FirstHalf
