Rk,Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
3,Atlético Mineiro,19,11,3,5,28,16,12,36,1.89,25.1,18.0,7.1,0.37,19,8,6,5,24,16,8,30,1.58,21.5,22.8,-1.3,-0.07
4,Flamengo,19,10,5,4,26,16,10,35,1.84,27.0,21.6,5.4,0.28,19,9,4,6,30,26,4,31,1.63,22.8,23.5,-0.7,-0.03
5,Botafogo (RJ),19,11,4,4,36,17,19,37,1.95,33.3,19.5,13.8,0.73,19,7,6,6,22,20,2,27,1.42,16.8,29.3,-12.5,-0.66
6,Bragantino,19,11,5,3,28,14,14,38,2.0,34.9,17.2,17.7,0.93,19,6,6,7,21,21,0,24,1.26,22.9,25.4,-2.5,-0.13
7,Fluminense,19,13,4,2,33,18,15,43,2.26,28.6,17.9,10.7,0.56,19,3,4,12,18,29,-11,13,0.68,21.7,30.4,-8.7,-0.46
