Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,47.0,56.5,83.2,789.4,248.0,22.5,24.8,90.6,19.4,22.8,85.0,3.74,5.39,69.5,0.00,0.05,0.08,-0.05,0.73,4.84,0.50,0.09,5.11,https://fbref.com/en/players/6140be7b/Nicolas-Acevedo,6140be7b,Brazilian Serie A
2,Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,14.1,17.1,82.2,177.6,29.0,8.65,9.93,87.1,3.92,4.46,87.9,0.41,0.54,75.0,0.07,0.09,0.11,-0.02,0.81,1.01,0.20,0.00,1.55,https://fbref.com/en/players/2557c196/Luiz-Adriano,2557c196,Brazilian Serie A
3,Adriel,BRA,GK,Grêmio,22,2001,2.0,14.0,31.5,44.4,550.5,473.5,1.50,1.50,100.0,5.00,5.00,100.0,7.50,25.0,30.0,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
4,Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,39.1,45.7,85.6,771.2,282.3,12.5,14.1,88.9,21.9,24.6,88.9,4.44,6.34,70.1,0.03,0.01,0.02,0.02,0.06,0.99,0.03,0.00,1.68,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Brazilian Serie A
5,Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,33.2,40.9,81.0,498.4,127.5,19.5,22.0,88.5,9.89,12.9,76.4,2.21,3.37,65.6,0.11,0.11,0.15,0.00,1.58,3.37,1.37,0.11,5.58,https://fbref.com/en/players/eda38706/Adson,eda38706,Brazilian Serie A
6,Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,35.9,51.9,69.3,595.9,240.7,17.8,20.7,85.7,13.7,18.9,72.5,2.96,7.41,40.0,0.00,0.15,0.26,-0.15,3.70,2.96,4.81,1.48,6.30,https://fbref.com/en/players/77f8db7c/Adyson,77f8db7c,Brazilian Serie A
7,Washington Aguerre,URU,GK,América (MG),29,1993,2.0,15.5,20.5,75.6,408.0,282.0,3.50,3.50,100.0,6.00,6.00,100.0,5.50,10.5,52.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
8,Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,19.1,22.7,84.0,287.0,65.5,10.0,10.9,91.7,7.27,8.79,82.8,1.21,1.52,80.0,0.00,0.06,0.24,-0.06,0.61,0.61,1.21,0.30,2.73,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Brazilian Serie A
9,Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,13.8,19.2,71.8,180.5,26.5,8.61,10.8,79.5,3.94,5.23,75.3,0.40,0.70,57.1,0.10,0.09,0.05,0.01,0.73,0.66,0.20,0.00,0.93,https://fbref.com/en/players/65159211/Yuri-Alberto,65159211,Brazilian Serie A
10,Ale,BRA,MF,América (MG),32,1990,15.8,48.7,55.6,87.7,818.4,263.2,22.8,25.6,89.1,20.6,22.5,91.6,3.86,4.43,87.1,0.00,0.09,0.05,-0.09,1.01,5.57,0.51,0.19,6.96,https://fbref.com/en/players/b7d9347d/Ale,b7d9347d,Brazilian Serie A
