Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,Nicolás Acevedo,URU,MF,Bahia,23,1999,31,21,1970,21.9,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.05,0.04,0.04,0.05,0.10,1.32,5.11,1.64,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10,https://fbref.com/en/players/6140be7b/Nicolas-Acevedo,6140be7b,Brazilian Serie A
2,Luiz Adriano,BRA,FW,Internacional,35,1987,29,17,1330,14.8,0.20,0.07,0.27,0.20,0.00,0.00,0.07,0.07,0.18,0.18,0.09,0.26,0.20,1.55,3.31,0.20,0.07,0.27,0.20,0.27,0.18,0.09,0.27,0.18,0.27,https://fbref.com/en/players/2557c196/Luiz-Adriano,2557c196,Brazilian Serie A
3,Adriel,BRA,GK,Grêmio,22,2001,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
4,Adryelson,BRA,DF,Botafogo (RJ),24,1998,35,35,2996,33.3,0.03,0.03,0.06,0.03,0.00,0.00,0.18,0.03,0.03,0.03,0.01,0.04,0.06,1.68,0.09,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Brazilian Serie A
5,Adson,BRA,"FW,MF",Corinthians,22,2000,15,9,857,9.5,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.11,0.15,5.16,5.58,7.16,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.15,0.04,0.15,https://fbref.com/en/players/eda38706/Adson,eda38706,Brazilian Serie A
6,Adyson,BRA,"FW,MF",América (MG),17,2005,8,1,245,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.07,0.07,0.15,0.22,6.30,6.30,15.6,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21,https://fbref.com/en/players/77f8db7c/Adyson,77f8db7c,Brazilian Serie A
7,Washington Aguerre,URU,GK,América (MG),29,1993,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
8,Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,15,1,296,3.3,0.61,0.00,0.61,0.61,0.00,0.00,0.00,0.00,0.33,0.33,0.06,0.42,3.03,2.73,8.79,0.61,0.00,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Brazilian Serie A
9,Yuri Alberto,BRA,FW,Corinthians,21,2001,34,32,2722,30.2,0.26,0.10,0.36,0.26,0.00,0.00,0.20,0.00,0.33,0.33,0.09,0.42,1.36,0.93,6.75,0.26,0.10,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,https://fbref.com/en/players/65159211/Yuri-Alberto,65159211,Brazilian Serie A
10,Ale,BRA,MF,América (MG),32,1990,27,14,1424,15.8,0.06,0.00,0.06,0.06,0.00,0.00,0.44,0.06,0.11,0.11,0.09,0.20,1.84,6.96,2.34,0.06,0.00,0.06,0.06,0.06,0.12,0.09,0.20,0.12,0.20,https://fbref.com/en/players/b7d9347d/Ale,b7d9347d,Brazilian Serie A
