Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
1,Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,0.32,0.05,0.05,1.78,1.55,0.00,0.50,1.19,2.10,0.00,0.00,0.00,7.95,1.00,1.32,43.1,https://fbref.com/en/players/6140be7b/Nicolas-Acevedo,6140be7b,Brazilian Serie A
2,Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,0.07,0.07,0.00,0.95,1.42,0.20,0.00,0.61,0.47,0.00,0.00,0.00,2.03,1.69,2.23,43.1,https://fbref.com/en/players/2557c196/Luiz-Adriano,2557c196,Brazilian Serie A
3,Adriel,BRA,GK,Grêmio,22,2001,2.0,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
4,Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,0.18,0.03,0.00,0.60,0.57,0.00,0.00,1.83,0.60,0.00,0.00,0.00,3.81,2.76,1.32,67.6,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Brazilian Serie A
5,Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,0.00,0.00,0.00,1.16,2.11,0.53,1.05,0.84,2.74,0.00,0.00,0.00,5.47,0.74,0.42,63.6,https://fbref.com/en/players/eda38706/Adson,eda38706,Brazilian Serie A
6,Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,0.37,0.00,0.00,2.22,2.59,0.00,11.5,1.85,1.85,0.00,0.00,0.00,5.93,0.00,0.00,,https://fbref.com/en/players/77f8db7c/Adyson,77f8db7c,Brazilian Serie A
7,Washington Aguerre,URU,GK,América (MG),29,1993,2.0,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
8,Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,0.00,0.00,0.00,1.52,2.12,0.00,1.52,0.30,0.00,0.30,0.00,0.00,4.24,1.21,2.12,36.4,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Brazilian Serie A
9,Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,0.20,0.00,0.00,2.19,2.35,0.50,0.43,0.10,0.46,0.03,0.00,0.00,2.22,2.09,2.62,44.4,https://fbref.com/en/players/65159211/Yuri-Alberto,65159211,Brazilian Serie A
10,Ale,BRA,MF,América (MG),32,1990,15.8,0.44,0.06,0.06,1.96,1.52,0.06,0.70,1.77,1.01,0.00,0.00,0.00,9.18,1.27,0.63,66.7,https://fbref.com/en/players/b7d9347d/Ale,b7d9347d,Brazilian Serie A
