Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,67.4,1.69,16.0,43.2,9.00,0.73,67.4,1.42,0.64,45.2,0.55,38.7,40.5,191.6,101.5,1.32,1.05,0.23,1.14,0.82,45.5,1.64,https://fbref.com/en/players/6140be7b/Nicolas-Acevedo,6140be7b,Brazilian Serie A
2,Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,24.3,1.35,2.97,11.9,9.73,3.18,24.3,0.41,0.20,50.0,0.20,50.0,12.2,35.7,8.51,0.20,0.20,0.07,1.22,1.15,16.9,3.31,https://fbref.com/en/players/2557c196/Luiz-Adriano,2557c196,Brazilian Serie A
3,Adriel,BRA,GK,Grêmio,22,2001,2.0,32.5,27.0,32.5,0.00,0.00,0.00,32.5,0.00,0.00,,0.00,,11.5,70.5,54.5,0.00,0.00,0.00,0.00,0.00,5.00,0.00,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
4,Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,56.9,8.77,29.8,26.3,1.02,0.81,56.9,0.00,0.00,,0.00,,29.3,125.3,68.9,0.06,0.09,0.03,0.09,0.03,34.2,0.09,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Brazilian Serie A
5,Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,52.3,0.74,8.21,24.4,20.8,2.32,52.3,4.42,2.63,59.5,1.47,33.3,35.4,273.1,154.5,5.16,3.47,0.74,1.79,0.53,37.6,7.16,https://fbref.com/en/players/eda38706/Adson,eda38706,Brazilian Serie A
6,Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,65.2,0.00,4.44,22.6,39.6,3.70,65.2,4.81,2.59,53.8,1.48,30.8,45.6,332.6,207.4,6.30,5.19,1.85,2.22,3.33,47.0,15.6,https://fbref.com/en/players/77f8db7c/Adyson,77f8db7c,Brazilian Serie A
7,Washington Aguerre,URU,GK,América (MG),29,1993,2.0,22.5,20.0,22.5,0.00,0.00,0.00,22.5,0.00,0.00,,0.00,,8.50,55.0,42.5,0.00,0.00,0.00,0.00,0.00,3.00,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
8,Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,38.5,1.21,5.15,14.5,20.0,4.85,38.5,5.15,2.42,47.1,2.12,41.2,25.2,190.9,91.5,3.03,2.12,0.61,2.73,1.52,25.2,8.79,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Brazilian Serie A
9,Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,30.2,0.76,2.09,13.9,14.4,4.57,30.2,1.69,0.76,45.1,0.66,39.2,17.3,85.2,31.8,1.36,0.99,0.66,3.08,1.16,23.2,6.75,https://fbref.com/en/players/65159211/Yuri-Alberto,65159211,Brazilian Serie A
10,Ale,BRA,MF,América (MG),32,1990,15.8,68.0,2.72,16.2,41.3,11.5,1.90,68.0,1.58,1.01,64.0,0.51,32.0,43.2,243.0,115.8,1.84,1.33,0.13,1.58,1.20,43.7,2.34,https://fbref.com/en/players/b7d9347d/Ale,b7d9347d,Brazilian Serie A
11,Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,35.8,0.79,2.89,16.8,16.8,6.58,35.8,5.00,2.37,47.4,2.37,47.4,23.7,123.2,54.5,1.84,1.84,1.32,5.00,1.05,26.3,9.74,https://fbref.com/en/players/3ed2a79b/Alexandre-Alemao,3ed2a79b,Brazilian Serie A
12,Alerrandro,BRA,"FW,MF",Bragantino,23,2000,4.5,25.6,1.56,2.00,9.78,14.0,4.22,25.6,1.33,0.67,50.0,0.67,50.0,14.4,44.0,18.0,0.67,0.67,0.22,2.89,0.67,18.0,4.44,https://fbref.com/en/players/3415a44d/Alerrandro,3415a44d,Brazilian Serie A
13,Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,41.8,1.10,6.44,14.2,22.7,4.79,41.8,4.66,2.33,50.0,2.33,50.0,23.4,190.8,81.0,3.15,2.74,1.23,2.47,2.33,26.8,9.32,https://fbref.com/en/players/611e984e/Alesson,611e984e,Brazilian Serie A
14,Alex,BRA,DF,Santos,23,1999,5.1,57.1,5.10,29.4,24.7,3.53,1.76,57.1,0.39,0.39,100.0,0.00,0.0,37.5,212.5,122.4,0.59,0.20,0.00,0.78,0.39,41.6,0.00,https://fbref.com/en/players/7367baf7/Alex,7367baf7,Brazilian Serie A
15,Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,71.1,1.44,13.4,49.1,9.42,0.86,71.1,1.06,0.55,51.6,0.38,35.5,46.9,311.7,175.2,3.12,1.40,0.34,1.03,1.20,52.1,1.27,https://fbref.com/en/players/08ac23b7/Caio-Alexandre,08ac23b7,Brazilian Serie A
16,Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,56.4,3.05,18.3,27.5,11.0,0.73,56.4,1.15,0.57,50.0,0.51,44.7,25.9,126.7,68.7,1.24,0.69,0.15,1.12,0.60,28.9,2.93,https://fbref.com/en/players/0212e748/Matheus-Alexandre,0212e748,Brazilian Serie A
17,Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,68.4,1.50,14.6,34.4,20.2,1.28,68.4,3.83,2.03,52.9,1.43,37.3,42.9,217.9,120.8,2.86,2.18,0.30,2.03,1.95,48.5,3.98,https://fbref.com/en/players/b13e7a78/Alexsander,b13e7a78,Brazilian Serie A
18,Alison,BRA,MF,Santos,29,1993,1.5,55.3,6.67,18.7,34.7,2.00,0.00,55.3,1.33,0.67,50.0,0.67,50.0,25.3,142.0,53.3,2.00,1.33,0.00,2.67,1.33,30.0,0.67,https://fbref.com/en/players/d39b373b/Alison,d39b373b,Brazilian Serie A
19,Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,96.0,0.00,10.0,40.0,52.0,2.00,96.0,14.0,6.00,42.9,6.00,42.9,70.0,644.0,322.0,6.00,6.00,0.00,4.00,2.00,68.0,20.0,https://fbref.com/en/players/d26ee8de/Alisson,d26ee8de,Brazilian Serie A
20,Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,64.9,1.51,10.1,36.7,18.7,1.26,64.9,1.67,0.92,55.0,0.54,32.5,38.4,192.3,95.8,1.67,1.80,0.21,0.63,1.38,47.6,4.39,https://fbref.com/en/players/99139fa4/Alisson,99139fa4,Brazilian Serie A
21,Allan,BRA,MF,Flamengo,25,1997,5.4,86.1,1.30,11.7,60.0,15.2,0.19,86.1,0.74,0.37,50.0,0.00,0.0,59.3,303.7,154.3,1.85,2.22,0.00,0.37,0.56,66.9,1.11,https://fbref.com/en/players/b15e93aa/Allan,b15e93aa,Brazilian Serie A
22,Allano,BRA,FW,Goiás,27,1995,13.7,45.6,1.31,8.18,21.5,16.9,3.50,45.6,3.28,1.46,44.4,1.46,44.4,27.3,196.7,102.2,2.85,2.41,0.80,2.70,1.53,30.7,6.57,https://fbref.com/en/players/9c1245f8/Allano,9c1245f8,Brazilian Serie A
23,Henrique Almeida,BRA,FW,América (MG),31,1991,1.7,28.8,0.59,0.59,13.5,14.7,5.29,28.8,2.94,2.35,80.0,0.59,20.0,12.4,55.9,23.5,0.59,0.00,0.00,2.94,0.59,15.3,2.94,https://fbref.com/en/players/8aa2f2e3/Henrique-Almeida,8aa2f2e3,Brazilian Serie A
